latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.4703,2.3091,300.3,2014-01-01,155,N,0
14.29,10.3459,325.1,2014-01-04,1012,D,0
14.2744,10.3369,329.2,2014-01-04,1012,D,0
12.37,2.7026,320.5,2014-01-06,1000,D,0
12.371,2.6959,318.1,2014-01-06,1000,D,0
12.1537,2.3277,326.4,2014-01-07,1043,D,0
12.1622,2.3427,325.4,2014-01-07,1043,D,0
12.1388,2.3525,328.9,2014-01-07,1043,D,0
12.1516,2.3409,323.2,2014-01-07,1043,D,0
12.1587,2.3199,321.8,2014-01-07,1347,D,0
12.1613,2.3419,322.7,2014-01-07,1347,D,0
12.1453,2.3217,322.8,2014-01-07,1347,D,0
12.2794,2.5433,320.7,2014-01-10,1239,D,0
13.9344,13.2641,323.9,2014-01-10,1239,D,0
12.2849,2.5382,318.8,2014-01-10,1239,D,0
12.3079,2.2861,303.4,2014-01-10,2204,N,0
14.122,10.4881,328.4,2014-01-11,1018,D,0
14.1101,10.4859,322.2,2014-01-11,1018,D,0
14.1191,10.5051,336.0,2014-01-11,1018,D,0
11.9808,2.4476,320.8,2014-01-11,1019,D,0
14.1204,10.4388,334.3,2014-01-11,1322,D,0
14.1169,10.4054,327.9,2014-01-11,1322,D,0
14.1269,10.4462,325.0,2014-01-11,1322,D,0
14.124,10.4723,319.3,2014-01-11,1322,D,0
13.3764,12.793,300.5,2014-01-16,2127,N,0
13.9464,13.2778,331.5,2014-01-17,1245,D,0
13.9432,13.2735,349.6,2014-01-17,1245,D,0
14.742,2.1377,330.0,2014-01-23,1042,D,0
14.7402,2.1494,323.3,2014-01-23,1042,D,0
12.4193,3.0009,326.6,2014-01-27,1018,D,0
12.5851,3.0113,326.4,2014-01-27,1018,D,0
13.2273,3.0095,330.2,2014-01-29,1310,D,0
12.9742,2.6595,330.0,2014-01-29,1310,D,0
12.9757,2.6694,329.6,2014-01-29,1310,D,0
13.2194,3.0065,330.3,2014-01-29,1310,D,0
12.4331,2.7521,330.1,2014-01-30,1049,D,0
12.4088,2.7476,330.1,2014-01-30,1049,D,0
12.421,2.7499,359.8,2014-01-30,1049,D,0
12.424,2.7319,378.4,2014-01-30,1049,D,0
12.4119,2.7297,328.0,2014-01-30,1049,D,0
13.9969,13.1535,330.6,2014-01-30,1215,D,0
13.999,13.1581,335.9,2014-01-30,1215,D,0
13.7902,13.3373,318.2,2014-02-02,941,D,0
14.8367,1.681,327.9,2014-02-03,1329,D,0
14.8272,1.6824,327.3,2014-02-03,1329,D,0
14.2065,13.2999,300.4,2014-02-03,2115,N,0
14.2248,13.2846,305.3,2014-02-03,2115,N,0
14.2252,13.2911,302.0,2014-02-03,2115,N,0
14.5745,11.5258,340.9,2014-02-06,1221,D,0
16.2162,4.4388,302.0,2014-02-07,2229,N,0
12.0271,3.6265,322.6,2014-02-08,1043,D,0
12.153,3.2357,329.8,2014-02-09,1252,D,0
12.1499,3.2174,331.3,2014-02-09,1252,D,0
14.2204,13.2989,343.9,2014-02-11,1240,D,0
14.2113,13.3002,336.0,2014-02-11,1240,D,0
12.3188,3.2574,348.8,2014-02-12,1322,D,0
13.7146,13.4301,343.4,2014-02-13,1227,D,0
13.1329,1.4312,324.3,2014-02-17,1037,D,0
13.1314,1.4408,324.8,2014-02-17,1037,D,0
14.2097,13.4628,323.7,2014-02-18,941,D,0
14.0931,13.129,335.7,2014-02-20,1234,D,0
14.8425,10.6818,330.8,2014-02-21,1317,D,0
12.603,3.0061,329.1,2014-02-24,1043,D,0
12.6053,2.9981,327.1,2014-02-24,1043,D,0
12.1333,2.3534,313.8,2014-02-25,2216,N,0
14.7692,1.701,358.4,2014-02-26,1030,D,0
14.7705,1.6918,355.5,2014-02-26,1030,D,0
12.1269,2.354,328.4,2014-02-26,1031,D,0
14.7679,1.7297,326.9,2014-03-03,1049,D,0
14.8274,1.6403,328.2,2014-03-03,1049,D,0
13.9387,5.0485,306.7,2014-03-03,2140,N,0
16.5165,4.2369,349.9,2014-03-04,1259,D,0
16.5357,4.2337,337.4,2014-03-04,1259,D,0
16.5148,4.2261,352.3,2014-03-04,1259,D,0
16.5261,4.2353,338.7,2014-03-04,1259,D,0
14.7657,1.7031,340.2,2014-03-05,1036,D,0
14.7672,1.6935,334.2,2014-03-05,1036,D,0
12.2606,3.5023,332.7,2014-03-07,1025,D,0
12.3559,3.347,342.4,2014-03-09,1316,D,0
12.5813,3.1893,335.5,2014-03-09,1316,D,0
12.5724,3.1907,338.8,2014-03-09,1316,D,0
14.7804,10.0346,327.1,2014-03-11,959,D,0
15.3656,4.029,332.0,2014-03-11,959,D,0
14.7291,9.9375,345.9,2014-03-11,1304,D,0
14.7377,9.9421,346.7,2014-03-11,1304,D,0
14.7252,9.9298,363.7,2014-03-11,1304,D,0
14.7269,9.9435,343.0,2014-03-11,1304,D,0
14.7287,9.9572,366.3,2014-03-11,1304,D,0
14.7416,9.9499,342.0,2014-03-11,1304,D,0
12.5029,2.3328,333.8,2014-03-12,1043,D,0
14.8034,1.5483,339.7,2014-03-13,1252,D,0
12.7248,2.9911,331.2,2014-03-14,1031,D,0
12.5733,3.0105,335.1,2014-03-14,1031,D,0
