latitude,longitude,brightness,acq_date,acq_time,daynight,type
18.1152,-66.8028,305.7,2014-01-10,1737,D,0
18.0391,-66.2521,319.3,2014-01-22,1802,D,0
18.075,-66.7022,333.5,2014-01-29,1808,D,0
18.0246,-66.2659,335.6,2014-02-12,1820,D,0
18.022,-66.2909,319.4,2014-02-12,1820,D,0
18.0559,-66.3779,344.9,2014-02-18,1744,D,0
18.0866,-66.404,327.3,2014-02-20,1731,D,0
17.9835,-66.2733,333.7,2014-02-23,1455,D,0
17.982,-66.2625,321.2,2014-02-23,1455,D,0
18.1999,-66.6509,327.0,2014-02-23,1802,D,0
18.0302,-66.2729,355.0,2014-02-25,1750,D,0
18.0289,-66.2823,369.8,2014-02-25,1750,D,0
18.0212,-66.4625,323.1,2014-02-25,1750,D,0
18.0213,-66.2715,334.1,2014-02-25,1750,D,0
18.02,-66.2809,333.0,2014-02-25,1750,D,0
18.0186,-66.2902,345.3,2014-02-25,1750,D,0
18.0312,-66.5142,307.2,2014-02-26,601,N,0
18.0535,-66.3082,321.5,2014-03-04,1756,D,0
18.0025,-66.3866,308.6,2014-03-07,308,N,0
18.0018,-66.8086,312.8,2014-03-08,1731,D,0
18.3159,-66.4457,326.8,2014-03-13,1750,D,0
17.9757,-66.1442,346.4,2014-03-16,1513,D,0
17.9773,-66.1546,325.1,2014-03-16,1513,D,0
17.9646,-66.2634,320.6,2014-03-17,1725,D,0
17.9615,-66.1217,318.6,2014-03-17,1725,D,0
17.9774,-67.1792,325.6,2014-03-18,1808,D,0
18.4648,-66.6065,319.2,2014-03-18,1808,D,0
18.4665,-66.5926,330.2,2014-03-18,1808,D,0
17.9673,-66.0455,328.0,2014-03-20,1756,D,0
17.9971,-66.436,320.5,2014-03-21,1532,D,0
17.982,-66.0904,320.6,2014-03-23,1520,D,0
18.1373,-66.5084,314.1,2014-03-23,1827,D,0
18.1423,-66.5036,316.3,2014-03-23,1827,D,0
18.2668,-67.1747,319.8,2014-03-25,1507,D,0
18.423,-66.5923,324.0,2014-03-27,1802,D,0
18.4216,-66.6035,345.4,2014-03-27,1802,D,0
18.4202,-65.929,330.6,2014-03-29,1750,D,0
18.4216,-65.9196,367.2,2014-03-29,1750,D,0
18.4229,-65.9102,317.5,2014-03-29,1750,D,0
17.9897,-66.1643,325.9,2014-03-31,1738,D,0
17.9904,-66.171,328.1,2014-03-31,1738,D,0
18.0407,-66.4878,324.9,2014-03-31,1738,D,0
18.247,-65.871,315.5,2014-04-01,1514,D,0
18.0384,-66.1763,312.6,2014-04-01,1514,D,0
18.0198,-66.2699,329.9,2014-04-01,1821,D,0
18.0172,-66.2947,325.2,2014-04-01,1821,D,0
18.3968,-66.2931,324.3,2014-04-08,1827,D,0
17.9757,-66.4261,327.6,2014-04-10,1508,D,0
18.4634,-66.404,343.2,2014-04-14,1750,D,0
18.462,-66.4134,345.2,2014-04-14,1750,D,0
17.9644,-67.0982,322.5,2014-04-19,1501,D,0
17.9689,-67.0991,325.1,2014-04-21,1449,D,0
17.9699,-67.1085,324.0,2014-04-21,1449,D,0
18.4367,-66.6754,326.6,2014-04-25,1731,D,0
18.434,-66.6909,322.3,2014-04-25,1731,D,0
18.4099,-65.8725,317.4,2014-04-26,1814,D,0
18.4098,-65.8647,322.7,2014-04-26,1814,D,0
17.9622,-66.1419,318.8,2014-05-01,1833,D,0
17.9611,-66.1332,316.7,2014-05-01,1833,D,0
17.9901,-66.2718,308.0,2014-06-01,232,N,0
17.9919,-66.2602,306.5,2014-06-01,232,N,0
17.9953,-66.2569,328.6,2014-06-01,1444,D,0
18.0008,-66.2631,324.7,2014-06-01,1444,D,0
17.988,-66.2714,328.4,2014-06-11,1520,D,0
18.0004,-66.3466,323.3,2014-06-11,1520,D,0
18.0067,-66.3295,327.1,2014-06-19,1737,D,0
18.0086,-66.3176,328.4,2014-06-19,1737,D,0
17.9967,-66.328,328.2,2014-06-19,1737,D,0
18.0026,-66.9156,309.5,2014-06-26,226,N,0
18.0054,-66.8992,311.1,2014-06-26,226,N,0
18.0129,-66.471,321.6,2014-06-27,1826,D,0
18.01,-66.5019,323.8,2014-06-27,1826,D,0
17.9821,-66.1264,323.6,2014-06-28,1731,D,0
17.9934,-66.2685,324.1,2014-06-28,1731,D,0
17.9949,-66.5952,320.7,2014-06-28,1731,D,0
18.0019,-66.4725,324.9,2014-07-01,1456,D,0
18.1196,-66.3585,304.3,2014-07-03,232,N,0
18.1215,-66.3467,321.5,2014-07-03,232,N,0
18.078,-66.1786,310.6,2014-07-07,1725,D,0
18.0741,-66.3894,332.6,2014-07-10,1756,D,0
17.9986,-66.3419,329.5,2014-07-10,1756,D,0
18.1361,-66.1517,319.0,2014-07-24,1501,D,0
18.0117,-66.9455,324.9,2014-07-24,1808,D,0
17.9727,-66.1604,331.1,2014-07-31,1508,D,0
17.9791,-66.2412,325.6,2014-08-01,1719,D,0
17.9892,-66.2107,311.0,2014-08-21,1832,D,0
18.0003,-66.5138,310.7,2014-09-09,1725,D,0
17.9734,-66.2671,316.6,2014-09-15,1520,D,0
17.9752,-66.9457,317.1,2014-10-30,1756,D,0
17.976,-66.9483,316.7,2014-11-27,1514,D,0
17.9745,-66.9385,316.5,2014-11-27,1514,D,0
