latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.1485,-11.5785,318.9,2014-01-01,1121,D,0
8.7377,-10.618,320.2,2014-01-01,1121,D,0
9.7328,-11.2285,313.6,2014-01-01,1121,D,0
8.7363,-10.6088,310.6,2014-01-01,1121,D,0
8.8977,-10.8242,317.7,2014-01-01,1121,D,0
9.2821,-11.1138,325.3,2014-01-01,1121,D,0
9.1942,-11.7645,315.5,2014-01-01,1121,D,0
8.8963,-10.8151,317.6,2014-01-01,1121,D,0
9.2835,-11.1229,314.0,2014-01-01,1121,D,0
8.8588,-12.8103,314.8,2014-01-01,1121,D,0
9.0976,-11.6108,322.5,2014-01-01,1121,D,0
8.8579,-12.1575,316.7,2014-01-01,1423,D,0
9.4096,-11.8904,317.0,2014-01-01,1423,D,0
9.4175,-11.9011,317.2,2014-01-01,1423,D,0
9.711,-12.5029,324.4,2014-01-01,1423,D,0
9.2674,-11.057,318.2,2014-01-01,1423,D,0
8.7006,-12.7542,318.4,2014-01-01,1423,D,0
8.7096,-12.7555,318.2,2014-01-01,1423,D,0
8.4194,-12.271,317.2,2014-01-01,1423,D,0
8.4207,-12.2618,317.3,2014-01-01,1423,D,0
9.1854,-12.3144,318.9,2014-01-01,1423,D,0
9.6636,-12.4528,317.0,2014-01-01,1423,D,0
8.7027,-12.0849,315.8,2014-01-01,1423,D,0
9.4723,-11.0443,320.4,2014-01-01,1423,D,0
8.643,-12.1142,320.5,2014-01-01,1423,D,0
9.2606,-12.2402,319.3,2014-01-01,1423,D,0
8.6006,-11.1558,316.1,2014-01-01,1423,D,0
8.8553,-12.176,316.2,2014-01-01,1423,D,0
8.8566,-12.1667,344.2,2014-01-01,1423,D,0
9.2768,-11.1304,313.0,2014-01-01,1423,D,0
9.2782,-11.1202,327.5,2014-01-01,1423,D,0
9.3185,-10.9678,316.9,2014-01-01,1423,D,0
8.7496,-12.9237,315.2,2014-01-01,1423,D,0
9.127,-11.024,313.9,2014-01-01,1423,D,0
7.7386,-11.9449,324.1,2014-01-01,1423,D,0
9.6144,-11.4189,315.9,2014-01-01,1423,D,0
9.47,-11.86,333.0,2014-01-01,1423,D,0
9.4687,-11.8695,326.8,2014-01-01,1423,D,0
8.8574,-12.8171,343.1,2014-01-01,1423,D,0
9.2639,-10.9391,317.4,2014-01-01,1423,D,0
9.1042,-12.5035,321.1,2014-01-01,1423,D,0
9.7639,-12.52,319.1,2014-01-01,1423,D,0
8.9784,-11.4965,319.8,2014-01-01,1423,D,0
9.0579,-11.4543,313.5,2014-01-01,1423,D,0
8.9798,-11.4868,317.5,2014-01-01,1423,D,0
9.7966,-12.3546,317.6,2014-01-01,1423,D,0
7.5212,-11.854,322.1,2014-01-01,1423,D,0
9.8778,-12.0372,318.7,2014-01-01,1423,D,0
7.74,-11.9356,319.7,2014-01-01,1423,D,0
8.9298,-10.9095,318.9,2014-01-01,1423,D,0
8.8706,-12.3947,323.3,2014-01-01,1423,D,0
8.7483,-12.9327,317.2,2014-01-01,1423,D,0
8.8371,-12.3711,316.9,2014-01-01,1423,D,0
8.8587,-12.808,351.3,2014-01-01,1423,D,0
8.8599,-12.799,316.4,2014-01-01,1423,D,0
8.8758,-12.358,319.2,2014-01-01,1423,D,0
9.4709,-11.0547,327.1,2014-01-01,1423,D,0
8.8668,-12.3566,328.7,2014-01-01,1423,D,0
9.6725,-11.1374,337.6,2014-01-01,1423,D,0
9.4564,-12.5513,317.0,2014-01-01,1423,D,0
9.7979,-12.3453,330.7,2014-01-01,1423,D,0
8.8681,-12.3474,316.8,2014-01-01,1423,D,0
9.2714,-12.0317,316.9,2014-01-01,1423,D,0
9.6808,-12.0641,314.1,2014-01-01,1423,D,0
9.3598,-12.1278,316.4,2014-01-01,1423,D,0
7.9938,-10.6448,312.4,2014-01-01,1423,D,0
9.6853,-11.0443,314.8,2014-01-01,1423,D,0
