latitude,longitude,brightness,acq_date,acq_time,daynight,type
48.6091,21.186,300.1,2014-01-11,1008,D,2
48.6049,21.1793,302.0,2014-01-24,937,D,2
48.6051,21.18,303.1,2014-02-05,1002,D,2
48.6018,21.178,303.3,2014-02-05,1147,D,2
48.608,21.181,320.3,2014-02-16,944,D,2
48.6055,21.1738,307.9,2014-02-16,1129,D,2
48.6076,21.1872,300.0,2014-02-16,1129,D,2
48.6834,21.8096,302.1,2014-02-16,1129,D,0
48.5999,21.1692,302.5,2014-02-23,1135,D,2
48.6018,21.1825,310.0,2014-02-23,1135,D,2
48.6016,21.1754,300.8,2014-02-24,2004,N,2
48.6096,21.1805,307.3,2014-02-25,938,D,2
48.6054,21.1759,303.7,2014-02-25,1123,D,2
48.6062,21.1775,316.0,2014-03-01,2023,N,2
48.6103,21.1827,302.1,2014-03-08,919,D,2
48.4088,17.7263,304.9,2014-03-09,1002,D,0
48.6078,21.1895,302.4,2014-03-09,1002,D,2
48.6063,21.1784,306.9,2014-03-09,1147,D,2
48.1085,17.192,301.2,2014-03-10,121,N,0
48.8686,21.6768,301.0,2014-03-11,950,D,0
48.6055,21.1818,304.7,2014-03-11,950,D,2
48.5738,21.816,304.1,2014-03-11,950,D,0
48.6041,21.1771,305.3,2014-03-11,1135,D,2
48.5729,21.8162,306.0,2014-03-11,1135,D,0
48.923,20.8793,313.7,2014-03-11,1135,D,0
49.0183,18.9404,302.5,2014-03-11,1135,D,0
49.239,19.3327,301.6,2014-03-11,1135,D,0
48.7681,21.6949,303.2,2014-03-11,1135,D,0
48.5711,21.8027,303.2,2014-03-11,1135,D,0
48.4012,19.2853,305.3,2014-03-11,1135,D,0
48.4101,19.2821,306.8,2014-03-11,1135,D,0
48.2632,19.0578,305.7,2014-03-11,1135,D,0
48.2783,18.6923,301.3,2014-03-11,1135,D,0
48.6091,21.182,315.3,2014-03-13,937,D,2
49.1363,21.0383,305.6,2014-03-13,937,D,0
48.5878,21.1763,319.6,2014-03-13,1123,D,2
48.5902,21.1907,305.3,2014-03-13,1123,D,2
49.1342,20.971,305.2,2014-03-13,1123,D,0
49.1318,20.9566,326.1,2014-03-13,1123,D,0
48.6103,21.1754,303.9,2014-03-14,1020,D,2
