latitude,longitude,brightness,acq_date,acq_time,daynight,type
10.7164,-61.5573,311.9,2014-01-08,1445,D,0
10.413,-61.4754,311.5,2014-01-21,1717,D,0
10.2423,-61.3905,316.3,2014-01-21,1717,D,0
10.4311,-61.4337,316.2,2014-01-21,1717,D,0
10.4288,-61.4482,333.5,2014-01-21,1717,D,0
10.6324,-61.4645,317.3,2014-01-22,1800,D,0
10.2913,-61.4305,320.2,2014-01-24,1747,D,0
10.4475,-61.3994,313.5,2014-01-24,1747,D,0
10.637,-61.4837,312.0,2014-01-27,300,N,0
10.6479,-61.4744,303.1,2014-01-27,551,N,0
10.6388,-61.4757,324.8,2014-01-27,551,N,0
10.6402,-61.4849,308.4,2014-01-27,551,N,0
10.3158,-61.3977,315.0,2014-02-11,1735,D,0
10.2337,-61.4982,317.7,2014-02-18,1741,D,0
10.4701,-61.4624,320.5,2014-02-20,1729,D,0
10.3237,-61.3982,318.4,2014-02-20,1729,D,0
10.2736,-61.3642,316.5,2014-02-20,1729,D,0
10.4687,-61.472,319.7,2014-02-20,1729,D,0
10.3131,-61.4064,318.5,2014-02-20,1729,D,0
10.3792,-61.0432,314.4,2014-02-26,1652,D,0
10.3681,-61.4586,327.3,2014-02-27,1735,D,0
10.3757,-61.469,329.9,2014-02-27,1735,D,0
10.3155,-61.3704,317.1,2014-02-27,1735,D,0
10.3452,-61.4275,320.0,2014-02-27,1735,D,0
10.4245,-61.43,316.8,2014-03-03,1711,D,0
10.317,-61.395,324.1,2014-03-04,1753,D,0
10.3099,-61.3484,314.2,2014-03-06,1439,D,0
10.3899,-61.4498,326.2,2014-03-06,1741,D,0
10.5102,-61.4436,326.1,2014-03-06,1741,D,0
10.3631,-61.381,315.1,2014-03-06,1741,D,0
10.2941,-61.3554,326.1,2014-03-06,1741,D,0
11.1722,-60.7756,330.1,2014-03-06,1741,D,0
10.2928,-61.365,317.3,2014-03-06,1741,D,0
10.5455,-61.3348,316.4,2014-03-08,1729,D,0
10.367,-61.4233,325.5,2014-03-08,1729,D,0
10.505,-61.4172,332.8,2014-03-08,1729,D,0
10.5441,-61.3444,316.9,2014-03-08,1729,D,0
10.547,-61.3252,343.1,2014-03-08,1729,D,0
10.3685,-61.4136,324.0,2014-03-08,1729,D,0
10.1974,-61.323,309.9,2014-03-10,1717,D,0
10.3314,-61.2781,317.1,2014-03-10,1717,D,0
10.5035,-61.4215,318.8,2014-03-13,1445,D,0
10.5142,-61.4311,324.3,2014-03-15,1735,D,0
10.4076,-61.4481,323.5,2014-03-18,1806,D,0
10.4046,-61.4728,318.5,2014-03-18,1806,D,0
10.5959,-61.3656,319.0,2014-03-20,1754,D,0
10.6696,-61.5028,312.6,2014-03-21,1659,D,0
