latitude,longitude,brightness,acq_date,acq_time,daynight,type
38.8511,54.233,300.3,2014-01-01,935,D,0
36.4466,61.2173,303.3,2014-01-03,922,D,0
37.0317,62.4096,301.4,2014-01-03,922,D,0
37.1398,61.3592,304.8,2014-01-04,827,D,0
37.9263,53.9271,301.0,2014-01-05,731,D,2
37.7661,53.9169,306.3,2014-01-05,731,D,2
39.3978,53.1927,304.7,2014-01-07,2236,N,2
37.0483,60.7653,303.9,2014-01-08,940,D,0
37.9253,53.9205,302.6,2014-01-09,706,D,2
38.9443,64.1408,303.8,2014-01-09,706,D,0
37.8135,62.9313,304.5,2014-01-10,611,D,0
37.0675,60.9492,322.1,2014-01-10,928,D,0
37.1087,61.0299,305.1,2014-01-10,928,D,0
37.107,61.0126,302.5,2014-01-10,928,D,0
37.204,60.7514,301.3,2014-01-10,928,D,0
37.1221,60.9409,308.2,2014-01-10,928,D,0
37.0552,60.7129,301.6,2014-01-10,928,D,0
37.3151,60.9279,302.8,2014-01-10,928,D,0
37.3167,60.945,303.4,2014-01-10,928,D,0
37.3732,59.6715,305.3,2014-01-10,928,D,0
37.3803,59.6648,304.1,2014-01-10,928,D,0
37.3144,60.9335,309.3,2014-01-10,928,D,0
37.1526,61.0232,304.9,2014-01-10,928,D,0
36.9961,61.1593,305.8,2014-01-10,928,D,0
37.9691,58.9223,300.6,2014-01-10,928,D,0
37.1531,61.0174,308.1,2014-01-10,928,D,0
37.6979,59.3198,320.3,2014-01-10,928,D,0
37.1926,60.8554,316.8,2014-01-10,928,D,0
37.6981,59.3106,305.5,2014-01-10,928,D,0
37.6997,59.3249,313.9,2014-01-10,928,D,0
37.1983,60.8032,322.3,2014-01-10,928,D,0
37.4654,60.601,310.9,2014-01-10,928,D,0
37.2044,60.4945,312.1,2014-01-10,928,D,0
37.206,60.5106,329.2,2014-01-10,928,D,0
37.1539,60.4767,306.8,2014-01-10,928,D,0
37.0566,60.9509,317.9,2014-01-10,928,D,0
37.0742,61.0176,300.8,2014-01-10,928,D,0
37.4655,61.0744,304.1,2014-01-10,928,D,0
37.2564,60.9077,304.6,2014-01-10,928,D,0
37.2405,60.8583,313.6,2014-01-10,928,D,0
37.0506,60.9241,320.3,2014-01-10,928,D,0
37.022,60.86,302.9,2014-01-10,928,D,0
37.6438,59.4667,302.1,2014-01-10,928,D,0
37.383,60.8307,301.6,2014-01-10,928,D,0
37.3848,60.8477,305.3,2014-01-10,928,D,0
36.9737,60.8165,300.5,2014-01-10,928,D,0
37.3654,60.7648,302.9,2014-01-10,928,D,0
37.7427,59.3558,303.9,2014-01-10,928,D,0
37.5289,61.1493,300.1,2014-01-10,928,D,0
37.5401,61.1476,306.4,2014-01-10,928,D,0
37.3178,60.8408,300.3,2014-01-10,928,D,0
37.0809,60.8612,307.5,2014-01-10,928,D,0
37.1533,60.7932,308.6,2014-01-10,928,D,0
37.1725,60.8757,329.5,2014-01-10,928,D,0
37.3166,60.8466,304.6,2014-01-10,928,D,0
37.4738,60.6052,321.0,2014-01-10,928,D,0
37.467,60.6176,307.5,2014-01-10,928,D,0
37.4557,60.5023,303.2,2014-01-10,928,D,0
37.9707,58.9361,310.8,2014-01-10,928,D,0
37.4511,60.4919,302.5,2014-01-10,928,D,0
37.1943,60.8723,315.3,2014-01-10,928,D,0
37.1843,60.9952,305.2,2014-01-10,928,D,0
37.4427,60.9537,301.1,2014-01-10,928,D,0
37.2137,60.9558,307.9,2014-01-10,928,D,0
