latitude,longitude,brightness,acq_date,acq_time,daynight,type
51.1686,3.8083,311.6,2015-01-04,1110,D,2
51.1705,3.8066,307.9,2015-01-04,1256,D,0
51.1681,3.8062,303.1,2015-01-10,2144,N,0
51.1673,3.8197,313.1,2015-01-11,151,N,2
51.1653,3.8089,304.2,2015-01-11,1116,D,2
51.1678,3.8084,300.4,2015-01-17,1039,D,2
51.1774,3.8111,300.0,2015-01-17,1039,D,2
51.1637,3.8045,301.7,2015-01-17,1225,D,0
51.1715,3.8105,316.3,2015-01-24,1045,D,2
51.1743,3.8057,303.9,2015-01-24,2156,N,0
51.1737,3.8136,300.7,2015-01-28,2132,N,2
51.1649,3.817,307.9,2015-01-28,2132,N,2
51.1749,3.8141,306.6,2015-01-31,1051,D,2
51.166,3.811,310.8,2015-01-31,1051,D,2
51.1669,3.8103,301.2,2015-01-31,1238,D,2
51.1738,3.8104,304.6,2015-02-02,1039,D,2
51.1641,3.8077,301.8,2015-02-02,1039,D,2
51.1651,3.8114,303.1,2015-02-04,2138,N,2
51.174,3.8083,304.4,2015-02-04,2138,N,2
51.1731,3.8176,308.8,2015-02-05,145,N,2
51.1665,3.8156,302.0,2015-02-13,1207,D,2
51.3635,4.2882,316.3,2015-02-15,1146,D,0
51.3664,4.2735,330.0,2015-02-15,1155,D,0
51.1675,3.8183,300.9,2015-02-15,2119,N,2
51.1697,3.818,321.2,2015-02-16,1051,D,2
51.1717,3.8037,304.8,2015-02-16,1051,D,0
51.1657,3.802,309.8,2015-02-18,1225,D,0
51.1685,3.8176,302.2,2015-02-18,1225,D,2
51.172,3.8195,303.0,2015-02-19,1122,D,2
51.1726,3.813,313.3,2015-02-23,1057,D,2
51.1636,3.8007,301.8,2015-02-23,1244,D,0
51.1656,3.815,303.7,2015-02-23,1244,D,2
51.1661,3.8068,308.0,2015-02-27,1219,D,0
51.1737,3.8097,307.7,2015-02-27,2144,N,2
51.1745,3.8142,303.6,2015-02-28,1116,D,2
51.1655,3.812,300.8,2015-03-05,210,N,2
51.1744,3.8157,311.7,2015-03-05,210,N,2
51.1697,3.8205,308.5,2015-03-08,1027,D,2
51.1739,3.8104,305.1,2015-03-08,1213,D,2
51.1636,3.8159,302.8,2015-03-08,1213,D,2
51.1688,3.8139,312.5,2015-03-11,1244,D,2
51.1777,3.8134,306.7,2015-03-12,216,N,2
51.1736,3.8068,306.8,2015-03-12,2113,N,0
51.1752,3.8126,300.8,2015-03-12,2113,N,2
51.1691,3.8048,312.9,2015-03-13,1045,D,0
51.1672,3.8199,307.1,2015-03-13,1045,D,2
50.9742,4.8725,311.3,2015-03-13,1231,D,0
50.9764,4.8865,334.7,2015-03-13,1231,D,0
51.1711,3.8175,300.4,2015-03-13,1232,D,2
51.1598,3.8067,302.9,2015-03-13,1232,D,2
51.1758,3.8206,301.4,2015-03-14,203,N,2
51.167,3.8172,303.2,2015-03-14,203,N,2
51.1665,3.8043,302.0,2015-03-16,1116,D,0
51.1631,3.8218,300.3,2015-03-16,1116,D,2
51.1773,3.8197,303.1,2015-03-17,1021,D,2
51.1583,3.808,302.0,2015-03-17,1207,D,2
51.162,3.8103,303.2,2015-03-17,1207,D,2
51.1646,3.8166,311.0,2015-03-17,2132,N,2
51.1734,3.8132,303.9,2015-03-17,2132,N,2
51.1743,3.8167,309.3,2015-03-23,157,N,2
51.1636,3.8147,309.1,2015-03-23,1308,D,2
51.1182,3.8644,316.0,2015-03-27,1058,D,0
51.1729,3.8111,312.8,2015-03-27,1058,D,2
51.1732,3.8186,310.9,2015-03-30,203,N,2
51.0553,3.5755,310.7,2015-03-31,1219,D,0
51.164,3.8072,302.0,2015-03-31,1219,D,0
51.1654,3.8133,301.0,2015-03-31,1219,D,2
51.1667,3.8131,310.4,2015-04-01,1302,D,2
51.1691,3.8098,306.1,2015-04-02,2132,N,2
51.17,3.8112,307.9,2015-04-04,2119,N,2
51.1722,3.8136,314.7,2015-04-05,1051,D,2
51.0727,3.8626,301.5,2015-04-05,1051,D,0
51.1635,3.8148,302.1,2015-04-08,1122,D,2
51.1782,3.8152,308.7,2015-04-09,1027,D,2
51.0966,4.5589,303.5,2015-04-09,1213,D,0
50.4454,6.2506,308.5,2015-04-09,1213,D,0
50.4455,6.2557,308.0,2015-04-09,1213,D,0
51.371,4.8743,305.6,2015-04-09,1213,D,0
51.214,3.9766,305.0,2015-04-09,1213,D,0
51.218,3.9963,304.7,2015-04-09,1213,D,0
51.4415,4.6913,306.4,2015-04-09,1213,D,0
51.4451,4.7096,314.8,2015-04-09,1213,D,0
51.3325,4.7334,324.0,2015-04-09,1213,D,0
51.0929,4.5401,307.3,2015-04-09,1213,D,0
51.0164,4.3542,307.7,2015-04-09,1213,D,0
50.9465,3.5479,306.7,2015-04-09,1213,D,0
50.9422,3.5272,317.9,2015-04-09,1213,D,0
51.0214,4.1326,310.2,2015-04-09,1213,D,0
51.1696,3.8129,301.3,2015-04-09,2138,N,2
51.1664,3.8183,306.2,2015-04-10,145,N,2
51.1744,3.811,304.5,2015-04-10,1110,D,2
51.4506,4.8053,308.2,2015-04-10,1110,D,0
50.4645,6.2053,317.6,2015-04-10,1256,D,0
51.1745,3.825,311.0,2015-04-12,133,N,2
51.1964,3.1409,305.3,2015-04-12,1057,D,0
51.1985,3.1268,300.4,2015-04-12,1057,D,0
51.1161,3.8648,306.0,2015-04-12,1057,D,0
51.1708,3.8115,313.4,2015-04-12,1057,D,2
50.9686,3.1721,302.6,2015-04-12,1058,D,0
51.1675,3.8129,317.1,2015-04-12,1244,D,2
51.0942,4.5868,312.2,2015-04-12,1244,D,0
51.1013,4.5693,350.2,2015-04-12,1244,D,0
51.0923,4.5723,320.3,2015-04-12,1244,D,0
50.9604,3.7387,314.8,2015-04-14,1045,D,0
51.1746,4.5216,305.0,2015-04-14,1045,D,0
51.1727,4.5363,305.3,2015-04-14,1045,D,0
50.961,4.0347,342.6,2015-04-14,1045,D,0
51.0077,3.7913,321.0,2015-04-14,1045,D,0
51.1732,3.8166,310.2,2015-04-14,1045,D,2
51.164,3.8138,308.0,2015-04-14,1045,D,2
51.164,3.8037,317.1,2015-04-14,1232,D,0
50.9618,5.183,306.5,2015-04-14,1232,D,0
51.0848,3.6559,305.3,2015-04-14,1232,D,0
51.1884,3.778,311.0,2015-04-14,1232,D,0
51.1908,3.7926,309.3,2015-04-14,1232,D,0
51.1664,3.8182,309.8,2015-04-14,1232,D,2
51.1661,3.819,306.8,2015-04-15,204,N,2
51.177,3.8084,306.4,2015-04-15,204,N,2
50.6286,3.3929,310.1,2015-04-15,1128,D,0
51.1475,5.3769,306.1,2015-04-15,1128,D,0
51.1735,3.8105,315.9,2015-04-15,1128,D,2
51.1635,3.7995,315.5,2015-04-15,1315,D,0
51.1714,3.8214,310.8,2015-04-16,1033,D,2
51.1644,3.8057,318.7,2015-04-16,1220,D,0
51.1718,3.8188,301.1,2015-04-17,1116,D,2
51.1666,3.8314,302.4,2015-04-18,1021,D,2
51.0589,4.5409,316.1,2015-04-18,1207,D,0
50.8885,5.4437,314.9,2015-04-18,1207,D,0
50.8926,5.4637,304.9,2015-04-18,1207,D,0
50.949,3.7109,303.9,2015-04-18,1207,D,0
50.8909,5.4374,306.0,2015-04-18,1207,D,0
50.9438,3.6873,307.3,2015-04-18,1207,D,0
51.164,3.8136,314.6,2015-04-18,1207,D,2
51.1657,3.8172,305.9,2015-04-18,2132,N,2
51.1688,3.8159,305.6,2015-04-19,139,N,2
51.1646,3.8107,306.8,2015-04-19,1103,D,2
51.1712,3.8193,306.2,2015-04-19,1103,D,2
51.1698,3.8173,307.4,2015-04-19,1250,D,2
51.1774,3.8118,303.3,2015-04-20,222,N,2
51.1715,3.846,301.5,2015-04-20,1008,D,2
51.168,3.838,303.7,2015-04-20,1008,D,2
51.1685,3.826,308.3,2015-04-20,1146,D,2
51.1678,3.8059,303.9,2015-04-20,2119,N,0
51.0996,3.7806,309.0,2015-04-21,1051,D,0
51.1024,4.4841,315.7,2015-04-21,1051,D,0
51.1694,3.8107,320.6,2015-04-21,1051,D,2
50.4518,6.2683,313.6,2015-04-21,1238,D,0
50.4725,6.2263,309.9,2015-04-21,1238,D,0
50.4744,6.2407,312.1,2015-04-21,1238,D,0
51.1657,3.8081,322.8,2015-04-21,1238,D,2
50.4499,6.254,313.7,2015-04-21,1238,D,0
51.388,4.8371,306.7,2015-04-21,1238,D,0
51.1749,3.8159,306.9,2015-04-22,210,N,2
51.1636,3.8064,308.2,2015-04-23,1226,D,0
51.1162,4.0193,305.6,2015-04-23,1226,D,0
51.1697,3.8129,303.7,2015-04-23,2150,N,2
51.1692,3.8108,305.6,2015-04-24,158,N,2
51.1746,3.8124,311.1,2015-04-24,1122,D,2
51.063,3.8357,313.8,2015-04-24,1122,D,0
51.1644,3.8071,313.2,2015-04-24,1122,D,0
51.0671,3.8157,310.4,2015-04-24,1122,D,0
51.1705,3.8095,300.6,2015-04-26,146,N,2
51.1672,3.807,306.4,2015-04-27,2125,N,0
51.1761,3.8032,301.5,2015-04-27,2125,N,0
51.1657,3.8083,324.9,2015-04-28,1244,D,2
51.1734,3.818,303.0,2015-04-29,216,N,2
51.0559,4.1608,312.5,2015-04-30,1045,D,0
51.023,3.7701,314.8,2015-04-30,1045,D,0
51.1709,3.8128,302.0,2015-05-01,204,N,2
50.9895,3.7908,316.0,2015-05-05,1250,D,0
50.9876,3.7757,316.0,2015-05-05,1250,D,0
51.172,3.8136,312.9,2015-05-06,222,N,2
51.1752,3.8117,303.1,2015-05-06,2120,N,2
