latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.1996,-3.7329,328.8,2015-01-01,1050,D,0
9.6675,-3.7803,319.0,2015-01-01,1050,D,0
9.2136,-3.9512,326.7,2015-01-01,1050,D,0
9.8098,-6.8537,316.6,2015-01-01,1050,D,0
9.0054,-3.7279,357.0,2015-01-01,1050,D,0
9.3299,-2.9365,337.2,2015-01-01,1050,D,0
9.576,-3.6619,323.1,2015-01-01,1050,D,0
9.355,-3.851,322.9,2015-01-01,1050,D,0
8.9848,-3.9025,332.5,2015-01-01,1050,D,0
8.9772,-3.9127,326.4,2015-01-01,1050,D,0
9.243,-4.4047,324.0,2015-01-01,1050,D,0
10.1343,-7.5793,317.5,2015-01-01,1050,D,0
8.9758,-3.9038,334.5,2015-01-01,1050,D,0
8.9422,-3.615,328.5,2015-01-01,1050,D,0
8.9889,-3.7395,340.9,2015-01-01,1050,D,0
8.9257,-3.6266,339.2,2015-01-01,1050,D,0
9.1617,-4.2871,316.6,2015-01-01,1050,D,0
8.7732,-2.6686,324.8,2015-01-01,1050,D,0
9.5059,-4.3756,319.2,2015-01-01,1050,D,0
8.9813,-3.7498,319.2,2015-01-01,1050,D,0
9.1528,-4.2884,331.9,2015-01-01,1050,D,0
8.9799,-3.7408,330.8,2015-01-01,1050,D,0
9.1413,-4.2777,366.3,2015-01-01,1050,D,0
9.5149,-4.3743,318.2,2015-01-01,1050,D,0
9.6662,-3.7713,318.6,2015-01-01,1050,D,0
8.9181,-3.6369,337.8,2015-01-01,1050,D,0
8.9167,-3.6279,333.0,2015-01-01,1050,D,0
9.3345,-3.2769,326.3,2015-01-01,1050,D,0
9.3215,-3.81,322.9,2015-01-01,1050,D,0
9.5073,-3.5065,320.0,2015-01-01,1050,D,0
8.7746,-2.6779,338.8,2015-01-01,1050,D,0
8.9038,-3.6023,375.0,2015-01-01,1050,D,0
9.5873,-6.6436,315.2,2015-01-01,1050,D,0
8.9025,-3.5933,347.1,2015-01-01,1050,D,0
10.0584,-6.7315,314.9,2015-01-01,1050,D,0
10.0568,-6.72,314.7,2015-01-01,1050,D,0
9.2444,-4.4138,325.5,2015-01-01,1050,D,0
9.0138,-3.846,322.8,2015-01-01,1050,D,0
9.6949,-3.6568,319.5,2015-01-01,1050,D,0
9.3332,-3.2679,325.7,2015-01-01,1050,D,0
9.0067,-3.7369,335.3,2015-01-01,1050,D,0
9.0227,-3.8447,325.9,2015-01-01,1050,D,0
9.4482,-7.0458,312.4,2015-01-01,1050,D,0
9.5049,-7.1585,315.1,2015-01-01,1050,D,0
10.208,-7.2165,313.1,2015-01-01,1050,D,0
9.024,-3.8536,327.2,2015-01-01,1050,D,0
9.1776,-4.8404,320.1,2015-01-01,1050,D,0
