latitude,longitude,brightness,acq_date,acq_time,daynight,type
59.452,24.9133,300.1,2015-03-24,1037,D,0
59.3336,27.28,300.3,2015-04-11,1011,D,0
57.6174,26.7716,302.5,2015-05-30,1107,D,0
58.7419,26.5065,303.3,2015-05-30,1107,D,0
58.3102,26.2288,306.8,2015-05-30,1107,D,0
59.3766,28.1668,307.0,2015-06-04,935,D,0
59.374,28.1838,304.1,2015-06-04,935,D,0
59.2488,24.0336,304.4,2015-06-04,935,D,0
58.2528,22.4817,300.5,2015-06-04,1125,D,0
58.255,22.4998,301.1,2015-06-04,1125,D,0
57.9433,27.2664,304.6,2015-06-10,1048,D,0
59.2505,24.0404,303.0,2015-06-27,942,D,0
58.4304,26.9706,302.7,2015-07-02,1000,D,0
59.3312,24.6969,303.0,2015-07-05,1043,D,0
58.3788,26.4583,301.8,2015-07-06,936,D,0
59.0682,25.5165,300.0,2015-07-21,1042,D,0
58.9389,25.4466,300.0,2015-07-21,1042,D,0
58.4551,24.4635,305.2,2015-08-21,948,D,0
57.8467,27.1992,312.6,2015-08-23,1124,D,0
59.1551,27.819,307.8,2015-08-23,1125,D,0
59.4637,24.9799,305.6,2015-10-21,2032,N,0
59.4608,24.9754,300.8,2015-10-21,2032,N,0
