latitude,longitude,brightness,acq_date,acq_time,daynight,type
-17.5782,177.6824,320.0,2015-01-01,2230,D,0
-17.0799,177.287,313.6,2015-01-03,200,D,3
-18.135,178.4461,313.5,2015-01-06,2249,D,0
-16.7897,178.5585,313.6,2015-01-08,219,D,0
-18.0034,177.2851,326.3,2015-01-28,154,D,0
-18.0293,177.3732,311.4,2015-01-29,2255,D,0
-16.7855,178.5638,319.3,2015-02-02,2230,D,0
-16.7883,178.5681,317.8,2015-02-06,2205,D,0
-16.7867,178.5645,317.1,2015-03-06,2230,D,0
-17.9901,177.7222,314.6,2015-04-09,201,D,0
-17.8765,177.4705,310.0,2015-04-25,201,D,0
-18.2007,-178.8262,311.8,2015-05-13,148,D,0
-17.9943,177.2874,311.6,2015-05-15,136,D,0
-16.4269,179.367,310.1,2015-05-22,142,D,0
-17.9989,177.4379,303.0,2015-05-22,142,D,0
-17.5474,177.792,317.3,2015-05-22,142,D,0
-17.5478,177.7988,315.4,2015-05-22,142,D,0
-17.8822,177.4061,300.6,2015-05-22,1107,N,0
-17.8801,177.419,308.4,2015-05-22,1107,N,0
-18.0183,177.3541,312.3,2015-05-23,225,D,0
-17.5538,177.7649,313.0,2015-05-25,213,D,0
-18.0075,177.3492,314.4,2015-05-25,213,D,0
-18.0096,177.3365,315.5,2015-05-25,213,D,0
-18.0019,177.3414,310.3,2015-05-25,213,D,0
-17.4076,177.7767,315.2,2015-05-27,200,D,0
-17.4155,178.0172,319.0,2015-05-27,200,D,0
-17.6399,177.7524,314.7,2015-05-27,200,D,0
-17.5373,177.9513,312.3,2015-05-27,200,D,0
-17.4164,177.7881,317.5,2015-06-02,124,D,0
-17.4206,177.7947,321.0,2015-06-02,124,D,0
-17.8252,177.4557,310.8,2015-06-17,219,D,0
-17.8284,177.4669,312.3,2015-06-17,219,D,0
-17.6059,177.7849,328.1,2015-06-17,2237,D,0
-16.7775,178.5931,311.8,2015-06-17,2237,D,0
-17.6435,177.7894,312.6,2015-06-18,124,D,0
-17.44,177.9304,308.6,2015-06-18,1049,N,0
-17.8482,177.4711,304.8,2015-06-18,1355,N,0
-17.9888,177.2747,303.5,2015-06-20,1037,N,0
-17.7175,177.6919,315.7,2015-06-24,2243,D,0
-17.4808,177.9463,312.3,2015-06-25,130,D,0
-16.3378,179.5477,317.7,2015-06-25,130,D,0
-17.4833,177.9539,312.9,2015-06-25,130,D,0
-17.6781,177.6913,304.1,2015-06-26,2231,D,0
-17.5626,177.7971,311.5,2015-06-30,148,D,0
-17.5519,177.8767,319.2,2015-06-30,148,D,0
-17.4869,177.8018,312.1,2015-07-01,231,D,0
-17.4808,177.805,313.9,2015-07-01,231,D,0
-17.6522,177.44,312.2,2015-07-01,2249,D,0
-17.9852,177.4152,310.8,2015-07-02,136,D,0
-17.9094,177.4102,311.6,2015-07-02,136,D,0
-17.9054,177.4151,316.9,2015-07-02,136,D,0
-18.1965,-178.814,312.5,2015-07-02,136,D,0
-17.9943,177.2884,314.9,2015-07-03,219,D,0
-17.9106,177.651,309.4,2015-07-03,2237,D,0
-17.6126,177.5551,311.7,2015-07-03,2237,D,0
-17.469,177.945,313.6,2015-07-04,124,D,0
-17.531,177.9732,312.0,2015-07-05,206,D,0
-17.7998,177.6053,313.5,2015-07-07,154,D,0
-17.663,177.7886,313.7,2015-07-07,154,D,0
-17.8757,177.8441,314.2,2015-07-07,154,D,0
-17.6266,177.5951,317.3,2015-07-07,154,D,0
-17.5252,178.049,311.1,2015-07-07,154,D,0
-17.5266,178.0396,309.8,2015-07-07,154,D,0
-17.9569,177.2675,316.7,2015-07-07,154,D,0
-17.4326,177.954,321.3,2015-07-12,2231,D,0
-17.4532,177.9412,313.4,2015-07-13,117,D,0
-16.6786,178.6093,315.1,2015-07-14,200,D,0
-17.488,177.7046,310.6,2015-07-14,2219,D,0
-17.8458,177.9072,318.1,2015-07-16,148,D,0
-17.6239,177.8419,313.1,2015-07-16,148,D,0
-17.5166,177.8913,312.9,2015-07-16,148,D,0
-17.7578,177.4759,314.1,2015-07-19,218,D,0
-16.6907,178.7271,310.4,2015-07-19,2237,D,0
-17.6293,177.7582,316.7,2015-07-23,154,D,0
-17.544,177.6424,315.6,2015-07-23,154,D,0
-17.8725,177.3357,313.0,2015-07-23,154,D,0
