latitude,longitude,brightness,acq_date,acq_time,daynight,type
16.0207,-61.7348,313.8,2015-01-25,1456,D,0
16.2211,-61.4885,311.6,2015-01-29,1737,D,0
16.2784,-61.2551,320.4,2015-03-13,1719,D,0
16.2765,-61.2668,317.3,2015-03-13,1719,D,0
16.2554,-61.2478,311.2,2015-05-03,1750,D,3
16.3973,-61.4464,314.3,2015-05-04,1655,D,0
16.2315,-61.6782,320.5,2015-05-15,1508,D,0
16.2285,-61.6612,318.3,2015-05-15,1508,D,0
16.2867,-61.499,331.7,2015-06-04,1444,D,0
16.3033,-61.6827,335.0,2015-06-06,1737,D,0
16.302,-61.6923,324.8,2015-06-06,1737,D,0
16.3364,-61.7378,323.9,2015-06-09,1502,D,0
16.3342,-61.7246,327.6,2015-06-09,1502,D,0
16.3066,-61.6889,336.7,2015-06-09,1502,D,0
16.3044,-61.6755,328.2,2015-06-09,1502,D,0
16.2441,-61.6808,315.6,2015-06-11,1450,D,0
16.2987,-61.336,325.0,2015-06-30,1521,D,0
16.3028,-61.3403,328.4,2015-06-30,1521,D,0
