latitude,longitude,brightness,acq_date,acq_time,daynight,type
-20.144,57.4996,319.5,2015-01-02,645,D,0
-20.4454,57.6626,311.7,2015-06-09,943,D,0
-20.1853,57.45,311.1,2015-07-02,949,D,0
-20.1821,57.5024,311.8,2015-07-10,615,D,0
-20.4584,57.6677,312.1,2015-07-31,634,D,0
-20.1774,57.4849,316.8,2015-08-23,640,D,0
-20.1019,57.5311,321.1,2015-08-28,943,D,0
-20.0365,57.5679,326.2,2015-09-06,937,D,0
-20.0383,57.5519,312.0,2015-09-06,937,D,0
-20.386,57.3979,317.3,2015-09-10,627,D,0
-20.3874,57.4075,315.1,2015-09-10,627,D,0
-20.0774,57.5569,321.1,2015-09-11,955,D,0
-20.353,57.7012,320.0,2015-09-19,621,D,0
-20.0474,57.575,317.1,2015-09-19,621,D,0
-20.3546,57.7113,319.7,2015-09-19,621,D,0
-20.0458,57.5648,321.3,2015-09-19,621,D,0
-20.2398,57.438,319.2,2015-09-25,1007,D,0
-20.1969,57.743,323.1,2015-09-27,955,D,0
-20.0122,57.5998,316.7,2015-09-28,614,D,0
-20.0142,57.612,320.6,2015-09-28,614,D,0
-20.0921,57.5351,316.6,2015-09-30,1025,D,0
-20.2342,57.6999,313.7,2015-10-06,949,D,0
-20.0895,57.6607,318.5,2015-10-10,924,D,0
-20.226,57.4497,330.3,2015-10-11,1007,D,0
-20.102,57.5511,317.1,2015-10-21,621,D,0
-20.1003,57.5409,322.4,2015-10-21,621,D,0
-20.267,57.3936,334.9,2015-10-29,955,D,0
-20.2656,57.4033,368.9,2015-10-29,955,D,0
-20.2663,57.7542,314.3,2015-11-02,930,D,0
-20.0866,57.5397,314.4,2015-11-18,930,D,0
-20.4537,57.665,323.4,2015-11-29,627,D,0
-20.4523,57.6554,325.7,2015-11-29,627,D,0
-19.6887,63.4852,311.1,2015-12-15,626,D,0
