latitude,longitude,brightness,acq_date,acq_time,daynight,type
19.6596,-103.3501,300.5,2015-01-01,512,N,0
19.5099,-103.6274,301.6,2015-01-01,512,N,1
19.5113,-103.618,319.2,2015-01-01,512,N,1
19.6582,-103.3596,307.4,2015-01-01,512,N,0
16.2038,-95.1684,302.3,2015-01-01,759,N,2
15.9149,-93.5391,306.7,2015-01-01,759,N,0
20.0673,-100.4557,311.5,2015-01-01,1723,D,0
19.1903,-99.5281,311.1,2015-01-01,1723,D,0
20.0228,-102.2798,310.6,2015-01-01,1723,D,0
20.0243,-102.2901,322.1,2015-01-01,1723,D,0
18.196,-100.6458,321.0,2015-01-01,1723,D,0
18.1947,-100.6365,328.9,2015-01-01,1723,D,0
18.1857,-100.6379,319.6,2015-01-01,1723,D,0
18.1844,-100.6285,325.0,2015-01-01,1723,D,0
20.1493,-102.4187,313.2,2015-01-01,1723,D,0
20.1507,-102.4293,320.0,2015-01-01,1723,D,0
19.5866,-103.3451,316.6,2015-01-01,1723,D,0
19.585,-103.3337,311.7,2015-01-01,1723,D,0
18.6292,-99.1791,312.4,2015-01-01,1723,D,0
18.6276,-99.1693,315.1,2015-01-01,1723,D,0
17.6375,-100.6102,307.0,2015-01-01,1724,D,0
16.2037,-95.1669,315.4,2015-01-01,1724,D,2
17.3168,-98.9889,309.0,2015-01-01,1724,D,0
19.227,-90.3279,301.4,2015-01-01,1852,D,0
19.5048,-103.6197,321.2,2015-01-01,2030,D,1
18.7117,-99.2079,318.8,2015-01-01,2030,D,0
18.6021,-98.7965,316.4,2015-01-01,2030,D,0
18.5924,-98.8,318.0,2015-01-01,2030,D,0
20.7199,-104.0013,321.6,2015-01-01,2031,D,0
20.4234,-103.1927,308.7,2015-01-01,2031,D,0
16.1979,-95.1486,303.5,2015-01-02,416,N,2
17.8936,-93.191,304.3,2015-01-02,416,N,2
17.8948,-92.4936,306.1,2015-01-02,416,N,2
17.896,-92.4875,304.5,2015-01-02,416,N,2
17.8446,-93.1225,335.5,2015-01-02,416,N,2
19.5123,-103.6171,308.7,2015-01-02,841,N,1
15.0729,-92.5373,316.8,2015-01-02,1629,D,0
15.0997,-92.5655,340.4,2015-01-02,1629,D,0
16.0682,-92.1781,312.6,2015-01-02,1629,D,0
20.0286,-102.2968,321.4,2015-01-02,1806,D,0
