latitude,longitude,brightness,acq_date,acq_time,daynight,type
17.3988,-62.8079,310.4,2015-02-25,1719,D,0
17.3383,-62.8147,316.5,2015-03-19,1514,D,0
17.4056,-62.8166,320.2,2015-03-20,1725,D,0
17.4038,-62.8279,334.0,2015-03-20,1725,D,0
17.3037,-62.7232,314.1,2015-03-22,1713,D,0
17.3085,-62.7669,318.3,2015-03-30,1802,D,0
17.3067,-62.7227,313.0,2015-04-07,1713,D,0
17.3929,-62.8335,321.2,2015-04-26,1744,D,0
17.3412,-62.8229,313.7,2015-05-22,1514,D,0
17.3518,-62.7395,351.4,2015-06-06,1737,D,0
17.3831,-62.7642,320.8,2015-06-11,1450,D,0
17.3043,-62.7165,320.4,2015-08-05,1801,D,0
17.3373,-62.8225,319.9,2015-08-14,1755,D,0
17.2277,-62.6408,317.0,2015-08-23,1444,D,3
17.3016,-62.7199,314.0,2015-08-29,1712,D,0
17.3019,-62.7175,311.3,2015-09-02,1520,D,0
17.3127,-62.7062,312.9,2015-09-27,1514,D,0
