latitude,longitude,brightness,acq_date,acq_time,daynight,type
21.1787,105.2228,302.2,2015-01-01,411,D,0
22.1141,104.9583,307.9,2015-01-01,411,D,0
21.3539,105.7579,302.9,2015-01-01,411,D,0
21.6968,103.0861,318.7,2015-01-01,411,D,0
21.6998,103.0696,309.5,2015-01-01,411,D,0
21.1776,105.2043,302.3,2015-01-01,411,D,0
21.183,105.2004,303.9,2015-01-01,411,D,0
19.4374,105.6457,302.5,2015-01-01,412,D,0
13.7156,109.0486,306.7,2015-01-01,539,D,0
13.0949,107.5584,318.3,2015-01-01,539,D,0
13.1011,107.5924,310.3,2015-01-01,539,D,0
13.1011,107.5526,311.2,2015-01-01,539,D,0
13.0033,107.6547,307.7,2015-01-01,539,D,0
13.2048,107.7012,315.3,2015-01-01,539,D,0
13.2128,107.7068,318.8,2015-01-01,539,D,0
13.117,107.7261,312.2,2015-01-01,539,D,0
21.5019,107.7142,310.0,2015-01-01,541,D,0
21.5078,107.7199,306.1,2015-01-01,541,D,0
22.1613,106.3165,302.2,2015-01-01,542,D,0
21.0393,106.945,305.6,2015-01-02,316,D,0
21.9897,106.7148,302.5,2015-01-02,316,D,0
21.9893,106.7244,305.7,2015-01-02,316,D,0
21.0376,106.9598,303.2,2015-01-02,316,D,0
21.177,105.2168,307.2,2015-01-02,316,D,0
21.3732,104.9597,300.7,2015-01-02,316,D,0
21.0349,107.0776,305.2,2015-01-02,316,D,0
21.1729,105.255,302.5,2015-01-02,316,D,0
21.2218,106.8388,302.4,2015-01-02,316,D,0
21.4094,107.3701,300.6,2015-01-02,316,D,0
21.2199,106.8542,312.3,2015-01-02,316,D,0
21.0363,106.9529,309.4,2015-01-02,316,D,0
13.8609,107.589,314.0,2015-01-02,318,D,0
13.183,107.6288,312.8,2015-01-02,318,D,0
13.2186,107.5811,313.2,2015-01-02,318,D,0
14.1338,108.3377,320.1,2015-01-02,318,D,0
13.8624,107.5787,317.1,2015-01-02,318,D,0
14.1351,108.3278,309.9,2015-01-02,318,D,0
13.1783,107.7326,314.1,2015-01-02,318,D,0
13.4308,107.6553,313.3,2015-01-02,318,D,0
11.0561,106.5521,307.1,2015-01-02,621,D,0
14.1776,107.7333,310.5,2015-01-02,622,D,0
21.2647,105.1227,333.5,2015-01-02,624,D,0
21.2633,105.1131,325.4,2015-01-02,624,D,0
20.7975,104.4934,309.2,2015-01-02,624,D,0
21.262,105.1036,305.9,2015-01-02,624,D,0
21.1393,103.4345,300.1,2015-01-02,624,D,0
21.3046,104.5571,303.5,2015-01-02,624,D,0
21.6486,105.7745,309.0,2015-01-02,624,D,0
19.5867,104.0876,310.7,2015-01-02,624,D,0
21.0849,103.8736,301.7,2015-01-02,624,D,0
21.2366,103.2793,307.1,2015-01-02,624,D,0
21.306,104.5666,301.7,2015-01-02,624,D,0
21.338,107.5573,309.1,2015-01-02,624,D,0
21.238,103.2892,309.2,2015-01-02,624,D,0
21.4257,104.5011,306.0,2015-01-02,624,D,0
21.65,105.7844,304.9,2015-01-02,624,D,0
21.7275,104.9421,309.4,2015-01-02,624,D,0
21.6806,105.6679,304.7,2015-01-02,624,D,0
21.7242,103.8292,314.3,2015-01-02,624,D,0
21.7228,103.8196,303.4,2015-01-02,624,D,0
21.2302,104.7406,305.9,2015-01-02,624,D,0
21.4498,103.5318,318.0,2015-01-02,624,D,0
21.4671,103.895,314.8,2015-01-02,624,D,0
21.2738,103.4035,323.2,2015-01-02,624,D,0
21.3126,104.7409,308.7,2015-01-02,624,D,0
20.9419,103.4711,305.2,2015-01-02,624,D,0
21.5463,104.7683,304.8,2015-01-02,624,D,0
22.1207,105.9343,312.7,2015-01-02,624,D,0
20.7654,103.5799,328.0,2015-01-02,624,D,0
22.1583,106.3474,305.6,2015-01-02,624,D,0
21.7289,104.9517,304.4,2015-01-02,624,D,0
