latitude,longitude,brightness,acq_date,acq_time,daynight,type
39.4002,111.3117,305.0,2016-01-01,336,D,0
27.7298,102.2007,301.6,2016-01-01,339,D,2
27.7281,102.216,322.4,2016-01-01,339,D,2
27.7261,102.2098,323.1,2016-01-01,339,D,2
26.6212,101.602,309.5,2016-01-01,340,D,2
26.5794,101.6688,304.0,2016-01-01,340,D,2
24.0223,117.0147,306.6,2016-01-01,340,D,0
24.0095,117.0494,301.7,2016-01-01,340,D,0
24.0186,117.0079,303.5,2016-01-01,340,D,0
24.0141,117.0281,320.2,2016-01-01,511,D,0
24.011,117.0237,323.5,2016-01-01,511,D,0
24.008,117.0073,305.7,2016-01-01,511,D,0
24.0113,117.0119,320.8,2016-01-01,511,D,0
29.3049,120.2484,300.4,2016-01-01,512,D,0
28.1469,120.4084,308.2,2016-01-01,512,D,0
31.4029,121.3128,303.6,2016-01-01,512,D,0
31.4014,121.3023,300.7,2016-01-01,512,D,0
32.0803,119.6755,309.8,2016-01-01,513,D,0
32.3501,121.3758,300.7,2016-01-01,513,D,0
31.825,118.9692,307.4,2016-01-01,513,D,0
34.975,117.6531,303.5,2016-01-01,514,D,0
36.6502,117.2286,301.5,2016-01-01,514,D,0
36.2336,120.1621,307.1,2016-01-01,514,D,0
36.264,120.4558,300.2,2016-01-01,514,D,0
38.6438,116.5487,300.0,2016-01-01,515,D,0
41.5638,122.817,302.9,2016-01-01,515,D,0
39.5493,117.4855,303.3,2016-01-01,515,D,0
38.5885,116.5007,305.2,2016-01-01,515,D,0
40.9401,122.5754,307.1,2016-01-01,515,D,0
40.9438,122.5816,305.3,2016-01-01,515,D,0
41.9548,123.2105,317.5,2016-01-01,515,D,0
41.4159,122.9428,300.8,2016-01-01,515,D,0
40.8479,122.4681,302.6,2016-01-01,515,D,0
41.5631,122.4927,302.5,2016-01-01,515,D,0
40.3638,115.5929,316.4,2016-01-01,515,D,0
40.9303,122.4533,303.9,2016-01-01,515,D,0
40.9272,122.447,302.6,2016-01-01,515,D,0
41.1841,121.617,303.9,2016-01-01,515,D,0
38.0855,113.0043,301.4,2016-01-01,515,D,0
39.8626,118.1647,301.9,2016-01-01,515,D,2
38.0747,113.0077,306.3,2016-01-01,515,D,0
