latitude,longitude,brightness,acq_date,acq_time,daynight,type
43.0852,21.0594,323.1,2016-01-01,1151,D,0
42.9186,20.5135,325.0,2016-01-01,1151,D,0
42.699,21.4172,304.8,2016-04-01,1134,D,0
42.2494,20.9655,312.0,2016-04-03,939,D,0
42.7214,20.1467,307.0,2016-04-03,1121,D,0
42.7193,20.1518,307.8,2016-04-03,1121,D,0
42.8524,20.9948,314.3,2016-04-04,1204,D,0
43.0181,21.0637,310.4,2016-04-04,1204,D,0
42.2985,21.1163,323.8,2016-04-06,1152,D,0
42.9337,20.9061,318.5,2016-04-06,1152,D,0
42.892,20.6368,321.8,2016-04-07,915,D,0
42.3957,20.7226,314.0,2016-04-07,915,D,0
42.9342,20.9096,312.5,2016-04-07,915,D,0
42.8903,20.6544,329.5,2016-04-07,915,D,0
43.0501,21.0971,307.9,2016-04-08,1140,D,0
42.9534,20.5082,335.4,2016-04-12,933,D,0
42.9551,20.4961,341.7,2016-04-12,933,D,0
42.9494,20.4887,325.8,2016-04-12,1116,D,0
42.9518,20.4945,336.3,2016-04-12,1116,D,0
42.9533,20.5075,320.7,2016-04-12,1116,D,0
42.9452,20.4997,309.3,2016-04-13,1158,D,0
42.9394,20.5032,308.3,2016-04-15,1146,D,0
42.9257,21.0655,310.3,2016-04-16,909,D,0
42.9274,21.0461,316.1,2016-04-16,909,D,0
42.9215,21.057,306.7,2016-04-16,1051,D,0
42.9326,21.0588,311.6,2016-04-17,951,D,0
42.9297,21.0469,303.7,2016-04-18,1217,D,0
43.075,21.0168,313.3,2016-04-19,939,D,0
42.923,20.7984,312.8,2016-04-19,939,D,0
42.8652,20.6315,311.7,2016-04-19,939,D,0
43.07,21.0207,306.9,2016-04-19,1122,D,0
42.3479,20.8172,313.7,2016-05-19,1133,D,0
42.3453,20.8258,321.7,2016-05-28,946,D,0
42.3435,20.824,325.3,2016-05-28,1127,D,0
42.3491,20.8248,326.0,2016-06-22,940,D,0
42.369,20.4533,319.6,2016-07-01,934,D,0
42.3504,20.827,317.3,2016-07-08,940,D,0
42.3139,20.7768,321.1,2016-07-09,1203,D,0
42.3884,21.3304,324.6,2016-07-11,1151,D,0
42.2625,20.7518,304.1,2016-07-14,2010,N,0
42.3508,20.825,320.9,2016-07-15,946,D,0
42.367,21.2765,317.0,2016-07-15,946,D,0
42.2638,20.7073,323.9,2016-07-15,1126,D,0
42.3454,20.8192,319.6,2016-07-15,1126,D,0
42.3418,20.8179,321.7,2016-07-22,1132,D,0
42.6269,21.0458,333.5,2016-07-24,1120,D,0
42.6136,21.033,330.5,2016-07-24,1120,D,0
42.6238,21.0294,334.5,2016-07-24,1120,D,0
42.6167,21.0493,345.1,2016-07-24,1120,D,0
42.6372,21.0424,328.2,2016-07-24,1120,D,0
42.6671,20.5771,302.8,2016-07-24,2046,N,0
42.7655,20.5386,320.2,2016-07-29,1139,D,0
42.5599,21.178,321.9,2016-07-31,946,D,0
42.6895,21.0532,318.7,2016-08-01,1209,D,0
42.4911,21.4751,321.0,2016-08-05,1145,D,0
42.7435,21.0896,311.7,2016-08-14,958,D,0
42.334,21.3299,323.0,2016-08-14,1138,D,0
42.395,20.4745,315.4,2016-08-21,1004,D,0
42.3942,21.4545,319.6,2016-08-28,1151,D,0
42.7646,21.0174,314.4,2016-09-29,1151,D,0
42.763,21.004,319.4,2016-09-29,1151,D,0
42.398,21.4706,312.2,2016-10-01,1138,D,0
42.3946,21.4467,313.8,2016-10-01,1138,D,0
42.3963,21.4586,313.1,2016-10-01,1138,D,0
42.7911,21.0136,304.4,2016-10-30,927,D,0
42.9222,21.0453,304.3,2016-12-10,921,D,0
42.8168,20.2805,301.3,2016-12-11,1004,D,0
42.816,20.2659,305.3,2016-12-11,1145,D,0
42.8665,20.6294,300.4,2016-12-11,1145,D,0
42.9303,20.4943,300.8,2016-12-11,1145,D,0
42.9213,21.0338,307.7,2016-12-11,1145,D,0
42.9392,20.492,308.7,2016-12-11,1145,D,0
42.8177,20.278,308.4,2016-12-11,1145,D,0
42.85,20.631,301.2,2016-12-18,1151,D,0
43.0027,20.9966,309.8,2016-12-22,945,D,0
