latitude,longitude,brightness,acq_date,acq_time,daynight,type
40.2734,71.2116,307.3,2016-02-20,821,D,0
40.2754,71.2336,306.6,2016-02-22,808,D,0
40.2778,71.2474,307.8,2016-02-22,808,D,0
40.8097,73.2624,330.1,2016-02-22,808,D,0
40.7159,72.9544,305.3,2016-02-22,808,D,0
40.896,72.9805,305.7,2016-02-22,808,D,0
41.0196,72.7684,306.2,2016-02-22,809,D,0
40.954,72.5877,305.2,2016-02-22,809,D,0
40.943,72.5779,311.8,2016-02-22,809,D,0
41.03,72.7005,308.5,2016-02-24,756,D,0
40.501,72.6416,305.9,2016-02-24,756,D,0
40.8972,72.9904,308.9,2016-02-24,756,D,0
40.2676,71.212,314.9,2016-02-24,756,D,0
42.9368,74.6195,302.3,2016-02-24,757,D,0
40.7222,72.9493,325.5,2016-02-25,839,D,0
40.8533,72.8837,310.6,2016-02-25,839,D,0
40.7237,72.9544,324.0,2016-02-25,839,D,0
41.0245,72.2811,313.7,2016-02-25,839,D,0
40.744,73.1992,311.9,2016-02-25,839,D,0
40.7469,73.2042,313.3,2016-02-25,839,D,0
40.7092,73.1702,311.8,2016-02-25,839,D,0
40.765,73.4022,310.9,2016-02-25,839,D,0
40.8097,73.2895,309.6,2016-02-25,839,D,0
42.8656,74.0812,308.9,2016-02-25,840,D,0
42.8988,74.1437,311.8,2016-02-25,840,D,0
42.9006,74.1684,309.7,2016-02-25,840,D,0
42.896,74.1517,318.3,2016-02-25,840,D,0
42.8647,74.2283,311.4,2016-02-26,745,D,0
42.9761,74.4259,308.0,2016-02-26,745,D,0
42.8683,74.2461,319.7,2016-02-26,745,D,0
42.8788,74.242,312.7,2016-02-26,745,D,0
42.9028,74.5339,310.2,2016-02-26,745,D,0
40.9284,72.5964,309.9,2016-02-27,827,D,0
42.931,73.9906,311.8,2016-02-27,827,D,0
42.8062,74.7902,308.5,2016-02-27,827,D,0
42.8942,74.2052,316.7,2016-02-27,827,D,0
42.8959,74.2219,319.5,2016-02-27,827,D,0
42.9887,74.46,306.0,2016-02-27,827,D,0
40.8298,72.9006,310.7,2016-02-27,827,D,0
42.9327,74.007,309.6,2016-02-27,827,D,0
42.9216,74.2119,309.5,2016-02-27,827,D,0
40.2916,71.2603,308.8,2016-02-27,827,D,0
41.1216,73.3829,342.2,2016-02-27,827,D,0
40.8685,73.3447,304.4,2016-02-28,551,D,0
42.8917,74.0616,307.3,2016-02-29,633,D,0
42.886,74.0647,305.1,2016-02-29,633,D,0
40.759,73.2269,323.5,2016-02-29,815,D,0
40.5537,72.7058,319.4,2016-02-29,815,D,0
40.58,72.7594,314.4,2016-02-29,815,D,0
40.5519,72.6941,345.4,2016-02-29,815,D,0
42.8959,74.9954,314.2,2016-02-29,815,D,0
42.8643,73.5907,309.4,2016-02-29,815,D,0
42.8473,74.9102,320.2,2016-02-29,815,D,0
42.8489,74.9235,319.5,2016-02-29,815,D,0
40.754,73.1919,322.0,2016-02-29,815,D,0
40.7573,73.2152,316.0,2016-02-29,815,D,0
42.9478,74.6636,309.7,2016-02-29,815,D,0
42.7316,71.6576,311.7,2016-03-02,803,D,0
42.728,71.6499,310.7,2016-03-02,803,D,0
42.7305,71.6645,305.7,2016-03-02,803,D,0
42.6276,71.1496,305.0,2016-03-02,803,D,0
42.8724,73.6718,300.9,2016-03-02,803,D,0
42.8703,73.6592,302.8,2016-03-02,803,D,0
42.927,74.6375,307.7,2016-03-03,846,D,0
42.9236,74.6423,315.1,2016-03-03,846,D,0
40.9936,73.3708,315.8,2016-03-04,609,D,0
42.7311,74.3532,306.5,2016-03-04,609,D,0
42.9387,74.6187,300.6,2016-03-04,609,D,0
42.9572,74.2723,306.7,2016-03-04,609,D,0
42.2341,76.5368,305.6,2016-03-04,609,D,0
42.8665,74.2005,310.5,2016-03-04,609,D,0
42.893,74.4128,307.2,2016-03-04,751,D,0
42.9222,74.8118,309.3,2016-03-04,751,D,0
42.8957,74.4276,323.0,2016-03-04,751,D,0
40.9716,73.5158,317.8,2016-03-05,833,D,0
43.0045,73.9966,312.8,2016-03-05,834,D,0
42.9625,74.7962,316.2,2016-03-05,834,D,0
42.9644,74.8182,320.5,2016-03-05,834,D,0
42.958,74.8136,326.8,2016-03-05,834,D,0
42.8688,73.9203,310.6,2016-03-06,557,D,0
42.4951,71.127,307.7,2016-03-06,557,D,0
42.8613,74.05,310.0,2016-03-06,557,D,0
42.9702,73.6101,308.4,2016-03-07,639,D,0
43.0055,73.9313,307.1,2016-03-07,639,D,0
42.9647,73.6346,308.8,2016-03-07,639,D,0
42.8765,74.0322,308.5,2016-03-07,821,D,0
42.6372,71.184,310.4,2016-03-07,821,D,0
40.8991,73.3316,313.9,2016-03-07,821,D,0
40.9424,73.5258,311.0,2016-03-07,821,D,0
43.177,73.9722,308.7,2016-03-07,821,D,0
42.8747,74.9062,313.2,2016-03-07,821,D,0
42.8585,73.5909,326.5,2016-03-07,821,D,0
42.8676,73.5057,323.9,2016-03-07,821,D,0
42.9757,73.9843,311.9,2016-03-07,821,D,0
43.0393,73.9418,310.1,2016-03-07,821,D,0
42.8498,73.7249,312.0,2016-03-07,821,D,0
42.8665,73.6588,312.3,2016-03-07,821,D,0
43.0455,74.3074,314.1,2016-03-08,544,D,0
42.0793,77.4255,303.4,2016-03-08,545,D,0
41.1562,72.9104,313.1,2016-03-08,545,D,0
40.9764,73.3912,311.5,2016-03-08,726,D,0
40.9862,73.3787,312.0,2016-03-08,726,D,0
40.7002,73.3637,313.3,2016-03-08,904,D,0
40.7035,73.3592,314.9,2016-03-08,904,D,0
43.0013,74.1748,307.6,2016-03-09,627,D,0
42.8821,73.6971,312.2,2016-03-09,627,D,0
42.9995,74.1684,309.1,2016-03-09,627,D,0
42.9139,74.2354,309.5,2016-03-09,809,D,0
40.5504,73.6293,311.2,2016-03-09,809,D,0
42.9769,74.8241,316.4,2016-03-09,809,D,0
42.9753,73.9488,314.3,2016-03-09,809,D,0
42.9122,74.2233,309.1,2016-03-09,809,D,0
42.8887,73.9288,312.8,2016-03-09,809,D,0
42.8755,74.2696,301.2,2016-03-10,532,D,0
42.7983,75.4764,309.2,2016-03-11,615,D,0
42.8823,73.9666,310.7,2016-03-11,615,D,0
43.0714,73.743,307.4,2016-03-11,615,D,0
43.1011,74.1185,306.0,2016-03-11,615,D,0
42.9774,74.1612,311.9,2016-03-11,757,D,0
43.0378,73.9077,308.2,2016-03-11,757,D,0
42.9619,74.0088,314.5,2016-03-13,603,D,0
42.9175,73.9972,309.5,2016-03-13,603,D,0
42.6874,74.7419,312.1,2016-03-13,603,D,0
42.7054,74.7293,308.0,2016-03-13,745,D,0
43.0205,74.2798,310.8,2016-03-13,745,D,0
42.9387,74.6223,301.7,2016-03-20,609,D,0
42.9357,74.623,301.3,2016-03-20,751,D,0
42.4996,72.2979,302.9,2016-03-20,751,D,0
42.5431,71.6552,305.2,2016-03-20,751,D,0
43.0946,74.2525,322.5,2016-03-21,834,D,0
42.8431,75.2379,307.8,2016-03-21,834,D,0
43.0831,74.2542,311.7,2016-03-21,834,D,0
40.7731,73.2979,307.8,2016-03-22,557,D,0
40.304,71.9765,307.6,2016-03-22,557,D,0
41.6681,71.0043,301.5,2016-03-25,809,D,0
42.9381,74.6247,307.8,2016-03-27,615,D,0
42.8752,75.9323,308.7,2016-03-27,615,D,0
40.5049,72.627,308.9,2016-03-27,616,D,0
42.8862,74.2524,312.4,2016-03-27,757,D,0
42.9379,74.6201,310.2,2016-03-27,757,D,0
42.8513,74.2375,303.7,2016-04-05,609,D,0
42.8532,74.2252,303.6,2016-04-05,609,D,0
42.9385,74.6216,308.9,2016-04-05,609,D,0
42.8923,74.8457,303.5,2016-04-05,609,D,0
42.6135,74.1805,300.5,2016-04-07,557,D,0
40.5439,72.782,307.3,2016-04-10,628,D,0
41.383,73.7614,313.5,2016-04-10,628,D,0
40.484,72.8041,308.4,2016-04-10,809,D,0
40.1118,70.7696,318.9,2016-04-10,809,D,0
42.8896,74.4586,308.4,2016-04-14,603,D,0
42.6962,78.437,305.4,2016-04-14,603,D,0
41.6971,70.9771,317.8,2016-04-15,828,D,0
41.6987,70.9893,319.3,2016-04-15,828,D,0
42.6983,78.4425,312.7,2016-04-15,828,D,0
42.9861,74.1721,311.5,2016-04-15,828,D,0
42.9905,74.1658,311.3,2016-04-15,828,D,0
42.694,78.4344,311.0,2016-04-15,828,D,0
39.7866,73.723,344.6,2016-04-16,551,D,0
39.796,73.7247,341.2,2016-04-16,551,D,0
39.7944,73.7378,324.7,2016-04-16,551,D,0
39.7851,73.7354,327.7,2016-04-16,551,D,0
41.3899,75.9998,320.1,2016-04-17,634,D,0
41.3979,75.9958,321.0,2016-04-17,634,D,0
42.7113,78.4619,318.1,2016-04-19,803,D,0
42.9343,74.6153,312.5,2016-04-19,804,D,0
43.0111,74.2426,310.8,2016-04-24,822,D,0
40.7608,73.3206,313.5,2016-04-28,616,D,0
40.5696,72.805,318.6,2016-04-28,616,D,0
42.8938,74.8505,308.0,2016-04-30,603,D,0
41.9042,73.0844,327.3,2016-05-01,828,D,0
41.9026,73.0699,325.3,2016-05-01,828,D,0
42.9381,74.6166,313.9,2016-05-05,803,D,0
42.9105,74.8706,309.9,2016-05-05,803,D,0
43.0379,74.5158,310.4,2016-05-07,609,D,0
42.8888,75.071,309.0,2016-05-07,609,D,0
42.9368,74.6238,319.6,2016-05-07,609,D,0
42.8903,74.8491,310.5,2016-05-07,609,D,0
42.8866,75.0839,309.6,2016-05-07,609,D,0
42.8612,74.6802,315.8,2016-05-07,609,D,0
39.8467,69.5278,303.5,2016-05-19,2152,N,0
42.934,74.6225,313.9,2016-05-21,803,D,0
42.9412,74.6222,317.9,2016-05-25,557,D,0
40.7601,73.309,311.7,2016-05-30,616,D,0
41.8712,72.9452,311.3,2016-05-30,616,D,0
42.8535,74.224,312.5,2016-05-30,616,D,0
42.9359,74.623,314.7,2016-05-30,616,D,0
42.9419,74.619,316.1,2016-05-30,757,D,0
42.886,75.0656,313.3,2016-05-30,757,D,0
42.9426,74.6199,326.8,2016-06-08,610,D,0
42.9626,74.786,319.3,2016-06-08,610,D,0
42.8857,75.073,321.9,2016-06-08,610,D,0
42.8835,75.086,320.2,2016-06-08,610,D,0
42.8585,74.6806,331.7,2016-06-08,610,D,0
40.3022,71.9761,306.6,2016-06-08,1716,N,0
40.5667,72.7974,345.7,2016-06-13,808,D,0
41.0601,72.4942,332.5,2016-06-14,851,D,0
41.063,72.4706,334.9,2016-06-14,851,D,0
42.9418,74.6249,318.4,2016-06-15,616,D,0
40.5749,72.8037,324.5,2016-06-15,617,D,0
42.965,74.793,320.3,2016-06-15,757,D,0
42.9351,74.6124,318.9,2016-06-15,757,D,0
42.8911,74.8482,321.4,2016-06-15,757,D,0
42.9404,74.6219,317.5,2016-06-19,551,D,0
40.9905,72.4885,332.1,2016-06-19,552,D,0
42.9137,74.8734,300.4,2016-06-19,1658,N,0
42.8627,74.6725,324.0,2016-06-24,610,D,0
42.9356,74.6215,322.8,2016-06-24,610,D,0
42.8606,74.6852,325.8,2016-06-24,610,D,0
42.8437,74.1619,311.7,2016-06-24,610,D,0
42.8516,74.2291,318.9,2016-06-24,610,D,0
42.8536,74.2167,318.4,2016-06-24,610,D,0
42.9626,74.8033,310.9,2016-06-24,610,D,0
42.9647,74.7905,315.4,2016-06-24,610,D,0
42.9668,74.7778,315.9,2016-06-24,610,D,0
43.0352,74.5253,313.2,2016-06-24,610,D,0
42.875,74.4251,319.2,2016-06-24,610,D,0
42.89,75.0649,314.5,2016-06-24,610,D,0
42.8878,75.0778,320.6,2016-06-24,610,D,0
42.8856,75.0908,315.9,2016-06-24,610,D,0
42.8834,75.1038,314.7,2016-06-24,610,D,0
42.9154,74.8778,318.0,2016-06-26,558,D,0
42.9131,74.8691,302.5,2016-06-26,1704,N,0
42.9132,74.8729,300.8,2016-06-28,1652,N,0
40.569,72.7903,327.8,2016-06-29,808,D,0
40.6391,72.7637,330.4,2016-06-29,808,D,0
40.5709,72.8026,329.3,2016-06-29,808,D,0
41.872,72.9361,318.4,2016-06-29,808,D,0
42.9151,74.872,302.9,2016-06-30,1640,N,0
42.9421,74.622,322.6,2016-07-01,616,D,0
42.7519,73.8009,315.1,2016-07-01,616,D,0
41.2261,72.232,333.6,2016-07-01,617,D,0
40.5745,72.8,329.3,2016-07-01,617,D,0
42.8866,74.8415,325.5,2016-07-01,756,D,0
42.8855,75.0693,320.0,2016-07-01,756,D,0
42.9329,74.6181,324.0,2016-07-01,756,D,0
42.9626,74.799,319.6,2016-07-01,756,D,0
42.8592,74.6741,326.2,2016-07-01,756,D,0
42.8887,74.8544,322.8,2016-07-01,756,D,0
40.308,71.9781,304.3,2016-07-01,1722,N,0
42.5337,78.3824,314.0,2016-07-03,604,D,0
42.9409,74.6256,320.5,2016-07-03,604,D,0
42.9378,74.6226,319.0,2016-07-08,622,D,0
42.8253,73.6692,318.6,2016-07-08,802,D,0
42.9357,74.6169,324.6,2016-07-08,802,D,0
42.8643,74.6813,335.4,2016-07-10,610,D,0
42.8915,75.0732,322.5,2016-07-10,610,D,0
42.9685,74.786,320.4,2016-07-10,610,D,0
42.9664,74.7988,322.5,2016-07-10,610,D,0
42.8537,74.2375,323.9,2016-07-10,610,D,0
42.9401,74.6247,327.0,2016-07-10,610,D,0
42.8893,75.0861,319.3,2016-07-10,610,D,0
42.8552,74.6784,329.9,2016-07-10,610,D,0
40.3082,71.9748,306.7,2016-07-10,1716,N,0
42.7086,77.5484,324.3,2016-07-12,558,D,0
40.7667,73.2872,321.1,2016-07-15,808,D,0
42.9374,74.6196,322.0,2016-07-17,616,D,0
42.8903,73.9417,318.9,2016-07-17,616,D,0
42.8926,73.9284,320.1,2016-07-17,616,D,0
40.7352,73.1645,327.4,2016-07-19,604,D,0
42.8179,75.3118,328.6,2016-07-19,604,D,0
40.724,73.1736,323.5,2016-07-19,743,D,0
42.8521,74.2221,321.2,2016-07-24,802,D,0
42.9421,74.6235,322.5,2016-07-26,610,D,0
42.8509,74.2163,320.1,2016-07-26,610,D,0
42.8489,74.2287,320.2,2016-07-26,610,D,0
42.744,75.4099,331.9,2016-07-26,750,D,0
42.7464,75.4236,321.7,2016-07-26,750,D,0
42.8315,73.86,325.0,2016-07-27,833,D,0
42.9403,74.6296,316.3,2016-08-02,616,D,0
40.7691,73.2906,319.1,2016-08-02,616,D,0
42.9339,74.6156,319.7,2016-08-02,756,D,0
42.8018,74.4445,316.5,2016-08-02,756,D,0
40.9769,72.8218,335.9,2016-08-03,839,D,0
40.9794,72.8332,331.1,2016-08-03,839,D,0
40.7727,73.2992,319.4,2016-08-04,604,D,0
42.9318,73.9891,320.5,2016-08-06,551,D,0
42.9666,73.9068,321.4,2016-08-09,622,D,0
42.9569,73.9034,320.3,2016-08-09,622,D,0
41.1033,72.9042,327.7,2016-08-09,622,D,0
42.9391,74.4119,323.2,2016-08-09,802,D,0
43.0305,74.5827,326.2,2016-08-09,802,D,0
41.3202,73.9771,332.0,2016-08-09,802,D,0
42.9366,74.6231,322.9,2016-08-11,610,D,0
42.7571,75.5203,318.6,2016-08-11,610,D,0
42.7548,75.5336,319.7,2016-08-11,610,D,0
42.7818,73.9051,323.1,2016-08-12,833,D,0
40.4735,73.021,336.8,2016-08-14,820,D,0
40.4666,73.0282,338.3,2016-08-14,820,D,0
42.873,73.9605,302.6,2016-08-15,1652,N,0
42.8753,73.974,305.8,2016-08-15,1652,N,0
42.8529,74.8906,313.5,2016-08-16,628,D,0
42.9838,74.1362,316.1,2016-08-16,628,D,0
42.8519,74.8862,327.9,2016-08-16,808,D,0
42.9804,74.149,323.5,2016-08-16,808,D,0
42.9787,74.1369,334.3,2016-08-16,808,D,0
42.8669,73.9552,320.0,2016-08-17,533,D,0
42.5136,78.2016,311.7,2016-08-17,533,D,0
42.8686,73.9612,319.1,2016-08-17,533,D,0
43.0774,73.811,344.5,2016-08-18,616,D,0
43.0752,73.8242,341.2,2016-08-18,616,D,0
42.9373,74.6173,321.3,2016-08-18,756,D,0
42.784,74.2232,320.9,2016-08-18,756,D,0
42.8893,74.8493,318.0,2016-08-18,756,D,0
40.3097,71.9794,301.5,2016-08-20,2121,N,0
42.8271,74.4816,325.2,2016-08-21,827,D,0
42.9354,74.8446,326.1,2016-08-22,551,D,0
42.9331,74.9395,317.3,2016-08-22,551,D,0
42.9371,74.8312,323.5,2016-08-22,551,D,0
42.8289,75.4248,327.6,2016-08-23,814,D,0
42.8273,75.4111,324.3,2016-08-23,814,D,0
42.9212,73.7411,321.3,2016-08-23,815,D,0
42.9221,74.828,323.1,2016-08-27,609,D,0
42.9374,74.6204,319.6,2016-08-27,609,D,0
42.7204,71.7518,340.9,2016-08-27,750,D,0
42.7248,71.7724,342.8,2016-08-27,750,D,0
42.7232,71.7578,356.8,2016-08-27,750,D,0
42.7275,71.7785,332.7,2016-08-27,750,D,0
42.9802,73.9354,326.9,2016-08-27,750,D,0
42.7417,74.9095,327.2,2016-08-27,750,D,0
43.0605,73.8062,305.6,2016-08-27,1716,N,0
43.07,73.8041,337.0,2016-08-27,1716,N,0
43.0716,73.818,313.9,2016-08-27,1716,N,0
42.7821,73.964,327.5,2016-08-28,652,D,0
42.7785,73.9672,324.7,2016-08-28,652,D,0
42.793,73.975,321.1,2016-08-28,652,D,0
42.7874,73.9541,326.8,2016-08-28,833,D,0
42.7891,73.9735,325.0,2016-08-28,833,D,0
42.8114,73.9537,303.2,2016-08-28,1621,N,0
42.8095,73.9613,302.7,2016-08-28,1621,N,0
42.9965,73.6703,323.1,2016-08-29,557,D,0
42.7289,75.036,314.9,2016-08-31,726,D,0
42.7352,75.0371,315.5,2016-08-31,726,D,0
40.9802,72.5888,319.3,2016-09-01,808,D,0
42.7449,75.4966,320.5,2016-09-03,615,D,0
42.8615,74.4482,328.5,2016-09-03,615,D,0
42.742,75.5118,332.7,2016-09-03,615,D,0
42.7546,75.5002,332.5,2016-09-03,615,D,0
42.7518,75.5154,345.3,2016-09-03,615,D,0
42.7843,74.1866,323.0,2016-09-03,616,D,0
42.7416,75.5174,341.0,2016-09-03,756,D,0
42.7396,75.5051,326.0,2016-09-03,756,D,0
42.7505,75.5147,325.7,2016-09-03,756,D,0
42.9303,73.7156,321.2,2016-09-05,603,D,0
42.9805,73.5677,325.7,2016-09-06,827,D,0
43.1663,74.1414,322.2,2016-09-07,551,D,0
42.8215,73.9566,325.5,2016-09-07,551,D,0
43.1592,74.3412,321.4,2016-09-07,732,D,0
42.7853,74.1311,317.1,2016-09-07,732,D,0
42.7915,74.158,324.4,2016-09-07,732,D,0
42.8206,73.9533,331.5,2016-09-08,814,D,0
42.742,77.7586,315.3,2016-09-08,814,D,0
42.9713,73.6981,332.6,2016-09-08,814,D,0
40.3062,71.9761,301.5,2016-09-10,1727,N,0
43.1731,74.2563,321.9,2016-09-12,750,D,0
42.9382,74.6242,309.0,2016-09-14,557,D,0
42.7234,75.4102,308.7,2016-09-14,738,D,0
42.7263,73.9862,315.1,2016-09-15,640,D,0
42.7306,73.9653,315.3,2016-09-15,640,D,0
42.6956,78.4035,311.1,2016-09-15,820,D,0
42.92,74.9824,313.9,2016-09-16,545,D,0
40.6196,73.1201,317.0,2016-09-16,725,D,0
40.8693,73.3679,301.7,2016-09-16,1651,N,0
40.8757,73.3791,339.2,2016-09-17,808,D,0
42.6616,78.3329,310.4,2016-09-17,808,D,0
42.6268,78.1979,317.7,2016-09-17,808,D,0
42.5947,75.2159,306.7,2016-09-19,615,D,0
40.6253,73.3408,317.7,2016-09-19,616,D,0
40.6264,73.3328,323.4,2016-09-19,755,D,0
42.7565,75.5532,327.7,2016-09-19,756,D,0
40.9397,73.5114,347.0,2016-09-19,756,D,0
40.9325,73.5286,328.8,2016-09-19,756,D,0
40.8615,73.3133,324.7,2016-09-19,756,D,0
42.7511,78.3866,311.4,2016-09-19,756,D,0
40.9425,73.5265,344.6,2016-09-19,756,D,0
42.7527,78.399,320.3,2016-09-19,756,D,0
40.9298,73.5138,327.7,2016-09-19,756,D,0
42.6933,77.5646,315.9,2016-09-21,603,D,0
43.0438,73.9017,317.9,2016-09-21,603,D,0
40.8385,73.4863,325.1,2016-09-21,743,D,0
40.8267,73.4896,323.0,2016-09-21,743,D,0
43.0376,74.6397,318.4,2016-09-21,744,D,0
41.1446,73.2793,336.2,2016-09-22,826,D,0
42.9335,73.6735,318.2,2016-09-22,827,D,0
42.7222,75.3226,319.9,2016-09-22,827,D,0
42.7205,75.3041,319.5,2016-09-22,827,D,0
43.0098,74.2047,319.0,2016-09-22,827,D,0
42.991,73.9231,321.3,2016-09-22,827,D,0
42.911,74.8764,315.1,2016-09-23,551,D,0
41.105,73.1817,301.9,2016-09-23,1657,N,0
40.982,73.4789,314.8,2016-09-24,814,D,0
40.3995,72.7678,327.3,2016-09-24,814,D,0
42.7838,73.5885,313.9,2016-09-24,814,D,0
42.9935,74.494,320.8,2016-09-24,814,D,0
42.7997,74.1324,308.8,2016-09-26,802,D,0
