latitude,longitude,brightness,acq_date,acq_time,daynight,type
49.501,5.9633,310.7,2016-02-29,2100,N,0
49.5083,5.957,301.7,2016-03-08,1039,D,0
49.5056,5.9627,303.6,2016-03-09,157,N,0
49.5226,5.9049,301.1,2016-04-07,1051,D,0
49.5076,5.9561,306.4,2016-04-18,2143,N,0
49.502,5.9523,320.3,2016-05-02,1046,D,0
49.5,5.9658,320.4,2016-05-02,1046,D,0
49.5249,5.9183,304.0,2016-05-05,1116,D,0
49.5026,5.955,312.4,2016-05-08,1154,D,0
49.5203,5.9052,313.5,2016-05-13,1028,D,0
49.5053,5.969,301.7,2016-05-28,157,N,0
49.5227,5.9058,311.1,2016-06-06,1117,D,0
49.52,5.8923,307.3,2016-06-10,1052,D,0
49.5177,5.9063,306.4,2016-06-10,1052,D,0
49.5256,5.9022,304.2,2016-06-22,2049,N,0
49.526,5.9048,317.7,2016-06-23,2132,N,0
49.5262,5.9008,300.5,2016-06-30,2138,N,0
49.5018,5.9593,324.3,2016-07-07,1034,D,0
49.4996,5.9533,315.7,2016-07-09,1206,D,0
49.5258,5.909,317.4,2016-07-19,1058,D,0
49.4974,5.9522,325.9,2016-07-19,1242,D,0
49.5213,5.9014,310.8,2016-08-06,1230,D,0
49.5013,5.9551,301.2,2016-08-14,2107,N,0
49.4993,5.9553,315.6,2016-08-22,1230,D,0
49.5107,5.9672,306.9,2016-08-28,221,N,0
49.5011,5.9532,312.8,2016-09-09,1033,D,0
49.5237,5.908,304.4,2016-09-10,150,N,0
49.5205,5.9107,309.7,2016-09-21,1058,D,0
49.5059,5.9662,307.0,2016-09-26,150,N,0
49.5204,5.9039,307.8,2016-09-29,1153,D,0
49.524,5.9107,302.8,2016-10-16,126,N,0
49.5056,5.9613,303.9,2016-10-16,1052,D,0
49.4996,5.9596,302.8,2016-10-16,1236,D,0
49.5087,5.9546,301.6,2016-10-30,1104,D,0
49.5071,5.9595,308.5,2016-10-31,2119,N,0
