latitude,longitude,brightness,acq_date,acq_time,daynight,type
-13.486,-172.3031,315.3,2016-01-06,2217,D,0
-13.4817,-172.3097,312.3,2016-01-13,2223,D,0
-13.4921,-172.5459,312.3,2016-01-22,2217,D,0
-13.5008,-172.5559,314.2,2016-01-23,2122,D,0
-13.4826,-172.3019,310.8,2016-02-07,2217,D,0
-13.5061,-172.5744,312.2,2016-02-14,2223,D,0
-13.5046,-172.5685,311.0,2016-03-08,2228,D,0
-13.4832,-172.3076,317.6,2016-03-22,48,D,0
-13.4868,-172.3049,314.0,2016-04-04,2210,D,0
-13.4771,-172.3057,314.3,2016-08-17,2217,D,0
-13.4762,-172.3122,311.5,2016-08-17,2217,D,0
-13.4814,-172.3082,316.0,2016-08-21,136,D,0
-13.4796,-172.3118,311.2,2016-08-29,47,D,0
-13.5077,-172.5832,310.5,2016-09-04,148,D,0
-13.5,-172.5579,312.0,2016-09-11,154,D,0
-13.501,-172.553,310.8,2016-09-11,154,D,0
-13.5084,-172.5916,311.2,2016-09-11,154,D,0
-13.4884,-172.3064,314.1,2016-09-23,40,D,0
-13.5058,-172.5769,314.0,2016-09-27,154,D,0
-13.5047,-172.5818,313.1,2016-09-27,154,D,0
-13.5084,-172.5796,310.9,2016-10-27,2222,D,0
-13.4899,-172.2973,318.7,2016-10-28,2127,D,0
-13.4863,-172.3011,314.3,2016-11-09,136,D,0
-13.4876,-172.2965,315.8,2016-11-14,2210,D,0
-13.489,-172.3006,313.6,2016-11-15,2115,D,0
-13.477,-172.3108,316.1,2016-11-17,47,D,0
-13.4898,-172.3023,315.8,2016-11-17,47,D,0
-13.4881,-172.3036,310.7,2016-11-22,2121,D,0
-13.4886,-172.3065,312.0,2016-11-28,2222,D,0
-13.4898,-172.2966,328.5,2016-11-29,111,D,0
-13.4771,-172.304,321.8,2016-11-29,2127,D,0
-13.5057,-172.5513,313.7,2016-12-01,2115,D,0
-13.4862,-172.3053,313.8,2016-12-15,2127,D,0
