latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.4642,-15.5467,322.3,2016-01-01,1157,D,0
13.5882,-14.5713,317.0,2016-01-01,1157,D,0
13.375,-15.8432,320.8,2016-01-05,1436,D,0
13.5602,-15.517,326.8,2016-01-07,1424,D,0
13.5039,-13.884,324.7,2016-01-07,1424,D,0
13.4043,-15.7979,321.6,2016-01-09,1412,D,0
13.6059,-14.6159,344.3,2016-01-09,1412,D,0
13.6078,-14.6038,347.8,2016-01-09,1412,D,0
13.5894,-14.5883,336.7,2016-01-09,1412,D,0
13.5995,-14.59,330.3,2016-01-09,1412,D,0
13.4018,-15.8125,319.8,2016-01-09,1412,D,0
13.5976,-14.6021,330.7,2016-01-09,1412,D,0
13.3118,-14.5274,322.7,2016-01-10,1151,D,0
13.6222,-14.6006,323.8,2016-01-10,1151,D,0
13.3097,-14.5146,330.9,2016-01-10,1151,D,0
13.6356,-14.8765,323.1,2016-01-10,1151,D,0
13.488,-15.7553,322.3,2016-01-10,1151,D,0
13.4916,-15.7593,325.7,2016-01-10,1151,D,0
13.6191,-14.8928,323.2,2016-01-10,1454,D,0
13.4916,-15.7664,326.7,2016-01-10,1454,D,0
13.4869,-15.7776,323.1,2016-01-10,1454,D,0
13.6166,-14.9147,328.2,2016-01-10,1454,D,0
13.6153,-14.6089,322.5,2016-01-10,1454,D,0
13.3793,-14.6218,322.1,2016-01-11,1359,D,0
13.4804,-15.2668,325.2,2016-01-12,1139,D,0
13.6069,-14.5784,327.3,2016-01-14,1127,D,0
13.5152,-14.9604,328.0,2016-01-14,1430,D,0
13.5165,-14.9511,335.1,2016-01-14,1430,D,0
13.4633,-14.4602,343.2,2016-01-16,1418,D,0
13.454,-14.4587,329.4,2016-01-16,1418,D,0
13.4555,-14.4487,329.8,2016-01-16,1418,D,0
13.4803,-13.851,333.4,2016-01-16,1418,D,0
13.4618,-14.4701,357.9,2016-01-16,1418,D,0
13.4048,-15.2682,332.6,2016-01-17,1157,D,0
13.2397,-14.2874,325.7,2016-01-17,1157,D,0
13.2427,-14.3046,328.6,2016-01-17,1157,D,0
13.5946,-14.9097,324.6,2016-01-17,1501,D,0
13.3135,-13.9251,322.2,2016-01-17,1501,D,0
13.3999,-15.2772,326.3,2016-01-17,1501,D,0
13.3088,-16.7358,321.8,2016-01-17,1501,D,0
13.4488,-14.6871,328.4,2016-01-18,1406,D,0
13.4878,-13.9335,329.5,2016-01-23,1121,D,0
13.4894,-13.9452,324.0,2016-01-23,1121,D,0
13.7549,-14.9247,341.4,2016-01-23,1121,D,0
13.7467,-14.9197,332.0,2016-01-23,1121,D,0
13.7484,-14.9335,331.0,2016-01-23,1121,D,0
13.6379,-14.6783,334.5,2016-01-23,1424,D,0
13.5181,-14.6758,326.8,2016-01-23,1424,D,0
13.6366,-14.6875,348.0,2016-01-23,1424,D,0
13.3582,-14.5078,325.0,2016-01-23,1424,D,0
13.3198,-16.1848,320.3,2016-01-23,1424,D,0
13.4952,-13.9369,331.9,2016-01-23,1424,D,0
13.3899,-15.3083,320.1,2016-01-24,1507,D,0
13.4294,-14.6864,341.2,2016-01-25,1412,D,0
13.4366,-14.6942,331.7,2016-01-25,1412,D,0
13.6511,-14.8734,320.2,2016-01-28,1139,D,0
13.344,-16.0621,316.3,2016-01-30,1127,D,0
13.4127,-15.5889,322.3,2016-01-30,1127,D,0
13.3959,-15.6094,328.4,2016-01-30,1127,D,0
13.3943,-15.5975,329.1,2016-01-30,1127,D,0
13.4008,-15.6453,328.0,2016-01-30,1127,D,0
13.3851,-15.4856,330.2,2016-01-30,1430,D,0
13.3981,-15.6517,324.8,2016-01-30,1430,D,0
13.1719,-15.8791,320.8,2016-01-30,1430,D,0
13.1732,-15.8699,325.2,2016-01-30,1430,D,0
13.1584,-16.7298,327.1,2016-01-30,1430,D,0
13.1598,-16.7204,339.0,2016-01-30,1430,D,0
13.3994,-15.6426,332.7,2016-01-30,1430,D,0
13.4015,-15.5627,327.6,2016-01-30,1430,D,0
13.3333,-16.7309,326.0,2016-01-30,1430,D,0
13.3347,-16.7216,325.1,2016-01-30,1430,D,0
