latitude,longitude,brightness,acq_date,acq_time,daynight,type
24.4877,89.2399,311.2,2017-01-02,745,D,0
24.5539,89.1541,312.1,2017-01-04,732,D,0
24.5177,91.3153,311.1,2017-01-04,732,D,0
24.9836,92.2493,313.0,2017-01-04,732,D,0
24.5525,89.1431,310.3,2017-01-04,732,D,0
22.5841,91.7628,312.1,2017-01-06,720,D,0
23.4989,88.8872,305.6,2017-01-06,720,D,0
24.6462,91.5968,314.6,2017-01-06,720,D,0
24.518,91.3173,312.5,2017-01-06,720,D,0
23.3733,89.0397,314.3,2017-01-06,720,D,0
24.4486,89.9315,310.5,2017-01-08,708,D,0
25.1022,92.0956,313.8,2017-01-08,708,D,0
25.0723,88.7192,309.4,2017-01-09,441,D,0
23.6499,90.3207,305.1,2017-01-13,726,D,0
25.1488,90.1889,305.8,2017-01-13,726,D,0
24.9858,92.2187,308.4,2017-01-13,726,D,0
25.1311,88.7108,313.0,2017-01-13,726,D,0
24.6152,91.5888,312.1,2017-01-13,726,D,0
26.483,88.3186,305.2,2017-01-14,459,D,0
26.4631,88.3255,307.3,2017-01-14,459,D,0
26.4549,88.3288,306.4,2017-01-14,459,D,0
22.0916,92.1374,310.1,2017-01-15,713,D,0
24.244,91.2186,312.2,2017-01-15,714,D,0
23.4054,90.8503,309.3,2017-01-15,714,D,0
23.348,92.2322,317.4,2017-01-15,714,D,0
23.3467,92.2225,310.7,2017-01-15,714,D,0
24.9812,92.3613,310.8,2017-01-16,447,D,0
24.9909,92.3632,307.1,2017-01-16,447,D,0
23.5228,88.857,306.0,2017-01-16,448,D,0
24.0067,89.5732,305.1,2017-01-16,448,D,0
23.4407,90.8833,308.9,2017-01-17,701,D,0
24.6028,91.5854,320.1,2017-01-22,720,D,0
24.9891,92.2478,314.7,2017-01-22,720,D,0
24.6097,91.5891,322.0,2017-01-22,720,D,0
24.6084,91.5786,316.2,2017-01-22,720,D,0
25.0082,92.2449,321.4,2017-01-22,720,D,0
24.8917,92.471,333.0,2017-01-24,708,D,0
