latitude,longitude,brightness,acq_date,acq_time,daynight,type
4.3445,114.3219,311.0,2017-01-09,308,D,0
4.6348,114.4174,316.4,2017-01-20,548,D,0
4.4046,114.2965,315.9,2017-01-20,548,D,0
4.6666,114.4551,311.9,2017-02-12,555,D,0
4.6678,114.4641,321.5,2017-02-12,555,D,0
4.4001,114.2875,312.6,2017-02-14,542,D,0
4.3462,114.3099,314.6,2017-03-11,536,D,0
4.6665,114.472,315.2,2017-03-19,326,D,0
4.5803,114.2116,312.8,2017-03-20,531,D,0
4.6643,114.4595,320.9,2017-03-23,601,D,0
4.6713,114.4715,313.8,2017-03-23,1820,N,0
4.3797,114.8108,310.6,2017-04-08,302,D,0
4.6144,114.3458,317.9,2017-04-17,555,D,0
4.5783,114.2063,314.5,2017-04-21,530,D,0
4.5781,114.2052,310.3,2017-04-23,518,D,0
4.344,114.318,312.0,2017-05-01,308,D,0
4.5821,114.2132,309.4,2017-05-15,320,D,0
4.3454,114.3214,317.2,2017-05-17,308,D,0
4.3441,114.3199,311.2,2017-05-26,302,D,0
4.7714,114.757,312.0,2017-05-28,250,D,0
4.9752,114.9688,308.9,2017-06-27,302,D,0
4.6668,114.5078,321.8,2017-07-04,607,D,0
4.3433,114.3204,318.7,2017-08-07,256,D,0
4.4023,114.2925,316.2,2017-08-07,256,D,0
4.6593,114.4542,311.6,2017-08-27,530,D,0
4.5811,114.2061,307.8,2017-09-30,518,D,0
4.5759,114.215,311.5,2017-10-07,524,D,0
4.6689,114.4655,301.0,2017-10-26,1813,N,0
4.6085,114.3311,311.1,2017-12-08,536,D,0
