latitude,longitude,brightness,acq_date,acq_time,daynight,type
4.6996,-52.2699,310.0,2017-03-27,1409,D,0
5.5584,-53.8273,327.2,2017-04-19,1715,D,0
5.1637,-52.6416,313.5,2017-07-08,1415,D,0
5.167,-52.6481,311.1,2017-07-21,1644,D,0
4.9989,-52.605,312.0,2017-08-15,1637,D,0
5.6062,-53.6559,316.4,2017-08-18,1409,D,0
5.6459,-53.8396,318.9,2017-08-18,1708,D,0
3.9257,-51.8491,326.4,2017-08-20,1655,D,0
5.5411,-53.5903,316.9,2017-08-20,1656,D,0
4.9349,-52.307,313.9,2017-08-23,1428,D,0
5.4859,-54.02,311.3,2017-08-30,1434,D,0
4.9779,-52.4372,322.9,2017-08-31,1637,D,0
5.5531,-53.8179,304.4,2017-09-01,203,N,0
5.263,-52.8296,316.5,2017-09-01,1720,D,0
5.3783,-52.9536,316.8,2017-09-03,1708,D,0
4.9867,-52.4973,320.1,2017-09-05,1357,D,0
5.4643,-53.2789,306.7,2017-09-08,209,N,0
4.8716,-52.4999,307.5,2017-09-10,157,N,0
5.177,-53.6844,311.6,2017-09-10,1416,D,0
5.1638,-52.6484,320.0,2017-09-10,1714,D,0
5.3197,-54.069,332.1,2017-09-10,1714,D,0
5.5038,-53.3245,311.4,2017-09-12,1702,D,0
4.9338,-52.3011,312.3,2017-09-15,1434,D,0
5.6528,-53.7255,315.7,2017-09-15,1434,D,0
5.5002,-54.0285,314.6,2017-09-19,1708,D,0
4.8104,-54.4699,323.1,2017-09-19,1708,D,0
5.0546,-52.5481,324.7,2017-09-21,1656,D,0
5.4543,-53.3144,313.9,2017-09-26,1416,D,0
5.6486,-53.7192,323.3,2017-09-26,1714,D,0
5.1649,-52.6545,318.0,2017-09-26,1714,D,0
4.9867,-52.4878,320.9,2017-09-30,1650,D,0
4.985,-52.4992,328.4,2017-09-30,1650,D,0
5.6224,-53.8726,313.3,2017-09-30,1650,D,0
5.6519,-53.7195,312.2,2017-10-02,1339,D,0
4.5938,-52.4346,311.0,2017-10-02,1637,D,0
4.4581,-52.0867,304.1,2017-10-03,203,N,0
5.0308,-52.5926,333.9,2017-10-03,1720,D,0
5.0439,-52.5798,321.2,2017-10-03,1720,D,0
5.04,-52.5852,314.5,2017-10-04,1625,D,0
5.0313,-52.5905,313.2,2017-10-04,1625,D,0
4.5949,-52.4324,305.1,2017-10-05,151,N,0
3.822,-54.1734,323.3,2017-10-05,1708,D,0
5.5099,-53.3781,322.7,2017-10-05,1708,D,0
5.5086,-53.3872,337.6,2017-10-05,1708,D,0
5.5176,-53.3885,330.4,2017-10-05,1708,D,0
4.8009,-54.4748,317.3,2017-10-05,1708,D,0
4.6185,-54.3993,314.9,2017-10-05,1708,D,0
4.4857,-52.3515,356.2,2017-10-05,1708,D,0
5.5293,-53.9473,325.2,2017-10-05,1708,D,0
5.4751,-53.558,329.7,2017-10-05,1708,D,0
5.0436,-52.6423,328.1,2017-10-05,1708,D,0
4.2905,-52.1773,330.3,2017-10-05,1708,D,0
5.6217,-53.8871,325.7,2017-10-07,1656,D,0
5.4041,-53.9768,317.6,2017-10-07,1656,D,0
5.6037,-53.8733,333.9,2017-10-07,1656,D,0
4.5166,-52.505,320.2,2017-10-07,1656,D,0
5.5796,-53.6117,314.0,2017-10-07,1656,D,0
4.9445,-52.5297,312.8,2017-10-07,1656,D,0
5.602,-53.8842,358.4,2017-10-07,1656,D,0
5.5357,-53.5088,316.2,2017-10-07,1656,D,0
5.6233,-53.8762,317.6,2017-10-07,1656,D,0
4.9459,-52.5201,315.0,2017-10-07,1656,D,0
5.4057,-53.9658,324.0,2017-10-07,1656,D,0
5.6222,-53.8606,315.4,2017-10-08,1440,D,0
5.6209,-53.8663,315.6,2017-10-08,1440,D,0
4.9847,-52.6197,312.2,2017-10-09,1644,D,0
5.1647,-52.6447,315.3,2017-10-09,1644,D,0
5.1718,-52.6581,313.4,2017-10-10,1428,D,0
5.62,-53.6591,312.5,2017-10-11,1333,D,0
5.5635,-53.8416,405.1,2017-10-11,1632,D,0
5.5785,-53.8193,321.6,2017-10-11,1632,D,0
5.5578,-53.8476,327.9,2017-10-11,1632,D,0
5.5586,-53.8729,351.9,2017-10-11,1632,D,0
5.5684,-53.8817,320.3,2017-10-11,1632,D,0
5.5735,-53.8503,409.1,2017-10-11,1632,D,0
5.4325,-53.1182,312.7,2017-10-11,1632,D,0
5.573,-53.8384,303.1,2017-10-12,157,N,0
5.0377,-52.6289,305.0,2017-10-12,157,N,0
5.5716,-53.8477,303.7,2017-10-12,157,N,0
5.0364,-52.6378,304.9,2017-10-12,157,N,0
5.5761,-53.8403,317.7,2017-10-12,1415,D,0
3.8352,-54.1835,314.6,2017-10-12,1714,D,0
4.9906,-52.4874,311.6,2017-10-14,1702,D,0
4.9944,-52.5882,317.7,2017-10-14,1702,D,0
4.5534,-52.3939,337.4,2017-10-14,1702,D,0
4.9893,-52.4963,330.3,2017-10-14,1702,D,0
4.9803,-52.6226,310.1,2017-10-14,1702,D,0
4.9931,-52.5971,313.6,2017-10-14,1702,D,0
4.5546,-52.385,337.7,2017-10-14,1702,D,0
5.581,-53.8485,401.3,2017-10-16,1650,D,0
4.2699,-54.3929,324.4,2017-10-16,1650,D,0
5.6268,-53.8623,329.1,2017-10-16,1650,D,0
5.5132,-53.4013,329.1,2017-10-16,1650,D,0
5.5238,-53.403,322.6,2017-10-16,1650,D,0
5.1208,-54.3095,315.7,2017-10-16,1650,D,0
5.1646,-54.3232,320.5,2017-10-16,1650,D,0
4.9877,-52.6118,322.5,2017-10-16,1650,D,0
4.986,-52.6233,314.0,2017-10-16,1650,D,0
5.5789,-53.8621,388.3,2017-10-16,1650,D,0
5.5919,-53.8502,437.7,2017-10-16,1650,D,0
5.5898,-53.8638,428.1,2017-10-16,1650,D,0
5.5941,-53.8572,334.2,2017-10-16,1650,D,0
5.5062,-53.5185,337.0,2017-10-16,1650,D,0
4.556,-52.4939,314.6,2017-10-16,1650,D,0
4.5577,-52.4824,314.6,2017-10-16,1650,D,0
5.4717,-53.9678,312.1,2017-10-16,1650,D,0
5.4696,-53.9817,325.0,2017-10-16,1650,D,0
4.9959,-52.6114,309.7,2017-10-17,215,N,0
5.5592,-53.8334,306.1,2017-10-17,215,N,0
4.3103,-52.1862,302.1,2017-10-17,215,N,0
4.9963,-52.618,309.8,2017-10-17,215,N,0
4.993,-52.6115,305.3,2017-10-17,508,N,0
5.002,-52.6102,305.1,2017-10-17,508,N,0
4.3107,-52.1774,303.6,2017-10-17,509,N,0
5.4744,-53.5629,302.2,2017-10-19,203,N,0
5.0534,-52.5734,302.4,2017-10-19,203,N,0
5.3661,-52.9457,326.5,2017-10-19,1720,D,0
5.6333,-53.6744,303.2,2017-10-21,151,N,0
5.2622,-52.8393,323.4,2017-10-21,1409,D,0
5.2608,-52.8299,313.0,2017-10-21,1409,D,0
5.4668,-53.2179,317.2,2017-10-21,1409,D,0
4.2738,-54.3725,330.0,2017-10-21,1410,D,0
5.3892,-53.6767,314.0,2017-10-21,1708,D,0
4.5684,-54.3934,315.7,2017-10-21,1708,D,0
4.5581,-54.4011,314.6,2017-10-21,1708,D,0
5.5472,-53.595,335.6,2017-10-21,1708,D,0
5.3942,-53.1156,327.3,2017-10-21,1708,D,0
5.4032,-53.1169,322.9,2017-10-21,1708,D,0
5.4276,-53.9838,326.2,2017-10-21,1708,D,0
5.3904,-53.6678,325.4,2017-10-21,1708,D,0
4.589,-54.3142,313.4,2017-10-21,1708,D,0
5.7223,-53.9231,316.2,2017-10-21,1708,D,0
5.3955,-53.1064,321.3,2017-10-21,1708,D,0
4.5877,-54.3231,312.9,2017-10-21,1708,D,0
4.9907,-52.6115,324.5,2017-10-23,1656,D,0
4.9754,-52.5343,314.8,2017-10-23,1656,D,0
4.9768,-52.5248,312.9,2017-10-23,1656,D,0
4.9921,-52.6019,322.6,2017-10-23,1656,D,0
5.3664,-52.9497,317.4,2017-10-23,1656,D,0
4.9314,-52.4869,314.7,2017-10-26,1726,D,0
5.4509,-53.1878,312.8,2017-10-26,1727,D,0
3.8318,-54.1606,310.2,2017-10-27,1631,D,0
3.8268,-54.1558,308.9,2017-10-27,1631,D,0
3.8211,-54.1919,306.9,2017-10-27,1631,D,0
4.6988,-52.4223,307.8,2017-10-28,157,N,0
4.6979,-52.4109,306.9,2017-10-28,450,N,0
5.4014,-53.1082,316.5,2017-10-28,1415,D,0
4.6937,-52.4201,320.2,2017-10-28,1416,D,0
5.0767,-52.6008,318.2,2017-10-28,1714,D,0
5.5798,-53.6202,313.9,2017-10-28,1714,D,0
5.5811,-53.6102,325.2,2017-10-28,1714,D,0
5.5733,-53.634,330.3,2017-10-28,1714,D,0
5.5747,-53.624,329.6,2017-10-28,1714,D,0
5.5299,-53.39,322.9,2017-10-28,1714,D,0
4.6371,-52.3452,310.6,2017-10-30,1403,D,0
5.4424,-53.1527,314.8,2017-10-30,1702,D,0
5.5664,-53.879,316.4,2017-10-30,1702,D,0
4.6364,-52.3541,315.1,2017-10-30,1702,D,0
5.08,-52.594,320.9,2017-10-30,1702,D,0
5.0889,-52.5953,318.1,2017-10-30,1702,D,0
5.5516,-53.9284,333.6,2017-10-30,1702,D,0
5.5502,-53.9378,319.3,2017-10-30,1702,D,0
5.5677,-53.8167,335.0,2017-10-30,1702,D,0
5.5664,-53.8259,334.6,2017-10-30,1702,D,0
4.2958,-54.3769,314.6,2017-10-30,1702,D,0
4.6376,-52.3452,316.5,2017-10-30,1702,D,0
3.8201,-54.1733,316.0,2017-11-01,1649,D,0
3.2933,-54.0893,311.0,2017-11-01,1649,D,0
4.2735,-54.3671,319.9,2017-11-01,1650,D,0
4.0373,-54.3459,308.5,2017-11-01,1650,D,0
5.5774,-53.6478,311.7,2017-11-01,1650,D,0
4.2387,-54.3616,327.1,2017-11-01,1650,D,0
4.2362,-54.3774,335.2,2017-11-01,1650,D,0
5.476,-53.2243,311.2,2017-11-04,1421,D,0
5.4807,-53.2168,312.2,2017-11-04,1421,D,0
5.1662,-52.6521,316.0,2017-11-04,1422,D,0
3.9255,-51.8424,350.1,2017-11-04,1720,D,0
5.1239,-54.3095,312.0,2017-11-04,1720,D,0
3.8025,-54.1205,311.1,2017-11-04,1720,D,0
5.1716,-54.3272,324.8,2017-11-04,1720,D,0
5.5827,-53.6399,302.1,2017-11-11,502,N,0
4.3915,-54.3098,309.3,2017-11-13,1714,D,0
5.0137,-52.6041,315.0,2017-11-15,1702,D,0
5.015,-52.5952,309.2,2017-11-15,1702,D,0
3.1961,-52.3967,329.7,2017-11-17,1649,D,0
3.1944,-52.4083,321.1,2017-11-17,1649,D,0
5.1149,-52.7042,320.3,2017-11-17,1650,D,0
5.0305,-52.6494,315.3,2017-11-17,1650,D,0
5.1052,-52.632,316.0,2017-11-17,1650,D,0
5.1152,-52.6335,315.8,2017-11-17,1650,D,0
5.0003,-52.6448,313.9,2017-11-17,1650,D,0
4.9193,-52.5036,320.6,2017-11-17,1650,D,0
4.9206,-52.4988,320.5,2017-11-17,1650,D,0
5.5181,-53.9119,308.7,2017-11-17,1650,D,0
5.1821,-54.3015,311.9,2017-11-18,1434,D,0
5.0136,-52.6547,307.9,2017-11-19,1339,D,0
4.9919,-52.6011,316.7,2017-11-19,1638,D,0
4.9949,-52.5819,310.8,2017-11-19,1638,D,0
5.1626,-52.6443,313.1,2017-11-20,1422,D,0
5.4576,-53.2974,318.9,2017-11-20,1721,D,0
4.294,-52.1983,309.4,2017-11-22,150,N,0
4.9734,-52.49,319.1,2017-11-22,1409,D,0
5.2714,-54.2338,310.2,2017-11-22,1708,D,0
4.296,-52.158,316.6,2017-11-22,1708,D,0
3.2034,-52.3987,311.2,2017-11-24,1655,D,0
4.7015,-52.4219,316.4,2017-11-24,1656,D,0
4.6909,-52.43,376.1,2017-11-24,1656,D,0
4.9712,-52.5281,318.5,2017-11-24,1656,D,0
4.6923,-52.4205,440.6,2017-11-24,1656,D,0
5.1323,-52.6227,316.7,2017-11-24,1656,D,0
4.6817,-52.4287,318.4,2017-11-24,1656,D,0
4.6831,-52.4192,325.4,2017-11-24,1656,D,0
4.3218,-52.1779,313.5,2017-11-24,1656,D,0
4.6944,-52.4163,302.8,2017-11-25,515,N,0
5.2155,-52.7179,311.5,2017-11-26,1644,D,0
5.2175,-52.7133,312.6,2017-11-26,1644,D,0
