latitude,longitude,brightness,acq_date,acq_time,daynight,type
-21.0116,164.696,304.3,2017-01-03,1413,N,0
-21.0147,164.6912,321.1,2017-01-14,2320,D,2
-21.0152,164.6952,332.7,2017-01-16,2308,D,2
-21.0181,164.6726,322.6,2017-01-17,1118,N,3
-21.0101,164.686,316.8,2017-01-17,1426,N,0
-21.0115,164.6957,306.8,2017-01-17,1426,N,0
-21.0148,164.694,305.4,2017-01-19,1413,N,2
-21.0123,164.6884,321.6,2017-01-23,2314,D,0
-21.0134,164.6925,305.5,2017-01-31,1438,N,2
-21.0236,164.7124,307.3,2017-02-01,1343,N,0
-21.0182,164.6856,324.4,2017-02-03,1201,N,3
-21.0166,164.7005,315.9,2017-02-12,2250,D,2
-21.0148,164.7065,309.3,2017-02-17,1343,N,2
-21.0205,164.6831,332.8,2017-02-19,1201,N,3
-22.2535,166.4465,316.7,2017-02-22,2327,D,0
-21.0215,164.6852,342.7,2017-02-23,1136,N,3
-21.0159,164.698,310.6,2017-02-23,1444,N,2
-21.0131,164.6919,328.6,2017-02-24,2314,D,2
-20.6147,164.3307,317.8,2017-02-24,2314,D,0
-22.248,166.4708,308.7,2017-03-12,1350,N,0
-21.0113,164.6915,316.5,2017-03-16,1155,N,0
-22.2563,166.4507,312.1,2017-03-17,2333,D,0
-21.0177,164.6783,322.1,2017-03-18,1143,N,3
-21.2826,164.9986,325.1,2017-03-28,2314,D,0
-21.0181,164.6843,355.0,2017-04-03,1143,N,3
-21.0167,164.6939,306.4,2017-04-03,1143,N,2
-21.0125,164.6908,310.7,2017-04-07,1426,N,0
-20.6494,164.8972,320.4,2017-04-15,242,D,0
-20.6507,164.8876,310.9,2017-04-15,242,D,0
-21.0108,164.6939,306.3,2017-04-16,1420,N,0
-21.0215,164.6814,335.6,2017-04-17,1155,N,3
-21.0113,164.6872,312.2,2017-04-21,1130,N,0
-21.0084,164.6899,310.1,2017-04-21,1438,N,0
-21.0088,164.689,312.1,2017-04-27,1401,N,0
-21.0118,164.6872,311.2,2017-04-27,2326,D,0
-21.6894,166.1327,311.6,2017-05-01,242,D,0
-21.2792,165.5922,311.7,2017-05-01,2302,D,0
-21.5826,165.997,310.4,2017-05-01,2302,D,0
-21.8648,166.0484,310.2,2017-05-02,2345,D,0
-21.2769,165.5885,317.7,2017-05-03,230,D,0
-21.2785,165.5751,315.9,2017-05-03,230,D,0
-21.2736,165.581,321.3,2017-05-03,230,D,0
-21.0136,164.6947,312.3,2017-05-17,2302,D,2
-21.0147,164.6929,332.0,2017-05-22,2320,D,2
-21.01,164.6897,302.4,2017-05-27,1414,N,0
-21.0151,164.6794,353.0,2017-05-28,1149,N,3
-21.0136,164.6894,363.1,2017-05-28,1149,N,2
-21.0186,164.6806,327.2,2017-05-30,1137,N,3
-21.0143,164.7014,314.1,2017-06-03,2345,D,2
-21.0151,164.695,327.0,2017-06-05,2333,D,2
-21.0145,164.6828,323.5,2017-06-08,1131,N,3
-20.3739,164.5422,321.4,2017-06-09,248,D,0
-20.4448,164.6288,313.4,2017-06-09,248,D,0
-21.0133,164.6878,327.6,2017-06-09,2308,D,2
-21.0213,164.6845,330.2,2017-06-20,1155,N,3
-21.0211,164.6817,326.8,2017-06-22,1143,N,3
-21.0194,164.6843,346.5,2017-06-24,1131,N,3
-21.0145,164.6913,306.6,2017-07-07,1407,N,2
-20.7902,164.4327,317.7,2017-07-11,248,D,0
-21.7755,166.104,305.6,2017-07-11,2308,D,0
-21.7739,166.0942,314.3,2017-07-11,2308,D,0
-21.014,164.6901,321.6,2017-07-18,2314,D,2
-21.0196,164.687,322.0,2017-07-19,1125,N,3
-20.7974,165.227,313.9,2017-07-21,2345,D,0
-20.7888,165.2354,315.4,2017-07-21,2345,D,0
-20.6899,164.8806,312.2,2017-07-22,230,D,0
-21.2368,165.4374,315.8,2017-07-22,1155,N,0
-20.4778,164.4469,312.7,2017-07-25,2320,D,0
-20.6544,164.9028,324.4,2017-07-25,2320,D,0
-20.653,164.893,310.7,2017-07-25,2320,D,0
-20.44,164.44,310.6,2017-07-25,2320,D,0
-20.449,164.4385,313.4,2017-07-25,2320,D,0
-20.4504,164.4481,311.0,2017-07-25,2320,D,0
-21.2206,165.2719,312.5,2017-07-27,248,D,0
-21.062,164.9681,311.6,2017-07-27,248,D,0
-20.9767,165.3661,313.1,2017-07-27,248,D,0
-20.3045,164.4548,315.0,2017-07-27,2308,D,0
-20.7008,164.4977,314.5,2017-07-27,2308,D,0
-20.3276,164.4327,317.1,2017-07-28,331,D,0
-20.3188,164.4563,306.4,2017-07-28,1425,N,0
-20.3123,164.4617,310.8,2017-07-28,2351,D,0
-20.4686,164.667,310.2,2017-07-29,236,D,0
-20.3227,164.4495,313.7,2017-07-29,236,D,0
-20.3211,164.4625,312.0,2017-07-29,236,D,0
-20.9,165.2795,310.9,2017-08-01,306,D,0
-20.4333,164.6126,315.5,2017-08-03,254,D,0
-20.6974,164.6363,310.5,2017-08-03,254,D,0
-21.0194,164.6789,320.7,2017-08-06,1112,N,3
-20.4263,164.486,306.4,2017-08-06,1419,N,0
-20.4358,164.4751,327.9,2017-08-07,230,D,0
-20.4338,164.4913,310.9,2017-08-07,230,D,0
-20.4245,164.4736,310.0,2017-08-07,230,D,0
-21.5006,165.6233,304.8,2017-08-08,1407,N,0
-21.4985,165.6103,305.6,2017-08-08,1407,N,0
-21.4994,165.616,313.5,2017-08-08,1407,N,0
-21.0111,164.9243,312.6,2017-08-10,300,D,0
-21.4194,165.8112,316.5,2017-08-10,300,D,0
-21.4218,165.7971,319.9,2017-08-10,300,D,0
-20.6894,164.8817,323.1,2017-08-10,300,D,0
-20.6809,164.8746,311.8,2017-08-10,300,D,0
-21.013,164.9128,310.6,2017-08-10,300,D,0
-21.5817,165.999,338.6,2017-08-10,2321,D,0
-21.5883,165.5182,311.0,2017-08-10,2321,D,0
-21.5832,166.0101,313.3,2017-08-10,2321,D,0
-20.3353,164.4079,315.7,2017-08-12,248,D,0
-21.1368,165.296,313.9,2017-08-12,248,D,0
-20.3339,164.4174,333.4,2017-08-12,248,D,0
-20.5282,164.2569,318.0,2017-08-13,331,D,0
-20.5244,164.251,313.1,2017-08-13,331,D,0
-21.0137,164.688,302.7,2017-08-13,1425,N,2
-20.529,164.2655,310.7,2017-08-13,2351,D,0
-20.5295,164.2682,312.4,2017-08-14,236,D,0
-20.5311,164.2554,317.0,2017-08-14,236,D,0
-21.0152,164.9426,321.9,2017-08-14,236,D,0
-20.5059,164.271,364.0,2017-08-15,319,D,0
-20.5101,164.2487,361.2,2017-08-15,319,D,0
-20.5191,164.274,311.2,2017-08-15,319,D,0
-21.0116,164.6766,320.7,2017-08-15,1106,N,3
-21.4385,165.5233,308.9,2017-08-15,1413,N,0
-21.2995,165.5606,314.1,2017-08-16,223,D,0
-20.4102,164.5529,316.3,2017-08-16,224,D,0
-20.9103,165.2693,312.2,2017-08-16,1149,N,0
-20.3926,164.4341,323.8,2017-08-17,306,D,0
-20.3949,164.4203,321.0,2017-08-17,306,D,0
-21.5479,166.0239,311.2,2017-08-17,306,D,0
-20.7758,165.1741,328.1,2017-08-17,2327,D,0
-20.7743,165.163,322.3,2017-08-17,2327,D,0
-21.7007,166.1088,311.2,2017-08-17,2327,D,0
-21.6991,166.0957,316.1,2017-08-17,2327,D,0
-21.0685,165.0609,308.0,2017-08-17,2327,D,0
-21.0137,164.6864,315.4,2017-08-18,1137,N,2
-20.3969,164.419,335.5,2017-08-19,2314,D,0
-20.6865,164.9223,312.4,2017-08-19,2314,D,0
-21.7338,165.8986,313.6,2017-08-19,2315,D,0
-20.6527,164.4105,317.6,2017-08-21,242,D,0
-20.654,164.4001,340.4,2017-08-21,242,D,0
-20.9249,165.2892,320.7,2017-08-23,230,D,0
-21.0187,164.6843,366.9,2017-08-23,230,D,3
-20.3613,164.4408,306.9,2017-08-23,1156,N,0
-20.3446,164.4278,311.0,2017-08-24,313,D,0
-21.5621,166.0212,311.1,2017-08-25,2238,D,0
-21.5629,166.0267,311.4,2017-08-25,2238,D,0
-20.629,164.459,322.1,2017-08-26,300,D,0
-21.1426,165.5186,318.4,2017-08-26,300,D,0
-20.9982,165.3706,314.7,2017-08-26,2321,D,0
-21.1387,165.5164,322.2,2017-08-26,2321,D,0
-20.9968,165.3606,314.3,2017-08-26,2321,D,0
-21.6011,166.1798,317.2,2017-09-01,223,D,0
-21.0047,164.9779,322.0,2017-09-02,306,D,0
-20.5392,164.5245,310.2,2017-09-02,2327,D,0
-21.0001,164.9701,316.1,2017-09-04,254,D,0
-21.6024,166.1672,347.4,2017-09-04,254,D,0
-21.6041,166.1564,324.3,2017-09-04,254,D,0
-21.5925,166.1665,324.0,2017-09-04,254,D,0
-21.5943,166.1551,318.5,2017-09-04,254,D,0
-20.6248,164.34,348.1,2017-09-04,254,D,0
-20.6234,164.3498,323.5,2017-09-04,254,D,0
-21.7142,165.8357,318.2,2017-09-04,254,D,0
-20.7647,165.1167,322.9,2017-09-04,254,D,0
-21.7125,165.8465,335.8,2017-09-04,254,D,0
-21.0017,164.9599,311.6,2017-09-04,254,D,0
-22.1303,166.2781,352.6,2017-09-06,241,D,0
-22.1407,166.2699,311.5,2017-09-06,241,D,0
-22.1393,166.2796,312.3,2017-09-06,241,D,0
-22.1317,166.2685,344.2,2017-09-06,241,D,0
-21.6681,166.1464,313.9,2017-09-06,2302,D,0
-21.0147,164.6767,324.2,2017-09-08,1155,N,3
-21.0129,164.6883,320.3,2017-09-08,1155,N,2
-20.404,164.3831,316.3,2017-09-09,313,D,0
-21.0172,164.6807,328.2,2017-09-09,1407,N,3
-21.0139,164.6883,340.9,2017-09-09,1407,N,2
-21.0029,164.9451,310.8,2017-09-10,217,D,0
-21.6483,166.1383,308.8,2017-09-12,1131,N,0
-20.9879,165.0158,319.5,2017-09-13,248,D,0
-20.7851,165.1465,326.7,2017-09-13,248,D,0
-21.0488,165.2983,323.1,2017-09-13,248,D,0
-21.2974,165.2324,319.9,2017-09-14,331,D,0
-21.2805,165.2511,303.0,2017-09-14,1426,N,0
-21.7072,166.0954,314.9,2017-09-15,235,D,0
-21.6992,166.0829,323.3,2017-09-15,235,D,0
-21.7085,166.0848,321.6,2017-09-15,235,D,0
-20.4542,164.4248,316.3,2017-09-15,236,D,0
-21.2867,165.2448,332.6,2017-09-15,236,D,0
-21.2852,165.2563,344.7,2017-09-15,236,D,0
-21.295,165.2576,332.9,2017-09-15,236,D,0
-21.3063,165.2476,321.5,2017-09-15,236,D,0
-21.2965,165.2462,350.0,2017-09-15,236,D,0
-20.4729,164.4403,334.3,2017-09-15,236,D,0
-21.1807,165.5213,309.5,2017-09-18,2327,D,0
-20.4737,164.6745,311.0,2017-09-19,211,D,0
-21.6563,165.957,315.3,2017-09-20,254,D,0
-21.4631,166.0121,316.3,2017-09-20,254,D,0
-21.0683,165.0059,317.9,2017-09-20,254,D,0
-21.6546,165.9681,319.5,2017-09-20,254,D,0
-20.7996,165.2482,319.2,2017-09-20,2314,D,0
-20.502,164.5028,319.5,2017-09-20,2314,D,0
-20.7981,165.2386,312.9,2017-09-20,2314,D,0
-21.5521,166.0446,315.1,2017-09-20,2315,D,0
-20.3463,164.4262,321.7,2017-09-24,230,D,0
-20.3481,164.4108,332.4,2017-09-24,230,D,0
-21.6283,166.2036,314.2,2017-09-25,2333,D,0
-20.4986,164.2831,342.0,2017-09-25,2333,D,0
-21.6286,166.1889,320.9,2017-09-26,217,D,0
-20.7378,164.8423,330.3,2017-09-27,300,D,0
-20.6844,164.9114,314.9,2017-09-27,2321,D,0
-20.7385,165.0358,318.2,2017-09-27,2321,D,0
-20.7399,165.0456,338.7,2017-09-27,2321,D,0
-21.0607,164.9065,321.4,2017-09-27,2321,D,0
-21.5327,166.0672,313.0,2017-09-27,2321,D,0
-21.5633,165.8788,325.0,2017-09-29,248,D,0
-21.4884,165.7593,328.2,2017-09-29,248,D,0
-20.6417,164.5639,317.5,2017-09-29,248,D,0
-20.6101,164.6567,319.5,2017-09-29,248,D,0
-21.586,165.6627,350.3,2017-09-29,248,D,0
-21.5846,165.6723,336.0,2017-09-29,248,D,0
-21.5459,166.0581,320.4,2017-09-29,248,D,0
-21.5444,166.0678,357.6,2017-09-29,248,D,0
-21.5429,166.0777,322.7,2017-09-29,248,D,0
-20.9077,165.2704,311.8,2017-09-29,248,D,0
-21.2975,165.1828,326.5,2017-09-29,248,D,0
-21.5618,165.8887,317.8,2017-09-29,248,D,0
-21.4975,165.7608,330.0,2017-09-29,248,D,0
-21.5446,165.8799,318.7,2017-09-29,2308,D,0
-21.647,166.1892,326.2,2017-09-29,2308,D,0
-21.6455,166.1794,315.3,2017-09-29,2308,D,0
-21.6572,166.174,305.1,2017-09-30,1118,N,0
-20.9452,165.3307,303.5,2017-09-30,1426,N,0
-21.6567,166.1847,303.5,2017-09-30,1426,N,0
-21.6553,166.1745,311.2,2017-09-30,1426,N,0
-21.6674,166.1601,311.7,2017-09-30,2351,D,0
-21.6702,166.1925,310.9,2017-09-30,2351,D,0
-21.5251,165.9326,314.3,2017-09-30,2351,D,0
-20.9506,165.3223,312.9,2017-10-01,236,D,0
-20.9672,165.3474,314.3,2017-10-01,236,D,0
-21.2423,165.2691,317.1,2017-10-01,236,D,0
-21.191,165.104,324.0,2017-10-01,236,D,0
-21.1923,165.0933,315.4,2017-10-01,236,D,0
-21.527,165.9081,318.7,2017-10-01,236,D,0
-21.5256,165.9191,340.1,2017-10-01,236,D,0
-21.811,166.056,320.3,2017-10-01,236,D,0
-21.6762,166.1703,321.0,2017-10-01,236,D,0
-21.6668,166.1687,331.7,2017-10-01,236,D,0
-21.6574,166.1938,318.2,2017-10-01,236,D,0
-21.6589,166.1827,325.2,2017-10-01,236,D,0
-21.4739,165.5264,323.1,2017-10-01,236,D,0
-21.4707,165.5319,315.1,2017-10-01,236,D,0
-21.4721,165.5207,318.0,2017-10-01,236,D,0
-21.0092,164.9345,319.9,2017-10-01,236,D,0
-21.8013,165.8353,343.2,2017-10-01,2256,D,0
-21.7906,165.8374,329.5,2017-10-01,2256,D,0
-21.7982,165.8424,350.4,2017-10-01,2256,D,0
-21.8037,165.8491,321.8,2017-10-01,2256,D,0
-21.3054,165.7475,312.9,2017-10-03,223,D,0
-21.1449,165.4847,315.5,2017-10-03,223,D,0
-21.1417,165.4743,321.7,2017-10-03,223,D,0
-21.5285,165.9041,311.0,2017-10-03,223,D,0
-21.5265,165.921,327.6,2017-10-03,223,D,0
-21.1469,165.4678,315.1,2017-10-03,223,D,0
-20.5305,164.5138,317.9,2017-10-03,224,D,0
-21.0116,164.9941,323.1,2017-10-03,224,D,0
-20.7186,164.8043,317.9,2017-10-03,224,D,0
-21.0201,164.9881,319.6,2017-10-03,224,D,0
-21.0179,165.0073,321.7,2017-10-03,224,D,0
-21.129,165.3075,312.0,2017-10-03,224,D,0
-21.078,164.8869,352.1,2017-10-04,306,D,0
-21.0251,164.9926,327.2,2017-10-04,306,D,0
-21.3451,165.403,312.3,2017-10-04,306,D,0
-20.3253,164.5031,320.9,2017-10-04,307,D,0
-20.5415,164.5137,324.9,2017-10-04,307,D,0
-20.6965,164.5573,326.8,2017-10-04,307,D,0
-21.1964,165.0789,312.3,2017-10-04,2327,D,0
-21.1979,165.0906,312.4,2017-10-04,2327,D,0
-21.5293,165.9277,324.4,2017-10-04,2327,D,0
-21.0264,164.9716,326.1,2017-10-05,211,D,0
-20.885,165.169,312.0,2017-10-06,254,D,0
-20.7484,165.0473,331.8,2017-10-06,254,D,0
-21.2981,165.6004,345.6,2017-10-06,254,D,0
-21.5654,166.028,317.2,2017-10-06,254,D,0
-20.5155,164.2805,325.7,2017-10-06,254,D,0
-21.2886,165.599,318.5,2017-10-06,254,D,0
-21.2997,165.59,363.6,2017-10-06,254,D,0
-20.6225,164.6672,317.9,2017-10-06,254,D,0
-20.7195,164.8261,312.2,2017-10-06,254,D,0
-20.7598,164.9119,324.6,2017-10-06,254,D,0
-20.75,165.0369,331.8,2017-10-06,254,D,0
-21.2842,165.6071,316.8,2017-10-06,2314,D,0
-20.6939,164.5672,318.7,2017-10-06,2314,D,0
-20.5034,164.2853,319.0,2017-10-06,2314,D,0
-20.6954,164.5655,314.3,2017-10-07,2357,D,0
-20.7033,164.5708,316.1,2017-10-07,2357,D,0
-21.6688,166.157,350.9,2017-10-08,242,D,0
-21.6701,166.1473,352.8,2017-10-08,242,D,0
-21.7052,165.6392,324.0,2017-10-08,242,D,0
-20.2418,164.0362,347.4,2017-10-08,242,D,0
-20.7588,165.0382,320.6,2017-10-08,242,D,0
-20.6879,164.8885,313.5,2017-10-08,242,D,0
-21.7039,165.649,341.1,2017-10-08,242,D,0
-20.5052,164.2659,321.6,2017-10-08,242,D,0
-20.5038,164.2764,318.6,2017-10-08,242,D,0
-20.5146,164.2673,352.6,2017-10-08,242,D,0
-20.5132,164.2778,359.0,2017-10-08,242,D,0
-20.693,164.5677,342.0,2017-10-08,242,D,0
-20.6916,164.578,355.4,2017-10-08,242,D,0
-20.7023,164.5694,329.9,2017-10-08,242,D,0
-20.7116,164.5709,335.2,2017-10-08,242,D,0
-21.6729,166.1595,324.0,2017-10-08,2302,D,0
-21.6711,166.1485,322.8,2017-10-08,2302,D,0
-20.5151,164.27,320.6,2017-10-09,325,D,0
-20.5175,164.266,321.1,2017-10-09,325,D,0
-20.9504,167.2038,317.0,2017-10-10,230,D,0
-20.9518,167.193,316.0,2017-10-10,230,D,0
-21.487,165.754,344.5,2017-10-10,230,D,0
-20.7129,164.5704,313.6,2017-10-10,2250,D,0
-21.3009,165.0144,316.5,2017-10-11,312,D,0
-21.2948,165.0011,324.5,2017-10-11,312,D,0
-20.4061,164.5925,317.1,2017-10-11,2333,D,0
-22.6383,167.4522,319.7,2017-10-12,217,D,0
-22.6317,167.4461,314.9,2017-10-12,217,D,0
-20.6116,164.3375,337.2,2017-10-13,300,D,0
-20.602,164.3357,345.8,2017-10-13,300,D,0
-21.0198,164.6842,385.7,2017-10-13,2321,D,3
-21.6308,166.1667,339.1,2017-10-15,2308,D,0
-21.0418,164.7583,311.6,2017-10-17,2256,D,0
-21.4685,165.4805,316.7,2017-10-18,2339,D,0
-21.4379,165.8262,326.5,2017-10-18,2339,D,0
-22.057,166.2786,319.7,2017-10-18,2339,D,0
-22.0548,166.2569,344.6,2017-10-18,2339,D,0
-22.0439,166.2798,328.7,2017-10-18,2339,D,0
-22.0417,166.2583,397.6,2017-10-18,2339,D,0
-22.0395,166.237,371.3,2017-10-18,2339,D,0
-22.0285,166.2596,391.6,2017-10-18,2339,D,0
-22.0153,166.2601,314.1,2017-10-18,2339,D,0
-22.0314,166.2648,390.9,2017-10-18,2339,D,0
-22.0181,166.265,315.4,2017-10-18,2339,D,0
-21.4633,165.4682,339.4,2017-10-18,2339,D,0
-21.4409,165.8384,316.3,2017-10-18,2339,D,0
-21.439,165.8203,319.8,2017-10-18,2339,D,0
-22.0348,166.1964,325.0,2017-10-19,223,D,0
-22.0293,166.2439,333.6,2017-10-19,223,D,0
-22.0519,166.2469,339.9,2017-10-19,223,D,0
-22.0517,166.2361,351.0,2017-10-19,223,D,0
-22.05,166.2521,343.6,2017-10-19,223,D,0
-22.0613,166.2534,349.4,2017-10-19,223,D,0
-22.0235,166.1949,344.1,2017-10-19,223,D,0
-22.0253,166.179,327.2,2017-10-19,223,D,0
-22.0367,166.1805,312.9,2017-10-19,223,D,0
-22.1274,166.2782,314.9,2017-10-19,223,D,0
-22.1264,166.2847,318.2,2017-10-19,223,D,0
-20.4312,164.4063,354.6,2017-10-19,224,D,0
-20.4291,164.4259,329.0,2017-10-19,224,D,0
-20.3526,164.4046,314.4,2017-10-19,224,D,0
-20.3533,164.4114,317.3,2017-10-19,224,D,0
-20.4315,164.4016,345.2,2017-10-19,224,D,0
-20.4294,164.4209,343.4,2017-10-19,224,D,0
-20.6616,164.5565,315.4,2017-10-19,2244,D,0
-22.054,166.2467,323.6,2017-10-20,306,D,0
-22.1487,166.3638,321.6,2017-10-20,306,D,0
-22.0571,166.2296,353.1,2017-10-20,306,D,0
-22.0453,166.2271,325.8,2017-10-20,306,D,0
-22.0128,166.271,362.2,2017-10-20,306,D,0
-22.0155,166.256,337.5,2017-10-20,306,D,0
-22.0184,166.2668,355.0,2017-10-20,306,D,0
-20.4968,164.5309,338.9,2017-10-20,2326,D,0
-20.5075,164.5396,356.8,2017-10-20,2326,D,0
-20.5127,164.5328,350.9,2017-10-20,2326,D,0
-20.7048,164.5974,322.4,2017-10-20,2326,D,0
-20.6742,164.5551,326.7,2017-10-20,2326,D,0
-20.6662,164.5668,324.5,2017-10-20,2326,D,0
-20.6648,164.5563,326.3,2017-10-20,2326,D,0
-20.5141,164.5431,327.7,2017-10-20,2326,D,0
-20.4953,164.5207,320.8,2017-10-20,2326,D,0
-20.5061,164.5294,351.4,2017-10-20,2326,D,0
-20.981,167.1142,313.4,2017-10-22,2314,D,0
-21.7442,165.8419,343.1,2017-10-26,229,D,0
-21.7458,165.829,330.4,2017-10-26,229,D,0
-21.0104,164.9773,320.8,2017-10-26,2250,D,0
-21.0083,164.9724,323.0,2017-10-26,2250,D,0
-22.0437,166.2494,321.9,2017-10-27,312,D,0
-21.8063,165.8926,327.7,2017-10-28,217,D,0
-20.8173,164.5963,328.0,2017-10-28,218,D,0
-20.8044,164.6235,319.6,2017-10-28,218,D,0
-20.8208,164.6007,340.9,2017-10-28,218,D,0
-20.8185,164.6249,364.6,2017-10-28,218,D,0
-20.8149,164.6198,374.9,2017-10-28,218,D,0
-21.0151,164.6812,364.2,2017-10-28,1143,N,3
-21.0137,164.6907,314.7,2017-10-28,1143,N,2
-21.5739,165.9809,313.7,2017-10-28,2238,D,0
-21.9861,166.276,315.0,2017-10-28,2238,D,0
-20.6593,164.5391,319.0,2017-10-29,300,D,0
-20.6575,164.5504,326.2,2017-10-29,300,D,0
-20.7124,164.5901,322.8,2017-10-29,300,D,0
-20.8113,164.6155,321.6,2017-10-29,300,D,0
-22.001,166.2751,319.9,2017-10-29,300,D,0
-21.0248,164.9996,338.1,2017-10-29,300,D,0
-20.9198,164.7608,322.4,2017-10-29,300,D,0
-21.9901,166.2743,341.6,2017-10-29,300,D,0
-20.6632,164.6452,330.5,2017-10-29,2320,D,0
-20.9115,164.7703,338.5,2017-10-29,2320,D,0
-20.6583,164.5479,321.6,2017-10-29,2320,D,0
-21.5652,165.9687,322.3,2017-10-29,2321,D,0
-21.5659,165.9621,312.4,2017-10-30,205,D,0
