latitude,longitude,brightness,acq_date,acq_time,daynight,type
47.1763,7.5664,302.2,2017-02-23,1040,D,0
46.9329,6.8252,316.5,2017-02-23,1223,D,0
47.1743,7.561,300.6,2017-03-04,1034,D,0
47.0674,8.2625,301.6,2017-03-11,1224,D,0
47.0717,8.2698,302.7,2017-03-13,1027,D,0
45.885,8.9715,310.2,2017-03-13,1211,D,0
47.2623,8.1748,301.7,2017-03-13,1211,D,0
47.332,8.2055,303.5,2017-03-13,1211,D,0
47.1739,7.5624,303.2,2017-03-25,1236,D,0
47.2681,8.1801,300.4,2017-03-27,1040,D,0
46.9855,7.1447,312.8,2017-03-27,1040,D,0
47.0673,8.2678,304.5,2017-03-27,1040,D,0
47.0669,8.2642,305.9,2017-03-27,1224,D,0
47.1696,7.5685,301.6,2017-03-29,1027,D,0
47.0674,8.2635,300.9,2017-03-29,1027,D,0
47.2641,8.1759,307.6,2017-03-29,1212,D,0
47.1735,7.5607,306.2,2017-04-05,1034,D,0
47.175,7.5658,306.0,2017-04-07,1021,D,0
47.0663,8.2737,302.4,2017-04-07,1021,D,0
46.6592,6.4648,310.4,2017-04-08,1104,D,0
46.6657,6.4892,306.2,2017-04-08,1104,D,0
47.168,7.5613,309.8,2017-04-08,1248,D,0
47.0008,7.1976,317.8,2017-04-10,1236,D,0
47.3976,8.4415,304.8,2017-04-12,1040,D,0
47.0709,8.2646,303.6,2017-04-12,1040,D,0
47.0645,8.2641,308.1,2017-04-12,1224,D,0
46.1751,8.5678,301.4,2017-04-20,951,D,0
47.1723,7.5592,302.4,2017-04-21,1034,D,0
47.0672,8.2713,303.0,2017-04-21,1034,D,0
46.165,6.1017,310.0,2017-04-21,1034,D,0
47.0655,8.266,304.2,2017-04-21,1217,D,0
47.1723,7.567,308.6,2017-04-30,1028,D,0
46.1871,6.1326,308.2,2017-05-05,1046,D,0
47.1686,7.5576,309.9,2017-05-10,1248,D,0
47.1763,7.5627,304.0,2017-05-14,1040,D,0
47.0648,8.2614,304.5,2017-05-17,145,N,0
46.7935,9.8196,303.5,2017-05-21,1229,D,0
47.069,8.2691,301.4,2017-05-26,139,N,0
47.0688,8.2658,310.5,2017-06-01,1028,D,0
46.2309,6.1096,316.3,2017-06-08,1217,D,0
47.171,7.5623,318.0,2017-06-15,1040,D,0
47.1692,7.5607,320.3,2017-06-15,1223,D,0
47.0681,8.2657,315.1,2017-06-17,1028,D,0
47.1749,7.5598,303.4,2017-06-19,2124,N,0
46.8098,9.3989,315.4,2017-06-24,1034,D,0
47.2031,7.561,317.1,2017-07-06,1058,D,0
47.171,7.5615,318.5,2017-07-08,1046,D,0
47.0655,8.2689,314.9,2017-07-17,1040,D,0
46.2959,7.885,307.6,2017-07-24,1046,D,0
47.1702,7.564,314.2,2017-08-18,1040,D,0
47.1727,7.5671,311.4,2017-08-25,1046,D,0
46.2052,8.0831,305.7,2017-08-25,1229,D,0
47.1761,7.5652,314.5,2017-08-29,1022,D,0
46.1808,8.9884,312.3,2017-09-03,1040,D,0
47.1748,7.5628,308.4,2017-09-03,1040,D,0
46.9385,7.4278,301.6,2017-09-03,1223,D,0
47.1742,7.5713,310.5,2017-09-05,1028,D,0
46.1549,6.0859,304.4,2017-09-08,1059,D,0
47.0711,8.2735,301.0,2017-09-21,1028,D,0
47.1748,7.5687,302.9,2017-09-21,1028,D,0
47.2579,8.1772,303.5,2017-09-21,1211,D,0
47.2588,8.1715,308.5,2017-09-21,1211,D,0
47.1734,7.5641,304.6,2017-09-23,1016,D,0
47.0664,8.2707,303.6,2017-09-23,1016,D,0
47.4556,8.5589,306.9,2017-10-05,1040,D,0
47.4646,8.5621,303.4,2017-10-05,1040,D,0
47.0658,8.2679,306.4,2017-10-05,1223,D,0
46.1749,8.8599,305.9,2017-10-07,1211,D,0
47.0683,8.2653,302.1,2017-10-12,1046,D,0
47.172,7.5659,303.6,2017-10-12,1046,D,0
47.1704,7.5639,303.8,2017-10-12,1229,D,0
47.3664,8.8711,315.9,2017-10-14,1217,D,0
47.0721,8.2706,303.9,2017-10-16,1022,D,0
