latitude,longitude,brightness,acq_date,acq_time,daynight,type
-16.2619,168.1084,350.9,2017-01-02,237,D,2
-16.2499,168.126,352.1,2017-01-02,237,D,1
-16.2575,168.1373,374.2,2017-01-02,237,D,2
-16.259,168.1277,341.3,2017-01-02,237,D,1
-16.2633,168.0987,375.6,2017-01-02,237,D,2
-16.2484,168.1358,382.2,2017-01-02,237,D,2
-19.5245,169.4556,308.3,2017-01-03,1413,N,2
-16.2447,168.1485,311.9,2017-01-04,1150,N,2
-16.248,168.1297,366.7,2017-01-04,1150,N,1
-16.2603,168.1179,332.1,2017-01-07,255,D,1
-16.2545,168.1293,366.1,2017-01-07,255,D,1
-16.2532,168.1338,315.2,2017-01-07,2313,D,2
-16.2498,168.1306,355.1,2017-01-09,2300,D,1
-16.2544,168.0989,334.8,2017-01-09,2300,D,2
-16.2638,168.0972,334.9,2017-01-09,2300,D,2
-16.256,168.1089,347.7,2017-01-09,2300,D,1
-16.2514,168.1405,373.9,2017-01-09,2300,D,2
-16.2468,168.1449,319.3,2017-01-12,1406,N,2
-16.2576,168.1159,324.6,2017-01-12,1406,N,1
-16.256,168.1059,380.5,2017-01-12,1406,N,2
-16.2514,168.1375,330.0,2017-01-12,1406,N,2
-16.2452,168.1349,323.2,2017-01-12,1406,N,2
-19.5285,169.4494,334.3,2017-01-12,1407,N,0
-16.2489,168.1356,374.3,2017-01-13,1144,N,2
-16.2556,168.0944,315.3,2017-01-13,1144,N,2
-16.2534,168.108,308.8,2017-01-13,1144,N,1
-16.2512,168.1214,324.3,2017-01-13,1144,N,1
-19.5362,169.4467,310.0,2017-01-15,205,D,2
-16.2554,168.135,340.4,2017-01-17,1119,N,2
-16.2594,168.1045,385.6,2017-01-17,1119,N,2
-16.246,168.1336,354.0,2017-01-17,1119,N,2
-16.2608,168.0942,318.3,2017-01-17,1119,N,0
-16.2447,168.1437,315.1,2017-01-17,1119,N,2
-16.2541,168.1451,311.3,2017-01-17,1119,N,2
-16.2533,168.1411,381.4,2017-01-18,2254,D,2
-19.5322,169.4495,325.2,2017-01-18,2255,D,2
-16.2577,168.0979,305.7,2017-01-19,1107,N,2
-16.2582,168.1081,308.4,2017-01-19,1107,N,2
-16.2484,168.146,342.5,2017-01-19,1412,N,2
-16.2471,168.1367,387.1,2017-01-19,1412,N,2
-19.5308,169.4567,316.8,2017-01-20,2243,D,2
-19.5293,169.4555,308.3,2017-01-21,1054,N,2
-16.2443,168.1363,363.6,2017-01-21,1400,N,2
-16.2605,168.1091,367.8,2017-01-21,1400,N,2
-16.2544,168.1347,310.7,2017-01-21,1400,N,2
-16.2462,168.1479,350.4,2017-01-21,1400,N,2
-16.2586,168.0973,311.3,2017-01-21,1400,N,2
-19.5268,169.4495,366.7,2017-01-21,1401,N,0
-19.5283,169.4594,320.7,2017-01-21,1401,N,2
-19.5238,169.4513,308.1,2017-01-22,1137,N,2
-16.2584,168.0919,305.1,2017-01-22,1138,N,0
-16.2567,168.1028,328.4,2017-01-22,1138,N,2
-16.2499,168.1344,319.7,2017-01-22,1443,N,2
-19.5341,169.4462,327.8,2017-01-23,254,D,2
-19.5236,169.4497,307.8,2017-01-23,1348,N,2
-19.5315,169.4415,322.2,2017-01-24,159,D,2
-16.2648,168.0976,326.3,2017-01-24,1125,N,2
-16.2506,168.1335,372.0,2017-01-24,1125,N,1
-16.2545,168.1056,353.9,2017-01-24,1125,N,2
-16.2493,168.1429,337.4,2017-01-24,1125,N,2
-16.2558,168.0963,329.3,2017-01-24,1125,N,2
-16.2635,168.1069,347.0,2017-01-24,1125,N,2
-16.2451,168.1369,334.8,2017-01-24,1430,N,2
-16.2423,168.1297,313.1,2017-01-24,1430,N,1
-16.2441,168.1443,326.5,2017-01-24,1430,N,2
-16.2525,168.1069,319.8,2017-01-24,1430,N,1
-16.2486,168.1393,390.6,2017-01-25,2300,D,2
-16.2617,168.1062,330.4,2017-01-26,1113,N,2
-16.2633,168.0937,310.6,2017-01-26,1113,N,2
-16.25,168.1395,345.4,2017-01-28,2331,D,2
-16.2477,168.1205,321.4,2017-01-28,2331,D,1
-16.2569,168.1416,355.7,2017-01-29,219,D,2
-19.5283,169.452,307.2,2017-01-30,1354,N,2
-16.2561,168.1021,318.8,2017-01-31,1132,N,2
-16.2504,168.1407,326.5,2017-01-31,1132,N,2
-16.2518,168.131,325.1,2017-01-31,1132,N,1
-16.2567,168.1266,332.6,2017-02-01,249,D,1
-16.253,168.1343,347.2,2017-02-01,249,D,2
-16.2543,168.1406,332.2,2017-02-01,249,D,2
-16.2614,168.1079,348.9,2017-02-02,1424,N,2
-16.2463,168.1448,324.3,2017-02-02,1424,N,2
-16.2516,168.1091,320.2,2017-02-02,1424,N,1
-16.2599,168.0965,319.8,2017-02-02,1424,N,2
-16.2448,168.1332,323.3,2017-02-02,1424,N,0
-16.2604,168.1148,329.5,2017-02-03,2254,D,1
-16.262,168.1104,335.9,2017-02-04,1107,N,2
-16.2639,168.0946,325.5,2017-02-04,1107,N,2
-16.2437,168.14,327.7,2017-02-04,1412,N,2
-16.2576,168.1093,379.6,2017-02-04,1412,N,1
-16.2562,168.1,353.8,2017-02-04,1412,N,2
-16.2485,168.1261,311.5,2017-02-11,1113,N,1
-16.247,168.1378,348.3,2017-02-11,1113,N,2
-16.2619,168.1028,327.2,2017-02-11,1113,N,2
-16.2608,168.0966,321.1,2017-02-11,1113,N,2
-16.2593,168.1088,329.4,2017-02-11,1113,N,2
-16.2451,168.1477,326.5,2017-02-11,1418,N,2
-16.2579,168.1059,392.9,2017-02-11,1418,N,2
-16.2437,168.1379,397.5,2017-02-11,1418,N,2
-16.2528,168.1364,307.7,2017-02-11,1418,N,2
-16.2487,168.1073,317.0,2017-02-11,1418,N,1
-16.2593,168.1157,309.2,2017-02-11,1418,N,1
-16.2565,168.0962,310.3,2017-02-11,1418,N,2
-16.2533,168.0988,321.9,2017-02-13,1406,N,0
-16.2502,168.1402,375.5,2017-02-13,1406,N,2
-16.2548,168.1088,365.7,2017-02-13,1406,N,1
-16.2487,168.1303,320.2,2017-02-13,1406,N,1
-19.5236,169.4511,320.2,2017-02-13,1407,N,2
-16.2477,168.1411,368.7,2017-02-17,2306,D,2
-16.2463,168.1319,362.8,2017-02-17,2306,D,1
-16.2601,168.1012,380.8,2017-02-17,2306,D,2
-16.2515,168.1371,307.9,2017-02-18,1119,N,2
-16.256,168.1319,322.7,2017-02-21,225,D,1
-16.2463,168.1437,310.3,2017-02-22,1400,N,2
-19.5317,169.4451,323.9,2017-02-23,1137,N,2
-19.5292,169.4605,310.3,2017-02-24,1349,N,2
-19.5268,169.4463,318.0,2017-02-24,1349,N,0
-19.5264,169.4503,314.2,2017-02-25,1124,N,2
-19.5277,169.4408,309.8,2017-02-25,1124,N,0
-16.2612,168.1035,368.7,2017-02-25,1125,N,2
-16.2482,168.1301,343.8,2017-02-25,1125,N,1
-16.2469,168.1394,350.6,2017-02-25,1125,N,2
-16.2442,168.1425,320.3,2017-03-01,2331,D,2
-16.2472,168.135,340.8,2017-03-01,2331,D,2
-16.2541,168.1219,317.4,2017-03-01,2331,D,1
-16.2418,168.1236,315.2,2017-03-01,2331,D,1
-19.5311,169.4522,311.3,2017-03-01,2332,D,2
-16.2588,168.1013,324.3,2017-03-03,1354,N,2
-16.2613,168.1159,327.5,2017-03-03,1354,N,1
-16.2625,168.0966,362.3,2017-03-03,2319,D,2
-16.264,168.1079,367.1,2017-03-03,2319,D,2
-16.2483,168.1407,348.3,2017-03-04,1132,N,2
-16.254,168.1021,311.7,2017-03-04,1132,N,0
-16.2624,168.1001,342.0,2017-03-04,1132,N,2
-16.2497,168.131,357.9,2017-03-04,1132,N,1
-16.261,168.1097,320.2,2017-03-04,1132,N,2
-16.2503,168.1364,340.0,2017-03-04,1437,N,2
-19.5249,169.4441,317.9,2017-03-06,1118,N,0
-19.5341,169.4456,318.3,2017-03-06,1118,N,2
-16.2492,168.1378,306.0,2017-03-06,1119,N,2
-16.2532,168.1074,307.2,2017-03-06,1119,N,1
-16.2546,168.0973,307.0,2017-03-06,1119,N,2
-16.264,168.0986,350.1,2017-03-06,1119,N,2
-16.2505,168.1278,307.4,2017-03-06,1119,N,1
-16.2626,168.1087,358.0,2017-03-06,1119,N,2
-16.2467,168.1386,370.8,2017-03-06,1425,N,2
-16.2452,168.1269,306.7,2017-03-06,1425,N,1
-19.5318,169.4491,318.0,2017-03-09,224,D,2
-16.2508,168.1281,313.8,2017-03-09,225,D,1
-16.2642,168.099,316.4,2017-03-09,225,D,2
-16.2428,168.1317,309.5,2017-03-09,1150,N,1
-16.2549,168.1339,344.7,2017-03-09,1150,N,2
-16.2509,168.0997,311.4,2017-03-10,1400,N,0
-16.2492,168.1432,369.7,2017-03-10,1400,N,2
-16.2529,168.1117,325.1,2017-03-10,1400,N,1
-16.2555,168.1181,323.1,2017-03-10,1400,N,1
-16.2473,168.1316,335.3,2017-03-10,1400,N,1
-16.2629,168.1097,326.5,2017-03-10,1400,N,2
-16.2536,168.1061,349.4,2017-03-10,1400,N,0
-19.533,169.4496,312.8,2017-03-12,2314,D,2
-19.5307,169.4472,366.3,2017-03-13,1125,N,2
-16.2494,168.1298,325.2,2017-03-15,1113,N,1
-16.2479,168.1416,316.5,2017-03-15,1113,N,2
-16.2537,168.1376,315.3,2017-03-16,2248,D,2
-16.251,168.1408,380.3,2017-03-19,2319,D,2
-16.2542,168.0995,312.4,2017-03-20,1132,N,0
