latitude,longitude,brightness,acq_date,acq_time,daynight,type
42.705,41.5734,322.3,2018-02-11,948,D,0
42.887,41.4456,326.6,2018-02-16,825,D,0
42.6549,41.6536,319.1,2018-02-16,825,D,0
42.8892,41.4324,320.9,2018-02-16,825,D,0
42.6572,41.6403,317.5,2018-02-16,825,D,0
42.8803,41.4318,302.7,2018-02-16,1007,D,0
42.6584,41.6491,300.6,2018-02-16,1007,D,0
42.2493,42.4218,303.0,2018-02-16,1007,D,0
42.8826,41.4454,302.1,2018-02-16,1007,D,0
42.6491,41.652,304.9,2018-02-16,1007,D,0
42.5263,41.6552,302.6,2018-02-16,1007,D,0
42.1267,44.1282,304.7,2018-02-25,1000,D,0
42.1176,44.1309,309.1,2018-02-25,1000,D,0
41.7398,45.8626,303.1,2018-02-25,1000,D,0
41.6333,45.7129,312.3,2018-02-25,1000,D,0
41.596,45.7106,303.8,2018-02-25,1000,D,0
41.9594,44.9466,303.9,2018-02-28,1031,D,0
42.4765,42.8475,301.9,2018-02-28,1031,D,0
41.998,42.0227,305.1,2018-02-28,1031,D,0
41.6043,45.6654,311.8,2018-03-02,1019,D,0
41.6655,45.4311,302.1,2018-03-03,924,D,0
41.6389,45.0364,300.3,2018-03-10,930,D,0
41.6432,45.0394,302.2,2018-03-10,930,D,0
42.5699,41.6997,300.5,2018-03-13,819,D,0
42.0325,42.2001,301.1,2018-03-13,819,D,0
42.8624,41.4379,310.0,2018-03-13,819,D,0
42.8714,41.4404,307.8,2018-03-13,819,D,0
42.5809,41.69,306.5,2018-03-13,819,D,0
42.9096,41.2353,305.1,2018-03-13,1001,D,0
42.4223,41.9222,304.5,2018-03-13,1001,D,0
42.9095,41.2459,307.2,2018-03-13,1001,D,0
42.9126,41.2514,308.4,2018-03-13,1001,D,0
42.345,41.6205,300.8,2018-03-13,1001,D,0
42.8252,41.299,311.5,2018-03-13,1001,D,0
42.8101,41.2584,324.9,2018-03-13,1001,D,0
42.5343,41.7004,314.5,2018-03-18,1019,D,0
42.7395,41.4632,347.4,2018-03-20,1007,D,0
42.7676,41.5692,320.0,2018-03-20,1007,D,0
42.7653,41.5556,313.6,2018-03-20,1007,D,0
41.7556,45.8605,309.8,2018-03-21,730,D,0
42.1194,43.0135,303.6,2018-03-27,832,D,0
42.8874,41.4239,321.6,2018-03-27,1013,D,0
42.1242,41.8174,305.5,2018-03-27,1013,D,0
42.1223,41.8051,303.0,2018-03-27,1013,D,0
42.1216,43.0239,300.2,2018-03-31,807,D,0
42.1234,43.012,312.8,2018-03-31,807,D,0
42.8782,41.4385,310.1,2018-04-01,1032,D,0
41.961,41.9964,311.3,2018-04-02,755,D,0
42.4999,41.871,306.1,2018-04-05,826,D,2
42.4905,41.868,305.5,2018-04-05,826,D,2
41.6243,42.8568,313.8,2018-04-05,1007,D,0
42.8808,41.4413,310.5,2018-04-05,1007,D,0
42.8782,41.4474,307.0,2018-04-05,1007,D,0
42.8758,41.4337,306.5,2018-04-05,1007,D,0
41.8936,41.8584,307.5,2018-04-06,1050,D,0
43.1971,40.6297,309.4,2018-04-07,813,D,0
43.2359,40.5489,306.9,2018-04-07,813,D,0
42.2717,42.062,306.4,2018-04-07,813,D,2
42.7776,41.389,312.6,2018-04-07,955,D,0
42.7362,41.5899,308.1,2018-04-07,955,D,0
42.4594,41.7903,312.8,2018-04-07,955,D,0
42.7815,41.4078,309.3,2018-04-07,955,D,0
41.9479,41.9945,311.2,2018-04-07,955,D,0
42.7903,41.5262,300.3,2018-04-07,1920,N,0
42.6173,41.9861,312.9,2018-04-08,1038,D,0
42.4553,43.8256,318.2,2018-04-08,1038,D,0
42.5449,45.2112,312.4,2018-04-09,801,D,0
42.4715,44.9689,307.2,2018-04-09,942,D,0
42.7321,41.484,309.9,2018-04-09,943,D,0
42.7789,41.5196,316.9,2018-04-09,943,D,0
42.728,41.4812,307.6,2018-04-09,943,D,0
42.5584,42.0711,301.1,2018-04-09,2319,N,0
42.7728,41.3922,309.8,2018-04-10,844,D,0
42.8859,41.3038,317.1,2018-04-10,844,D,0
42.8815,41.3248,314.3,2018-04-10,844,D,0
43.4781,40.03,314.8,2018-04-10,844,D,0
42.5608,42.0754,310.7,2018-04-10,844,D,0
42.802,41.4087,311.7,2018-04-10,844,D,0
42.7791,41.4,311.4,2018-04-10,844,D,0
42.8811,41.6159,312.9,2018-04-10,1025,D,0
42.4877,42.3589,313.6,2018-04-10,1025,D,0
42.5527,42.0722,327.2,2018-04-10,1025,D,0
43.1735,40.6256,310.8,2018-04-10,1026,D,0
43.0833,40.9788,309.9,2018-04-10,1026,D,0
41.9835,42.1343,312.5,2018-04-11,749,D,0
42.2478,42.3671,312.8,2018-04-12,1013,D,0
41.9134,44.4207,302.3,2018-04-16,807,D,2
41.7205,45.1342,306.7,2018-04-23,814,D,0
41.7198,45.1274,306.0,2018-04-23,814,D,0
41.9778,42.1343,311.7,2018-04-24,1037,D,0
41.9826,42.1404,309.7,2018-04-24,1037,D,0
41.915,44.4201,308.8,2018-04-25,801,D,2
41.5381,42.3552,313.4,2018-04-26,1025,D,0
42.8952,41.2978,305.7,2018-04-28,832,D,0
42.8924,41.3128,304.3,2018-04-28,832,D,0
42.0741,43.955,309.4,2018-05-02,808,D,0
42.3489,42.7535,317.9,2018-05-02,948,D,0
41.3873,45.7108,304.2,2018-05-09,954,D,0
41.3995,43.4882,310.0,2018-05-18,808,D,2
42.68,41.6026,315.6,2018-05-18,949,D,0
42.6752,41.5803,310.3,2018-05-18,949,D,0
41.4024,43.4849,316.1,2018-05-28,1025,D,2
42.2689,42.7151,314.7,2018-06-06,839,D,2
42.0858,44.6956,307.5,2018-06-10,954,D,2
41.6374,42.9867,316.3,2018-06-12,802,D,2
41.6893,45.0058,316.3,2018-06-19,808,D,2
41.9095,45.8536,316.3,2018-06-19,948,D,0
41.6364,42.9974,318.5,2018-06-26,814,D,2
41.9118,45.4771,315.8,2018-06-28,802,D,2
41.6231,46.1501,304.3,2018-06-28,1908,N,0
41.619,46.1424,325.1,2018-06-29,845,D,0
42.7498,41.4681,318.6,2018-06-29,1025,D,0
41.7077,46.1274,319.7,2018-07-01,833,D,0
41.7108,46.1167,324.3,2018-07-01,1012,D,0
41.7014,46.1187,327.3,2018-07-01,1012,D,0
41.6574,46.0309,323.2,2018-07-02,917,D,0
41.6431,46.0374,328.0,2018-07-02,917,D,0
41.6443,46.0443,329.1,2018-07-02,917,D,0
41.6597,46.0372,316.8,2018-07-02,1055,D,0
41.6602,46.0325,316.6,2018-07-02,1055,D,0
41.5934,46.1804,308.3,2018-07-02,1843,N,0
41.5959,46.1733,314.3,2018-07-02,1843,N,0
41.668,46.0395,328.5,2018-07-03,820,D,0
41.6292,46.0673,334.0,2018-07-03,1000,D,0
41.6692,45.9848,338.3,2018-07-04,905,D,0
41.6687,45.9764,335.2,2018-07-04,905,D,0
41.4843,46.2129,324.1,2018-07-04,905,D,0
41.6339,46.0647,326.6,2018-07-04,905,D,0
41.6195,46.0109,321.7,2018-07-04,905,D,0
41.634,46.062,326.4,2018-07-04,905,D,0
41.6197,46.0134,322.8,2018-07-04,905,D,0
41.4837,46.2153,324.6,2018-07-04,905,D,0
41.6281,46.0517,327.2,2018-07-04,1043,D,0
41.6263,46.0176,330.0,2018-07-04,1043,D,0
41.613,46.0786,309.4,2018-07-04,1831,N,0
41.5626,46.1823,345.8,2018-07-05,808,D,0
41.6653,46.0177,332.6,2018-07-05,808,D,0
41.5601,46.1961,328.4,2018-07-05,808,D,0
41.5531,46.1793,338.1,2018-07-05,808,D,0
41.5595,46.1806,333.6,2018-07-05,948,D,0
41.5476,46.1698,334.4,2018-07-05,948,D,0
41.6383,46.119,313.3,2018-07-05,1914,N,0
41.578,46.2168,318.5,2018-07-05,1914,N,0
41.5764,46.201,314.9,2018-07-05,1914,N,0
41.6282,46.1209,310.5,2018-07-05,1914,N,0
