latitude,longitude,brightness,acq_date,acq_time,daynight,type
-30.5224,27.7962,320.8,2018-01-02,1156,D,0
-29.1831,28.1099,323.9,2018-01-08,839,D,0
-30.5093,27.8803,326.8,2018-01-14,802,D,0
-29.8964,29.0872,303.2,2018-05-07,846,D,0
-28.7871,28.6244,312.7,2018-05-08,1209,D,0
-29.8215,28.627,304.9,2018-05-22,1221,D,0
-29.0499,28.3905,303.0,2018-05-24,1209,D,0
-30.3967,28.1962,305.2,2018-05-27,822,D,0
-30.4387,28.005,314.6,2018-06-16,1215,D,0
-29.643,28.4128,307.0,2018-06-20,1150,D,0
-29.4853,29.1899,300.7,2018-06-21,816,D,0
-29.6229,28.3988,314.9,2018-06-21,1233,D,0
-29.6092,28.3963,338.8,2018-06-21,1233,D,0
-29.6145,28.3709,307.9,2018-06-21,1233,D,0
-29.8681,29.1296,302.1,2018-06-22,1138,D,0
-29.8681,29.135,304.3,2018-06-22,1138,D,0
-29.5958,28.468,302.7,2018-06-23,803,D,0
-29.7656,28.5089,303.3,2018-07-04,1202,D,0
-29.0328,27.6638,302.0,2018-07-04,1203,D,0
-29.6046,28.409,302.8,2018-07-05,828,D,0
-29.0526,28.7453,302.0,2018-07-06,1150,D,0
-28.7171,28.6541,301.8,2018-07-06,1150,D,0
-29.7688,27.8743,306.0,2018-07-06,1150,D,0
-28.9118,28.723,324.2,2018-07-22,1151,D,0
-28.9103,28.7343,313.3,2018-07-22,1151,D,0
-30.0603,28.6438,300.6,2018-07-23,816,D,0
-29.6622,29.0647,305.8,2018-07-25,1221,D,0
-29.6619,29.053,307.1,2018-07-25,1221,D,0
-30.1346,28.3717,307.8,2018-07-26,1126,D,0
-28.7034,28.6678,310.2,2018-07-26,1126,D,0
-30.1372,28.3796,305.1,2018-07-26,1126,D,0
-28.7111,28.6618,307.1,2018-07-26,1126,D,0
-30.4473,27.8563,315.1,2018-07-27,1209,D,0
-29.3492,27.9219,308.2,2018-07-27,1209,D,0
-30.3621,28.1802,304.8,2018-07-27,1209,D,0
-28.6814,28.3443,304.9,2018-07-28,834,D,0
-28.6778,28.3445,305.6,2018-07-28,1114,D,0
-30.018,27.652,309.9,2018-07-29,1157,D,0
-28.8502,28.4835,304.6,2018-07-29,1157,D,0
-29.7873,28.4818,308.2,2018-07-29,1157,D,0
-29.6333,28.3501,310.1,2018-07-30,822,D,0
-29.9391,29.0704,309.3,2018-07-31,1145,D,0
-28.9051,28.8916,310.9,2018-07-31,1145,D,0
-28.9037,28.9033,326.5,2018-07-31,1145,D,0
-29.8743,29.1078,334.3,2018-07-31,1145,D,0
-29.8713,29.1328,393.7,2018-07-31,1145,D,0
-29.8728,29.1201,404.7,2018-07-31,1145,D,0
-29.8106,28.5148,313.6,2018-07-31,1145,D,0
-28.9688,29.0081,302.3,2018-08-01,809,D,0
-28.9704,29.0184,303.3,2018-08-01,809,D,0
-29.9238,29.0946,320.6,2018-08-02,1132,D,0
-29.9116,29.0931,377.5,2018-08-02,1132,D,0
-29.1109,28.1103,311.2,2018-08-05,1203,D,0
-28.6575,28.6687,305.4,2018-08-06,828,D,0
-29.8071,27.5436,307.0,2018-08-06,1246,D,0
-29.989,28.8019,333.3,2018-08-06,1246,D,0
-29.9948,28.8457,306.2,2018-08-06,1246,D,0
-30.004,28.8068,306.5,2018-08-06,1246,D,0
-29.9883,28.7973,327.9,2018-08-06,1246,D,0
-29.8138,27.5381,302.8,2018-08-06,1246,D,0
-29.9452,28.8747,307.6,2018-08-07,1151,D,0
-29.9438,28.8856,307.5,2018-08-07,1151,D,0
-28.6644,28.6417,333.1,2018-08-07,1151,D,0
-28.663,28.6529,309.4,2018-08-07,1151,D,0
-28.8525,28.6209,330.0,2018-08-15,1240,D,0
-30.4381,27.9226,305.6,2018-08-16,1144,D,0
-29.8464,29.0231,306.8,2018-08-19,1215,D,0
-30.0609,27.6295,301.4,2018-08-26,803,D,0
-29.9956,28.821,311.9,2018-08-26,1221,D,0
-29.9087,29.0624,318.6,2018-08-26,2320,N,0
-30.4312,28.0116,310.2,2018-08-28,1209,D,0
-28.8457,28.6195,320.4,2018-08-30,1157,D,0
-29.5752,28.4041,325.4,2018-08-31,822,D,0
-30.3425,28.1503,343.4,2018-09-01,1144,D,0
-29.8148,27.5525,312.5,2018-09-01,1144,D,0
-30.3407,28.1661,312.7,2018-09-01,1144,D,0
-30.3631,28.1133,313.7,2018-09-12,1125,D,0
-30.3635,28.1219,313.4,2018-09-12,1125,D,0
-28.8601,28.0281,320.8,2018-09-13,1209,D,0
-28.82,28.5846,315.9,2018-09-13,1209,D,0
-28.8619,28.0169,326.3,2018-09-13,1209,D,0
-29.8079,28.6516,310.5,2018-09-14,834,D,0
-29.9931,28.5834,310.4,2018-09-14,834,D,0
-29.5362,27.9614,307.7,2018-09-14,834,D,0
-29.9913,28.5668,324.7,2018-09-14,834,D,0
-28.8903,28.5155,317.7,2018-09-15,1156,D,0
-29.6063,28.3888,342.1,2018-09-15,1156,D,0
