latitude,longitude,brightness,acq_date,acq_time,daynight,type
8.1907,-80.721,310.1,2018-01-14,1606,D,0
8.3685,-80.5005,322.8,2018-01-21,1612,D,0
8.3665,-80.488,314.7,2018-01-21,1612,D,0
7.8204,-81.4345,312.5,2018-01-25,1848,D,0
7.9798,-81.2779,316.0,2018-01-25,1848,D,0
8.1851,-80.5725,318.0,2018-01-25,1848,D,0
8.1662,-80.899,305.0,2018-01-26,413,N,0
8.1655,-80.8923,303.7,2018-01-26,413,N,0
8.3656,-80.4869,306.6,2018-01-26,705,N,0
8.367,-80.4961,314.3,2018-01-26,705,N,0
8.2072,-81.1352,318.0,2018-01-27,1836,D,0
8.4656,-82.0096,303.5,2018-01-28,653,N,0
8.4593,-82.0034,303.8,2018-01-28,653,N,0
8.1569,-80.6987,318.0,2018-01-30,1606,D,0
8.1462,-80.5659,316.7,2018-01-30,1606,D,0
8.1818,-81.0935,314.1,2018-01-30,1606,D,0
8.4482,-80.9092,315.2,2018-02-01,1553,D,0
7.8962,-81.225,314.7,2018-02-01,1554,D,0
7.8976,-81.2345,320.4,2018-02-01,1554,D,0
8.7846,-82.62,344.1,2018-02-01,1855,D,0
8.786,-82.6104,323.9,2018-02-01,1855,D,0
8.3417,-80.2654,317.0,2018-02-01,1855,D,0
8.4764,-80.8765,319.0,2018-02-01,1855,D,0
8.4751,-80.8855,319.6,2018-02-01,1855,D,0
8.4165,-82.8097,315.2,2018-02-01,1855,D,0
8.7938,-82.6213,335.4,2018-02-01,1855,D,0
8.7952,-82.6117,341.0,2018-02-01,1855,D,0
8.206,-80.5562,318.0,2018-02-03,1541,D,0
8.2103,-80.5493,321.6,2018-02-03,1541,D,0
7.9546,-81.5371,322.1,2018-02-03,1842,D,0
9.126,-79.1343,318.9,2018-02-03,1843,D,0
9.1247,-79.1436,317.2,2018-02-03,1843,D,0
9.1156,-79.1422,347.0,2018-02-03,1843,D,0
9.117,-79.133,327.7,2018-02-03,1843,D,0
8.3802,-80.486,322.3,2018-02-04,407,N,0
8.6672,-82.4385,305.2,2018-02-04,659,N,0
8.0776,-80.8022,314.4,2018-02-04,1624,D,0
8.1894,-80.6902,328.4,2018-02-04,1925,D,0
7.9238,-80.5843,323.9,2018-02-05,1529,D,0
8.5493,-79.8913,317.0,2018-02-05,1830,D,0
7.9115,-80.5904,319.8,2018-02-06,1612,D,0
7.9864,-81.2736,314.9,2018-02-06,1612,D,0
8.2384,-81.9901,315.6,2018-02-06,1612,D,0
7.9116,-80.5895,320.9,2018-02-06,1913,D,0
8.4273,-82.5209,307.9,2018-02-07,730,N,0
7.9165,-80.591,321.8,2018-02-08,1600,D,0
8.278,-80.479,316.5,2018-02-08,1600,D,0
8.4801,-80.1229,320.1,2018-02-08,1901,D,0
9.0505,-79.6659,334.8,2018-02-08,1901,D,0
9.0605,-79.6671,319.6,2018-02-08,1901,D,0
9.3116,-79.7772,312.4,2018-02-10,1849,D,0
8.1887,-80.7235,323.6,2018-02-10,1849,D,0
9.1515,-79.0318,318.1,2018-02-10,1849,D,0
8.6099,-80.5542,314.6,2018-02-10,1849,D,0
8.7687,-77.8559,313.5,2018-02-12,1836,D,0
8.2157,-80.8857,306.0,2018-02-13,401,N,0
8.335,-80.2498,314.5,2018-02-13,1618,D,0
7.8739,-80.6003,319.7,2018-02-13,1919,D,0
8.6509,-82.4121,334.0,2018-02-13,1919,D,0
8.6488,-82.4275,315.0,2018-02-13,1919,D,0
8.6609,-82.451,320.7,2018-02-14,1824,D,0
8.6707,-82.4586,327.0,2018-02-14,1824,D,0
8.6768,-82.4524,314.7,2018-02-14,1824,D,0
8.6678,-82.4325,312.7,2018-02-15,349,N,0
8.6664,-82.4419,320.6,2018-02-15,349,N,0
8.6679,-82.4252,311.6,2018-02-15,641,N,0
9.1222,-79.0897,317.9,2018-02-15,1605,D,0
9.3472,-79.8829,319.3,2018-02-15,1605,D,2
8.2692,-80.5446,318.2,2018-02-15,1606,D,2
8.6205,-79.8713,324.2,2018-02-15,1907,D,0
8.2273,-81.1104,323.9,2018-02-15,1907,D,0
8.6552,-82.4268,324.9,2018-02-15,1907,D,0
8.5607,-79.9051,321.5,2018-02-15,1907,D,0
8.4673,-80.3799,314.0,2018-02-16,1812,D,0
8.4701,-80.388,315.2,2018-02-16,1812,D,0
8.3852,-80.4824,319.3,2018-02-17,337,N,0
8.3755,-80.4809,306.1,2018-02-17,337,N,0
8.3771,-80.4702,304.8,2018-02-17,337,N,0
8.478,-81.3667,303.3,2018-02-17,337,N,0
8.3868,-80.4717,313.9,2018-02-17,337,N,0
8.294,-80.4521,316.2,2018-02-17,1553,D,0
8.0433,-80.8824,333.5,2018-02-17,1554,D,0
8.2874,-80.4528,334.6,2018-02-17,1855,D,0
8.4005,-80.2439,324.4,2018-02-17,1855,D,0
8.2861,-80.4618,321.6,2018-02-17,1855,D,0
8.358,-80.4912,301.5,2018-02-18,419,N,0
8.3747,-80.4704,305.6,2018-02-19,324,N,0
