latitude,longitude,brightness,acq_date,acq_time,daynight,type
26.0335,50.567,303.1,2019-03-04,1856,N,0
26.0895,50.5977,310.9,2019-05-16,1850,N,2
26.0885,50.5988,332.3,2019-06-14,722,D,2
26.0387,50.5861,311.6,2019-06-23,2233,N,0
26.0326,50.5776,312.5,2019-06-24,1856,N,0
26.0324,50.588,310.4,2019-06-25,2221,N,0
26.0322,50.5793,314.3,2019-07-03,1850,N,0
26.0842,50.5966,333.5,2019-07-13,1001,D,0
26.0875,50.5975,332.8,2019-08-01,722,D,0
26.0053,50.5529,302.8,2019-11-16,2221,N,0
26.0053,50.5552,302.1,2019-11-24,1849,N,0
26.0038,50.5453,305.1,2019-11-24,1849,N,0
26.0101,50.5554,302.9,2019-12-23,2239,N,0
26.0809,50.5675,303.2,2019-12-31,1908,N,0
