latitude,longitude,brightness,acq_date,acq_time,daynight,type
18.9943,-72.3273,320.4,2019-01-02,1814,D,0
19.206,-72.3254,324.3,2019-01-02,1814,D,0
19.7032,-72.7121,320.8,2019-01-02,1814,D,0
19.2842,-72.1886,325.4,2019-01-03,1857,D,0
19.281,-72.1927,325.7,2019-01-03,1857,D,0
19.2728,-72.235,331.4,2019-01-04,1802,D,0
19.3441,-72.4251,338.0,2019-01-04,1802,D,0
19.3422,-72.4369,315.3,2019-01-04,1802,D,0
19.3324,-72.4098,313.1,2019-01-05,1538,D,0
18.9088,-72.2303,317.8,2019-01-05,1538,D,0
19.2741,-72.1649,317.5,2019-01-05,1845,D,0
19.2751,-72.17,317.8,2019-01-05,1845,D,0
19.2961,-72.2536,321.9,2019-01-05,1845,D,0
19.5016,-72.6797,320.5,2019-01-07,1526,D,0
18.8049,-72.3415,333.0,2019-01-09,1820,D,0
18.8022,-72.3611,326.7,2019-01-09,1820,D,0
18.8009,-72.3708,319.2,2019-01-09,1820,D,0
19.6814,-72.1542,340.4,2019-01-09,1820,D,0
19.68,-72.1647,326.2,2019-01-09,1820,D,0
19.2995,-72.5117,314.7,2019-01-12,1544,D,0
19.0844,-72.0658,341.8,2019-01-14,1532,D,0
19.0829,-72.0564,312.2,2019-01-14,1532,D,0
19.3263,-72.2229,316.3,2019-01-16,1520,D,0
18.8024,-72.0698,317.7,2019-01-18,1814,D,0
18.801,-72.0792,317.8,2019-01-18,1814,D,0
18.9317,-72.0669,311.4,2019-01-19,1550,D,0
19.2657,-71.8959,316.6,2019-01-22,1750,D,0
19.052,-72.0093,302.0,2019-01-23,315,N,0
18.7664,-72.972,326.1,2019-01-23,1832,D,0
19.3164,-72.569,324.9,2019-01-23,1833,D,0
18.9299,-72.2279,308.4,2019-01-24,644,N,0
18.9282,-72.2172,301.7,2019-01-24,644,N,0
19.0956,-72.1193,310.0,2019-01-24,1737,D,0
18.9668,-72.0145,330.6,2019-01-25,302,N,0
18.9654,-72.0241,309.1,2019-01-25,302,N,0
18.841,-72.2182,315.7,2019-01-25,1820,D,0
18.9336,-72.278,321.4,2019-01-25,1820,D,0
19.4794,-72.3881,322.5,2019-01-25,1820,D,0
19.4694,-72.7307,332.9,2019-01-25,1820,D,0
19.7007,-72.6562,319.1,2019-01-25,1820,D,0
19.5926,-72.842,326.0,2019-01-27,1808,D,0
19.6992,-72.7322,317.4,2019-01-28,1544,D,0
19.341,-72.4247,315.6,2019-01-28,1544,D,0
19.5071,-71.8631,315.7,2019-01-30,1532,D,0
19.1587,-72.4422,334.3,2019-01-31,1744,D,0
19.1541,-72.4667,327.2,2019-01-31,1744,D,0
18.978,-72.0063,302.9,2019-02-01,308,N,0
18.9363,-72.3713,308.5,2019-02-01,308,N,0
18.9798,-72.0307,321.0,2019-02-01,1520,D,0
19.2163,-72.7141,322.1,2019-02-01,1826,D,0
19.2149,-72.7256,345.9,2019-02-01,1826,D,0
19.2874,-72.5448,314.9,2019-02-10,1513,D,0
18.9586,-72.1079,316.9,2019-02-10,1514,D,0
18.9569,-72.094,315.8,2019-02-10,1514,D,0
18.8623,-72.0552,326.3,2019-02-10,1820,D,0
18.8785,-72.0047,318.3,2019-02-10,1820,D,0
18.8717,-72.0567,320.9,2019-02-10,1820,D,0
18.8606,-72.4901,319.9,2019-02-10,1820,D,0
19.0929,-72.3283,326.7,2019-02-10,1820,D,0
19.1021,-72.33,329.0,2019-02-10,1820,D,0
19.1867,-72.4505,328.7,2019-02-10,1820,D,0
19.1854,-72.4604,321.4,2019-02-10,1820,D,0
19.2855,-71.9949,326.9,2019-02-10,1820,D,0
