latitude,longitude,brightness,acq_date,acq_time,daynight,type
19.2782,166.6379,317.1,2019-03-26,217,D,3
16.7279,-169.5341,310.7,2019-05-25,101,D,3
19.2806,166.6351,310.4,2019-06-02,152,D,3
16.727,-169.5406,310.6,2019-06-26,101,D,3
16.7255,-169.5438,311.3,2019-07-02,24,D,3
16.7276,-169.5341,313.9,2019-07-02,24,D,3
16.7233,-169.5433,312.3,2019-07-05,55,D,3
28.2046,-177.3819,310.3,2019-07-16,40,D,3
19.2783,166.6398,311.3,2019-07-21,234,D,3
28.2032,-177.3727,311.7,2019-08-06,2230,D,3
16.7315,-169.5275,314.5,2019-08-21,2149,D,3
16.7266,-169.5394,312.7,2019-08-29,101,D,3
-0.3779,-160.0116,312.6,2019-09-11,25,D,3
16.727,-169.5371,313.5,2019-09-29,2155,D,3
16.7302,-169.5299,311.0,2019-10-01,2143,D,3
-0.3778,-160.0109,310.3,2019-10-04,32,D,3
16.7266,-169.5361,310.1,2019-10-16,101,D,3
