latitude,longitude,brightness,acq_date,acq_time,daynight,type
43.4443,4.9004,306.1,2020-01-01,1028,D,2
43.4421,4.8962,300.7,2020-01-02,146,N,2
42.9593,-0.8192,321.5,2020-01-02,1111,D,0
43.447,4.8965,303.8,2020-01-03,2123,N,2
43.4476,4.9051,303.7,2020-01-04,134,N,2
51.0438,2.3007,303.1,2020-01-06,1045,D,2
43.6272,4.5708,302.9,2020-01-06,1046,D,0
43.5813,4.6282,302.9,2020-01-06,1046,D,0
43.5794,4.6405,301.3,2020-01-06,1046,D,0
43.4465,4.8935,302.8,2020-01-06,1047,D,2
43.4445,4.906,300.6,2020-01-06,1047,D,2
43.4458,4.9005,305.5,2020-01-06,1229,D,2
51.0421,2.2948,304.5,2020-01-06,2155,N,2
51.0438,2.2962,303.9,2020-01-07,1127,D,2
51.0335,2.2908,303.5,2020-01-07,1127,D,2
42.8178,1.7123,307.1,2020-01-07,1311,D,0
43.6674,4.3754,301.7,2020-01-08,1034,D,0
43.4441,4.8978,309.8,2020-01-08,1034,D,2
43.4472,4.8983,306.8,2020-01-08,2141,N,2
43.4439,4.8955,300.3,2020-01-09,1117,D,2
42.8136,1.7165,302.5,2020-01-09,1117,D,0
43.0603,-0.076,304.1,2020-01-09,1117,D,0
43.6508,4.4572,306.3,2020-01-09,1259,D,0
42.4153,2.4518,314.8,2020-01-09,1259,D,0
42.8188,1.7045,310.9,2020-01-09,1259,D,0
43.4468,4.8873,300.3,2020-01-09,1259,D,2
42.994,0.0124,303.6,2020-01-09,1259,D,0
43.0188,-0.0079,304.4,2020-01-09,1259,D,0
43.0538,-0.0756,305.7,2020-01-09,1259,D,0
42.972,-0.8788,306.6,2020-01-09,1259,D,0
42.9699,-0.8917,315.6,2020-01-09,1259,D,0
43.0548,-1.0606,303.7,2020-01-09,1259,D,0
43.45,4.9014,302.8,2020-01-11,140,N,2
43.4404,4.9001,303.0,2020-01-11,1105,D,2
43.4404,4.9045,300.7,2020-01-11,1247,D,2
43.4483,4.9028,302.2,2020-01-13,1053,D,2
42.9465,-0.1677,347.3,2020-01-14,1318,D,0
42.9449,-0.1817,368.8,2020-01-14,1318,D,0
42.9543,-0.1845,306.3,2020-01-14,1318,D,0
42.9528,-0.1977,312.4,2020-01-14,1318,D,0
51.0447,2.2969,302.7,2020-01-16,157,N,2
43.4442,4.8988,301.4,2020-01-16,158,N,2
45.0457,2.5811,302.8,2020-01-16,1123,D,0
45.0508,2.5579,300.2,2020-01-16,1123,D,0
43.0212,-0.8628,305.2,2020-01-16,1305,D,0
43.03,-0.8718,303.6,2020-01-16,1305,D,0
51.044,2.2964,307.2,2020-01-16,1307,D,2
43.4444,4.8994,302.6,2020-01-18,146,N,2
51.0458,2.2999,303.2,2020-01-18,1109,D,2
42.4098,2.4607,358.4,2020-01-18,1253,D,0
42.408,2.4488,334.3,2020-01-18,1253,D,0
51.0268,2.255,300.1,2020-01-26,1020,D,2
51.0382,2.294,307.2,2020-01-29,1237,D,2
51.0443,2.3028,300.9,2020-01-30,209,N,2
43.4477,4.8994,302.6,2020-01-31,1041,D,2
42.4955,9.5091,314.1,2020-01-31,1222,D,0
51.0265,2.2746,303.9,2020-02-01,1307,D,2
42.6876,2.298,303.1,2020-02-02,1029,D,0
43.4485,4.902,300.0,2020-02-03,1111,D,2
43.444,4.8934,300.4,2020-02-03,1111,D,2
44.6165,-0.6164,301.9,2020-02-03,1111,D,0
42.559,2.5686,328.0,2020-02-03,1112,D,0
43.1795,-1.3896,304.0,2020-02-03,1112,D,0
43.1775,-1.3768,303.3,2020-02-03,1112,D,0
43.0425,-1.1765,304.9,2020-02-03,1112,D,0
44.1925,-0.9277,302.1,2020-02-03,1112,D,0
44.1904,-0.915,300.1,2020-02-03,1112,D,0
43.9781,-0.9197,306.7,2020-02-03,1112,D,0
42.5627,2.5504,306.7,2020-02-03,1112,D,0
