latitude,longitude,brightness,acq_date,acq_time,daynight,type
45.0052,23.8039,300.1,2020-01-01,1210,D,0
44.7824,25.4764,303.9,2020-01-02,1115,D,0
44.2599,23.2074,308.5,2020-01-09,938,D,0
43.8853,23.3637,347.6,2020-01-09,1121,D,0
45.0669,26.5607,322.7,2020-01-10,1026,D,0
45.0708,26.5662,315.8,2020-01-10,1026,D,0
45.0561,26.5736,333.1,2020-01-10,1026,D,0
43.899,23.9127,305.4,2020-01-10,1204,D,0
45.0468,29.2699,338.4,2020-01-10,1950,N,0
44.8694,29.5773,358.8,2020-01-11,1108,D,0
45.0588,29.4083,350.1,2020-01-11,1108,D,0
45.0571,29.3956,328.1,2020-01-11,1108,D,0
45.0661,29.4009,320.6,2020-01-11,1108,D,0
44.5417,24.8925,302.3,2020-01-11,1108,D,0
44.8711,29.5901,397.3,2020-01-11,1108,D,0
45.1696,27.3566,300.1,2020-01-11,1109,D,0
44.8768,29.5293,329.0,2020-01-12,1938,N,0
44.8836,29.5086,300.3,2020-01-12,1938,N,0
44.878,29.5172,319.8,2020-01-12,1938,N,0
46.3253,23.2499,304.5,2020-01-16,1127,D,0
46.3271,23.2626,304.9,2020-01-16,1127,D,0
45.0032,25.4198,302.3,2020-01-20,920,D,0
45.2368,27.0654,313.2,2020-01-20,1103,D,0
45.2432,27.0723,300.7,2020-01-20,1103,D,0
45.2409,27.0587,306.8,2020-01-20,1103,D,0
45.2618,29.5031,376.8,2020-01-21,1145,D,0
43.8907,23.3425,308.5,2020-01-21,1145,D,0
44.436,22.6662,300.3,2020-01-21,1145,D,0
45.2605,29.5419,322.0,2020-01-21,1145,D,0
45.2586,29.5078,357.1,2020-01-21,1145,D,0
45.2635,29.5372,348.1,2020-01-21,1145,D,0
45.2759,29.5016,340.5,2020-01-21,1145,D,0
47.272,27.4003,310.9,2020-01-21,1146,D,0
47.2704,27.3954,307.5,2020-01-21,1146,D,0
45.0515,26.4746,301.7,2020-01-21,1932,N,0
45.228,29.0745,300.6,2020-01-21,2342,N,0
47.4721,27.3438,302.6,2020-01-22,907,D,0
45.1896,29.1468,302.6,2020-01-22,907,D,0
44.8482,29.4529,419.9,2020-01-22,1050,D,0
44.8456,29.4384,384.2,2020-01-22,1050,D,0
44.8431,29.4238,351.8,2020-01-22,1050,D,0
43.9878,24.1333,311.9,2020-01-22,1050,D,0
43.9857,24.1269,311.3,2020-01-22,1050,D,0
45.1795,29.1537,302.4,2020-01-22,1050,D,0
