latitude,longitude,brightness,acq_date,acq_time,daynight,type
25.0987,47.2419,319.2,2020-01-01,1026,D,0
25.0961,47.2355,311.2,2020-01-01,1026,D,0
27.097,49.0675,312.5,2020-01-01,2233,N,2
24.7733,50.2373,314.6,2020-01-01,2234,N,0
24.7643,50.2357,325.1,2020-01-01,2234,N,0
25.1047,47.242,307.0,2020-01-01,2234,N,0
25.179,49.3211,301.7,2020-01-02,1855,N,0
24.4572,48.5569,302.0,2020-01-02,1855,N,0
24.7656,50.2337,315.7,2020-01-02,1855,N,0
25.2368,49.341,304.2,2020-01-02,1855,N,0
25.2354,49.3311,303.0,2020-01-02,1855,N,0
25.1034,47.2381,315.0,2020-01-02,1855,N,0
27.0198,49.5757,307.5,2020-01-02,1856,N,2
27.0954,49.0691,318.8,2020-01-02,1856,N,2
27.0939,49.0591,315.5,2020-01-02,1856,N,2
27.0386,49.58,311.3,2020-01-03,703,D,2
27.0141,49.5771,310.0,2020-01-03,703,D,2
27.0379,49.5985,312.8,2020-01-03,1014,D,2
27.1436,49.2115,313.4,2020-01-03,1014,D,0
27.0147,49.5758,328.6,2020-01-03,1014,D,2
27.0395,49.6113,313.2,2020-01-03,1014,D,2
27.0372,49.6062,317.2,2020-01-03,1014,D,2
25.1032,47.2361,304.1,2020-01-03,1938,N,0
25.1062,47.2302,302.7,2020-01-03,1938,N,0
25.6478,49.3897,300.5,2020-01-03,2221,N,2
24.7692,50.2325,322.3,2020-01-03,2221,N,0
24.7678,50.2432,303.0,2020-01-03,2221,N,0
25.1002,47.2481,309.9,2020-01-03,2221,N,0
27.1481,49.2219,311.0,2020-01-04,746,D,0
24.6307,46.7779,312.5,2020-01-04,746,D,2
24.7692,50.2406,302.4,2020-01-04,1843,N,0
24.7674,50.2293,325.9,2020-01-04,1843,N,0
25.1023,47.2429,316.7,2020-01-05,1926,N,0
27.0207,49.5681,300.4,2020-01-05,1926,N,2
27.1009,49.0693,306.7,2020-01-05,1927,N,2
27.0186,49.5902,300.1,2020-01-05,2208,N,2
27.0977,49.0774,300.4,2020-01-05,2208,N,2
27.0236,49.5783,303.0,2020-01-05,2208,N,2
24.7702,50.2405,302.8,2020-01-05,2209,N,0
24.7716,50.2338,307.3,2020-01-05,2209,N,0
25.6425,49.3993,310.6,2020-01-06,734,D,2
30.2059,38.1702,323.3,2020-01-06,1046,D,0
30.2148,38.1686,316.4,2020-01-06,1046,D,0
27.0226,49.5814,305.2,2020-01-06,1831,N,2
24.7648,50.2358,305.6,2020-01-06,1831,N,0
24.7671,50.238,313.6,2020-01-06,2252,N,0
27.3597,43.2515,309.8,2020-01-07,816,D,0
27.3558,43.2569,309.7,2020-01-07,816,D,0
25.8694,49.2407,323.8,2020-01-07,949,D,0
25.8719,49.2462,313.2,2020-01-07,949,D,0
27.0141,49.5776,314.4,2020-01-07,949,D,2
27.151,49.2179,300.4,2020-01-07,1914,N,0
24.7677,50.2398,305.8,2020-01-07,1914,N,0
24.766,50.2239,301.9,2020-01-07,1914,N,0
27.0194,49.5756,301.5,2020-01-07,1914,N,2
24.7644,50.238,302.8,2020-01-07,2157,N,0
27.0196,49.573,315.1,2020-01-08,721,D,2
27.0182,49.5836,320.1,2020-01-08,721,D,2
20.3276,45.4988,340.5,2020-01-08,723,D,0
20.3293,45.4849,319.2,2020-01-08,723,D,0
20.3187,45.4836,314.0,2020-01-08,723,D,0
20.317,45.4974,333.1,2020-01-08,723,D,0
24.7669,50.2302,309.9,2020-01-08,1819,N,0
24.7678,50.2249,306.2,2020-01-08,1819,N,0
24.7656,50.2393,308.1,2020-01-08,2240,N,0
27.0537,49.5723,309.0,2020-01-09,937,D,2
26.9395,49.5885,314.8,2020-01-09,937,D,0
26.9506,49.5969,317.7,2020-01-09,937,D,2
24.4584,48.557,303.9,2020-01-09,1901,N,0
23.688,49.4347,301.0,2020-01-09,1901,N,0
27.0215,49.5718,305.8,2020-01-09,1902,N,2
25.3053,48.0374,302.3,2020-01-09,1902,N,0
27.0222,49.5828,314.4,2020-01-10,2227,N,2
24.7669,50.2324,321.9,2020-01-10,2227,N,0
24.7655,50.2422,318.6,2020-01-10,2227,N,0
23.6822,49.447,305.3,2020-01-10,2228,N,0
23.6836,49.4371,306.8,2020-01-10,2228,N,0
27.016,49.579,323.7,2020-01-11,752,D,2
23.682,49.434,301.9,2020-01-11,1849,N,0
25.3043,48.0384,303.7,2020-01-11,1849,N,0
24.7656,50.2327,336.1,2020-01-11,1849,N,0
27.0189,49.5768,311.8,2020-01-11,1850,N,2
27.0326,49.6058,312.9,2020-01-11,1850,N,2
27.0332,49.6119,304.8,2020-01-12,657,D,2
27.0303,49.6047,316.2,2020-01-12,1008,D,2
18.6845,41.409,301.5,2020-01-12,1931,N,0
24.7622,50.231,303.3,2020-01-12,1932,N,0
24.7682,50.2371,302.4,2020-01-12,1932,N,0
27.1012,49.0521,313.2,2020-01-12,1933,N,2
27.1023,49.0573,314.4,2020-01-12,1933,N,2
27.039,49.5898,304.7,2020-01-12,1933,N,2
27.1035,49.0828,304.8,2020-01-12,1933,N,2
27.1032,49.0792,301.6,2020-01-12,2215,N,2
27.105,49.0627,305.8,2020-01-12,2215,N,2
27.0325,49.6128,305.9,2020-01-12,2215,N,2
24.7645,50.2376,322.5,2020-01-12,2215,N,0
27.0952,49.313,308.9,2020-01-13,739,D,0
27.0368,49.6011,318.1,2020-01-13,739,D,2
27.0348,49.6129,324.3,2020-01-13,739,D,2
21.2803,39.6893,325.9,2020-01-13,1049,D,0
24.7677,50.2357,325.7,2020-01-13,1837,N,0
27.0966,49.0577,303.0,2020-01-13,1838,N,2
27.0182,49.5766,317.2,2020-01-13,1838,N,2
27.1015,49.0664,300.8,2020-01-13,1838,N,2
27.033,49.606,315.8,2020-01-13,2257,N,2
27.0447,49.6088,303.9,2020-01-13,2257,N,2
27.0295,49.6243,301.2,2020-01-13,2257,N,2
27.1023,49.0683,301.2,2020-01-13,2257,N,2
24.771,50.2425,311.8,2020-01-13,2258,N,0
24.7731,50.238,308.4,2020-01-13,2258,N,0
27.039,49.597,345.3,2020-01-14,1920,N,2
24.7671,50.2363,313.8,2020-01-14,1920,N,0
25.62,49.2615,301.1,2020-01-14,1920,N,0
27.0389,49.6232,308.6,2020-01-14,1920,N,0
27.0369,49.6029,355.1,2020-01-14,1920,N,2
27.0409,49.6173,340.1,2020-01-14,1920,N,2
27.0402,49.605,308.0,2020-01-14,2202,N,2
24.7639,50.2402,304.7,2020-01-14,2203,N,0
27.0647,49.5793,340.0,2020-01-15,727,D,2
27.0572,49.5678,306.6,2020-01-15,727,D,2
27.0558,49.5778,331.1,2020-01-15,727,D,2
27.0187,49.5813,314.5,2020-01-15,727,D,2
27.0336,49.6044,314.1,2020-01-15,727,D,2
27.0661,49.5694,309.8,2020-01-15,727,D,2
18.8612,41.2476,324.2,2020-01-15,1037,D,0
27.0581,49.5798,310.9,2020-01-15,1038,D,2
27.0368,49.6016,313.9,2020-01-15,1825,N,2
27.0558,49.5673,308.0,2020-01-15,1825,N,2
27.3988,36.3404,302.3,2020-01-15,2004,N,0
27.0193,49.5799,302.9,2020-01-15,2245,N,2
27.0641,49.5704,320.6,2020-01-15,2245,N,2
27.0621,49.5823,331.3,2020-01-15,2245,N,2
27.1022,49.3192,301.5,2020-01-15,2245,N,0
27.0599,49.5762,321.5,2020-01-15,2245,N,2
27.0346,49.6077,313.3,2020-01-15,2245,N,2
24.7651,50.2397,327.2,2020-01-15,2246,N,0
26.2717,43.6712,309.5,2020-01-16,811,D,0
26.3987,43.3637,319.0,2020-01-16,811,D,0
26.4062,43.3594,327.6,2020-01-16,811,D,0
21.2144,39.6964,323.7,2020-01-16,812,D,0
27.0187,49.5826,315.7,2020-01-16,943,D,2
27.0163,49.5689,318.9,2020-01-16,943,D,2
27.0339,49.6078,313.7,2020-01-16,943,D,2
25.2555,48.1091,301.2,2020-01-16,1908,N,0
24.7634,50.241,309.6,2020-01-16,1908,N,0
24.7619,50.2282,312.7,2020-01-16,1908,N,0
25.2463,48.1106,301.0,2020-01-16,1908,N,0
25.2449,48.1002,309.1,2020-01-16,1908,N,0
27.0222,49.5807,319.4,2020-01-16,1908,N,2
27.0207,49.5679,310.9,2020-01-16,1908,N,2
27.0353,49.6047,330.5,2020-01-16,1908,N,2
27.04,49.6094,317.7,2020-01-16,2150,N,2
27.0346,49.6037,311.7,2020-01-16,2150,N,2
24.7636,50.2392,300.8,2020-01-16,2151,N,0
24.7747,50.245,304.3,2020-01-16,2151,N,0
27.016,49.5753,322.5,2020-01-17,715,D,2
27.0312,49.6153,310.3,2020-01-17,715,D,2
27.0327,49.603,322.9,2020-01-17,715,D,2
27.0144,49.5811,322.9,2020-01-17,715,D,2
25.8775,39.2921,308.2,2020-01-17,854,D,0
27.0272,49.5957,313.8,2020-01-17,1026,D,2
24.7665,50.2316,306.0,2020-01-17,1813,N,0
27.0355,49.5963,300.5,2020-01-17,1813,N,2
27.0227,49.5884,304.2,2020-01-17,2233,N,2
27.0241,49.5784,322.4,2020-01-17,2233,N,2
25.6405,49.3912,301.1,2020-01-17,2233,N,2
24.7666,50.2287,310.0,2020-01-17,2234,N,0
24.765,50.2387,320.5,2020-01-17,2234,N,0
