latitude,longitude,brightness,acq_date,acq_time,daynight,type
43.1717,-6.3778,322.3,2020-01-01,242,N,0
43.2003,-4.2303,316.5,2020-01-01,1348,D,0
43.1186,-3.8166,315.3,2020-01-02,1111,D,0
43.128,-3.8204,301.3,2020-01-02,1111,D,0
39.1699,-2.1818,302.4,2020-01-02,1112,D,0
39.109,-1.984,301.7,2020-01-02,1112,D,0
39.1069,-1.9719,305.6,2020-01-02,1112,D,0
40.2334,-0.8744,301.2,2020-01-02,1112,D,0
39.1058,-2.0229,303.7,2020-01-02,1112,D,0
40.2312,-0.8613,311.6,2020-01-02,1112,D,0
40.2327,-0.8717,300.3,2020-01-02,1252,D,0
37.5587,-5.1112,301.0,2020-01-05,1322,D,0
37.5493,-5.1706,303.2,2020-01-05,1322,D,0
37.7127,-4.8933,303.2,2020-01-05,1322,D,0
37.6396,-4.5974,301.3,2020-01-05,1322,D,0
39.3254,-5.3613,308.2,2020-01-05,1323,D,0
39.3344,-5.3638,332.8,2020-01-05,1323,D,0
39.8772,-5.6853,306.6,2020-01-05,1323,D,0
39.3273,-5.3493,322.7,2020-01-05,1323,D,0
43.0711,-6.486,313.7,2020-01-07,1130,D,0
43.073,-6.4982,305.9,2020-01-07,1130,D,0
37.6837,-1.1855,303.2,2020-01-07,1310,D,0
38.2526,-1.6921,303.3,2020-01-07,1310,D,0
38.5909,-1.0566,303.5,2020-01-07,1310,D,0
38.722,-0.7296,303.1,2020-01-07,1310,D,0
38.8749,-2.0411,305.0,2020-01-07,1310,D,0
38.9498,-2.0909,304.9,2020-01-07,1310,D,0
39.0004,-2.1232,305.8,2020-01-07,1310,D,0
37.1925,-3.7272,301.2,2020-01-07,1310,D,2
39.6511,-2.811,314.6,2020-01-07,1311,D,0
39.3617,-2.4801,305.6,2020-01-07,1311,D,0
39.4174,-2.4129,310.7,2020-01-07,1311,D,0
39.4245,-2.4272,323.2,2020-01-07,1311,D,0
39.6338,-2.0988,312.9,2020-01-07,1311,D,0
39.6602,-2.8135,306.2,2020-01-07,1311,D,0
39.908,-2.8229,336.9,2020-01-07,1311,D,0
39.9151,-2.8377,300.6,2020-01-07,1311,D,0
43.0673,-6.5032,306.3,2020-01-07,1312,D,0
43.0814,-4.3849,312.7,2020-01-07,1312,D,0
37.2283,-3.6488,300.1,2020-01-08,1353,D,2
40.1698,-5.6148,306.9,2020-01-08,1354,D,0
40.1716,-5.6092,301.2,2020-01-08,1354,D,0
40.1697,-5.6284,302.4,2020-01-08,1354,D,0
42.2934,-6.7123,313.4,2020-01-08,1354,D,0
43.5245,-5.7306,305.4,2020-01-08,1355,D,2
41.1825,1.2223,303.0,2020-01-08,2141,N,2
40.2106,-5.8674,303.9,2020-01-09,1118,D,0
43.5426,-5.8305,322.6,2020-01-09,1118,D,2
39.8305,-2.5581,300.8,2020-01-09,1118,D,0
40.202,-5.8624,325.8,2020-01-09,1259,D,0
40.1959,-5.8773,302.3,2020-01-09,1259,D,0
40.1973,-5.8838,338.2,2020-01-09,1259,D,0
41.7218,-1.0662,305.1,2020-01-11,1106,D,0
41.6196,-2.3156,303.9,2020-01-11,1106,D,0
37.4897,-6.2298,301.3,2020-01-12,1329,D,0
38.8377,-6.4356,302.2,2020-01-12,1329,D,0
38.826,-6.6207,301.2,2020-01-12,1329,D,0
38.8031,-6.8236,306.8,2020-01-12,1329,D,0
43.2497,-4.6789,317.6,2020-01-12,1330,D,0
39.458,-0.6933,307.2,2020-01-13,1054,D,0
39.4254,-0.5912,321.8,2020-01-13,1054,D,0
38.2572,-1.6988,302.5,2020-01-13,1054,D,0
37.4508,-1.7844,317.1,2020-01-13,1055,D,0
37.4492,-1.7725,321.0,2020-01-13,1055,D,0
38.2804,-3.6069,300.5,2020-01-14,1316,D,0
38.322,-1.675,307.9,2020-01-14,1316,D,0
38.704,-3.7354,301.1,2020-01-14,1317,D,0
41.0595,-4.3784,301.2,2020-01-14,1317,D,0
43.2946,-6.5424,310.9,2020-01-14,2243,N,0
43.1266,-6.4027,307.5,2020-01-14,2243,N,0
38.333,-0.5728,300.9,2020-01-16,1304,D,0
38.3454,-1.6905,302.6,2020-01-16,1304,D,0
38.7219,-0.7405,303.5,2020-01-16,1304,D,0
39.2039,-1.7629,302.2,2020-01-16,1304,D,0
39.6476,-0.2801,305.8,2020-01-16,1304,D,0
38.2522,-1.631,305.2,2020-01-16,1304,D,0
43.167,-4.1492,310.0,2020-01-16,2230,N,0
43.2893,-4.5164,303.0,2020-01-16,2230,N,0
43.1687,-4.1333,325.1,2020-01-16,2230,N,0
43.089,-5.7552,300.8,2020-01-18,1112,D,0
39.6554,-2.8095,304.8,2020-01-23,1311,D,0
43.5432,-5.8371,302.0,2020-01-25,1118,D,2
43.5415,-5.8243,304.0,2020-01-25,1118,D,2
43.5242,-5.7369,314.1,2020-02-03,1112,D,2
43.5225,-5.723,307.6,2020-02-03,1112,D,2
43.1449,-3.9423,317.2,2020-02-03,1112,D,0
43.1432,-3.9303,309.6,2020-02-03,1112,D,0
43.1491,-4.3125,303.7,2020-02-03,1112,D,0
43.3157,-6.6468,334.4,2020-02-03,1112,D,0
43.3141,-6.6325,331.6,2020-02-03,1112,D,0
43.3152,-6.6536,304.3,2020-02-03,1112,D,0
43.3135,-6.6391,342.4,2020-02-03,1112,D,0
43.3036,-6.6398,314.2,2020-02-03,1112,D,0
36.9494,-2.4285,311.2,2020-02-03,1114,D,0
37.1622,-4.4005,304.2,2020-02-03,1114,D,0
43.1464,-4.3324,311.0,2020-02-03,1253,D,0
40.3094,-3.7499,313.9,2020-02-03,1253,D,0
43.1352,-3.9336,302.9,2020-02-03,1253,D,0
43.1313,-3.9524,303.1,2020-02-03,1253,D,0
43.1444,-3.9404,304.8,2020-02-03,1253,D,0
43.1505,-4.3124,318.2,2020-02-03,1253,D,0
43.3439,-4.3958,304.7,2020-02-03,1253,D,0
43.3038,-6.6352,322.6,2020-02-03,1254,D,0
43.316,-6.6428,370.7,2020-02-03,1254,D,0
43.2973,-6.6633,309.8,2020-02-03,1254,D,0
43.3098,-6.6698,318.5,2020-02-03,1254,D,0
43.3003,-6.6383,325.5,2020-02-03,1254,D,0
43.3126,-6.645,371.8,2020-02-03,1254,D,0
43.1101,-5.8937,305.3,2020-02-04,230,N,0
42.1266,-6.5821,305.9,2020-02-04,1155,D,0
38.9092,-5.8533,303.2,2020-02-04,1335,D,0
42.2174,0.7897,314.5,2020-02-05,1100,D,0
42.1578,-1.5998,301.2,2020-02-05,1100,D,0
41.492,0.3867,300.7,2020-02-05,1100,D,0
41.4789,-1.3539,300.4,2020-02-05,1100,D,0
41.0664,0.6186,304.8,2020-02-05,1100,D,0
38.3576,-1.6781,302.9,2020-02-06,1144,D,0
38.3575,-1.6837,304.2,2020-02-06,1144,D,0
38.7163,-5.5112,302.9,2020-02-06,1323,D,0
41.443,-1.2998,300.7,2020-02-06,1323,D,0
40.4118,-5.3412,308.6,2020-02-06,1323,D,0
43.1251,-3.7293,300.4,2020-02-06,2249,N,0
43.1232,-3.7563,305.9,2020-02-06,2249,N,0
43.135,-3.7353,303.1,2020-02-06,2249,N,0
43.3726,-3.2259,301.2,2020-02-07,1047,D,0
43.5393,-5.8405,302.4,2020-02-07,1047,D,2
43.1513,-5.5275,312.9,2020-02-07,1407,D,0
43.1539,-5.5314,318.0,2020-02-07,1407,D,0
43.5409,-5.8295,305.4,2020-02-10,1118,D,2
43.5274,-5.729,304.0,2020-02-10,1118,D,2
43.2644,-6.1687,300.7,2020-02-10,1118,D,0
41.5661,-1.2968,300.7,2020-02-10,1119,D,0
39.0028,-3.4411,302.6,2020-02-10,1119,D,0
37.6507,-4.5771,306.4,2020-02-10,1120,D,0
38.255,-1.6156,310.0,2020-02-10,1258,D,0
38.2548,-1.6245,312.7,2020-02-10,1258,D,0
38.2523,-1.6301,311.3,2020-02-10,1258,D,0
42.4018,0.9188,305.6,2020-02-10,1259,D,0
43.0825,-1.339,307.3,2020-02-10,1259,D,0
43.2653,-6.1587,301.6,2020-02-10,1300,D,0
43.2613,-6.1779,303.3,2020-02-10,1300,D,0
43.1045,-6.0019,387.0,2020-02-10,2225,N,0
43.0956,-5.9994,310.3,2020-02-10,2225,N,0
43.1028,-6.0141,342.3,2020-02-10,2225,N,0
43.0939,-6.0117,300.7,2020-02-10,2225,N,0
43.1421,-6.6526,314.2,2020-02-10,2225,N,0
43.1151,-6.3883,301.1,2020-02-10,2225,N,0
43.1168,-6.3762,311.6,2020-02-10,2225,N,0
43.1403,-6.6647,316.3,2020-02-10,2225,N,0
43.1002,-5.9953,306.4,2020-02-11,236,N,0
43.1402,-6.6585,300.6,2020-02-11,236,N,0
42.4008,-6.0036,309.0,2020-02-13,1330,D,0
42.4714,1.1066,302.6,2020-02-14,1054,D,0
43.527,-5.7296,302.7,2020-02-14,1054,D,2
43.0735,-4.4118,309.2,2020-02-14,1054,D,0
43.0717,-4.3921,303.6,2020-02-14,1054,D,0
41.9214,-1.6991,300.0,2020-02-14,1054,D,0
40.4642,-1.258,307.7,2020-02-14,1054,D,0
40.4695,-1.2757,306.2,2020-02-14,1234,D,0
43.4097,-6.6351,312.8,2020-02-15,211,N,0
37.5651,-7.2322,307.1,2020-02-15,1138,D,0
37.4098,-1.6841,304.2,2020-02-15,1316,D,0
41.3274,-1.6895,309.6,2020-02-15,1317,D,0
39.8135,-3.4782,312.4,2020-02-15,1317,D,0
39.0541,-3.5957,305.7,2020-02-15,1317,D,0
39.8867,-4.362,304.2,2020-02-15,1317,D,0
41.2926,-1.8792,308.4,2020-02-15,1317,D,0
38.2376,-1.6881,306.0,2020-02-17,1304,D,0
43.5242,-5.7352,300.4,2020-02-19,1112,D,2
40.2189,-4.2838,308.7,2020-02-19,1113,D,0
41.7298,-0.8562,300.3,2020-02-19,1113,D,0
40.2278,-4.2817,304.7,2020-02-19,1113,D,0
41.9757,-2.1304,300.2,2020-02-20,1155,D,0
42.2533,-6.2574,302.7,2020-02-20,1155,D,0
40.4173,-5.3242,309.9,2020-02-20,1156,D,0
37.5642,-7.2398,309.5,2020-02-20,1335,D,0
37.5693,-7.2059,309.2,2020-02-20,1335,D,0
42.0359,-6.6419,335.5,2020-02-20,1336,D,0
42.044,-7.2589,309.7,2020-02-20,1336,D,0
42.2529,-6.2528,331.4,2020-02-20,1336,D,0
42.3893,-5.7001,302.7,2020-02-20,1336,D,0
41.977,-2.1456,329.2,2020-02-20,1336,D,0
41.3279,-1.6927,317.0,2020-02-20,1336,D,0
41.355,-1.6411,304.8,2020-02-20,1336,D,0
41.9806,-2.1338,308.4,2020-02-20,1336,D,0
41.979,-2.1514,322.0,2020-02-20,1336,D,0
43.5231,-5.731,303.9,2020-02-20,1337,D,2
42.0828,1.152,305.5,2020-02-21,1100,D,0
42.3901,1.0851,304.4,2020-02-21,1100,D,0
43.0783,-4.4161,304.1,2020-02-21,1100,D,0
42.3537,-1.6979,304.4,2020-02-21,1100,D,0
41.1323,-0.1886,322.5,2020-02-21,1100,D,0
41.1305,-0.1769,313.5,2020-02-21,1100,D,0
40.4917,-3.5884,300.6,2020-02-21,1101,D,2
39.7441,-0.3726,300.3,2020-02-21,1101,D,0
39.1764,-0.5346,303.7,2020-02-21,1101,D,0
38.9901,-0.1694,302.0,2020-02-21,1101,D,2
38.6399,-6.7462,304.0,2020-02-21,1101,D,0
37.2226,-3.7947,314.1,2020-02-21,1102,D,2
38.4186,-0.5172,301.9,2020-02-21,1240,D,0
28.1275,-16.4661,320.7,2020-02-21,1416,D,0
43.2939,-6.2269,301.1,2020-02-21,1420,D,0
43.5447,-5.8223,302.5,2020-02-22,218,N,2
43.1052,-3.8633,311.9,2020-02-22,1143,D,0
39.1153,-5.7314,308.3,2020-02-22,1144,D,0
38.8577,-6.1766,310.3,2020-02-22,1323,D,0
43.0266,-1.3212,314.7,2020-02-22,1324,D,0
40.717,-2.7086,303.0,2020-02-22,1324,D,0
41.4627,-5.8123,304.4,2020-02-22,1324,D,0
41.4608,-5.8244,319.9,2020-02-22,1324,D,0
42.9148,-1.2306,305.3,2020-02-22,1324,D,0
42.9993,-1.21,300.9,2020-02-22,1324,D,0
43.0282,-1.3076,301.8,2020-02-22,1324,D,0
43.1114,-1.9175,300.4,2020-02-22,1324,D,0
43.1372,-1.7802,301.6,2020-02-22,1324,D,0
43.1624,-1.8148,302.4,2020-02-22,1324,D,0
43.0833,-3.8216,300.4,2020-02-22,1324,D,0
43.1141,-3.8604,303.3,2020-02-22,1324,D,0
43.2484,-6.2565,302.4,2020-02-22,1324,D,0
27.9334,-15.7477,306.9,2020-02-23,305,N,0
27.9351,-15.7583,318.3,2020-02-23,305,N,0
43.1644,-1.7129,313.9,2020-02-23,1048,D,0
43.1337,-1.7218,301.5,2020-02-23,1048,D,0
43.1661,-1.7291,325.1,2020-02-23,1048,D,0
38.8483,-6.1868,304.5,2020-02-23,1049,D,0
38.2092,-0.8252,303.6,2020-02-23,1049,D,0
38.8479,-6.181,304.3,2020-02-23,1049,D,0
43.1481,-1.7489,303.0,2020-02-23,1229,D,0
43.156,-1.7163,308.2,2020-02-23,1229,D,0
43.1594,-1.7211,311.4,2020-02-23,1229,D,0
43.0598,-3.9057,305.9,2020-02-23,1229,D,0
27.9277,-15.7254,330.3,2020-02-23,1230,D,0
27.9508,-15.755,375.4,2020-02-23,1230,D,0
28.3842,-16.5981,320.2,2020-02-23,1230,D,0
28.3839,-16.5908,316.6,2020-02-23,1230,D,0
27.9349,-15.7572,326.2,2020-02-23,1230,D,0
28.4224,-16.4851,315.5,2020-02-23,1230,D,0
27.9444,-15.7265,353.4,2020-02-23,1230,D,0
28.3901,-16.6192,314.7,2020-02-23,1230,D,0
28.386,-16.6037,327.8,2020-02-23,1404,D,0
28.3943,-16.558,315.8,2020-02-23,1404,D,2
28.3833,-16.6185,333.3,2020-02-23,1404,D,0
28.4166,-16.4972,353.6,2020-02-23,1404,D,0
28.4212,-16.4892,346.4,2020-02-23,1404,D,0
28.4181,-16.5057,342.3,2020-02-23,1404,D,0
28.4317,-16.4932,336.0,2020-02-23,1404,D,0
40.1377,-5.7417,311.2,2020-02-23,1406,D,0
40.1397,-5.7106,308.0,2020-02-23,1406,D,0
40.1448,-5.7404,313.3,2020-02-23,1406,D,0
43.1458,-4.1387,303.8,2020-02-24,1131,D,0
43.2043,-1.4308,305.0,2020-02-24,1131,D,0
43.1693,-1.8949,303.3,2020-02-24,1131,D,0
43.0166,-1.3709,303.7,2020-02-24,1131,D,0
43.0126,-1.3515,306.2,2020-02-24,1131,D,0
43.0202,-1.3947,300.4,2020-02-24,1131,D,0
43.0127,-1.3575,308.0,2020-02-24,1131,D,0
42.9497,-1.2778,300.6,2020-02-24,1131,D,0
42.9803,-2.003,305.5,2020-02-24,1131,D,0
42.9766,-1.985,306.5,2020-02-24,1131,D,0
43.1326,-3.7727,314.2,2020-02-24,1131,D,0
43.123,-3.776,307.9,2020-02-24,1131,D,0
43.1204,-3.7623,307.3,2020-02-24,1131,D,0
43.3365,-6.6161,355.1,2020-02-24,1131,D,0
43.3345,-6.6036,322.9,2020-02-24,1131,D,0
43.3276,-6.6184,322.5,2020-02-24,1131,D,0
43.1265,-6.2275,304.2,2020-02-24,1131,D,0
43.0556,-5.7895,318.9,2020-02-24,1131,D,0
43.0487,-5.8052,358.9,2020-02-24,1131,D,0
43.0465,-5.7922,382.1,2020-02-24,1131,D,0
43.1304,-6.3686,319.8,2020-02-24,1131,D,0
41.9653,-0.5189,302.8,2020-02-24,1131,D,0
42.9278,-7.0306,306.6,2020-02-24,1131,D,0
42.919,-7.0331,320.8,2020-02-24,1131,D,0
43.1199,-8.8641,300.8,2020-02-24,1131,D,0
42.0606,-7.0591,303.6,2020-02-24,1131,D,0
41.4698,-5.8234,303.0,2020-02-24,1131,D,0
41.4607,-5.8262,301.4,2020-02-24,1131,D,0
41.4585,-5.8135,302.1,2020-02-24,1131,D,0
40.5607,-6.7367,305.9,2020-02-24,1132,D,0
38.2794,-5.1661,312.4,2020-02-24,1132,D,0
