latitude,longitude,brightness,acq_date,acq_time,daynight,type
5.8367,-56.2532,310.8,2020-01-03,1644,D,0
4.5238,-54.9114,315.2,2020-01-06,1714,D,0
4.5225,-54.9204,321.1,2020-01-06,1714,D,0
5.0097,-55.1832,317.1,2020-01-06,1714,D,0
5.0124,-55.1766,320.8,2020-01-08,1702,D,0
5.0222,-55.1781,321.9,2020-01-08,1702,D,0
5.0206,-55.1889,313.8,2020-01-08,1702,D,0
2.0992,-56.0408,311.3,2020-01-10,1649,D,0
5.938,-56.9836,310.0,2020-01-11,1433,D,2
5.8633,-56.3688,317.2,2020-01-11,1733,D,0
5.8189,-56.762,316.5,2020-01-11,1733,D,0
5.8172,-56.7742,317.7,2020-01-11,1733,D,0
5.8677,-56.3761,316.8,2020-01-11,1733,D,0
5.8154,-56.7683,322.8,2020-01-11,1733,D,0
5.8412,-56.7343,312.1,2020-01-11,1733,D,0
5.8753,-56.3905,312.2,2020-01-12,1638,D,0
5.8123,-56.7661,312.7,2020-01-13,1721,D,0
5.8739,-56.3955,337.5,2020-01-13,1721,D,0
5.8689,-56.3668,317.0,2020-01-17,1656,D,0
5.8637,-56.3709,316.7,2020-01-17,1656,D,0
5.839,-56.6561,317.6,2020-01-18,1739,D,0
5.8207,-56.769,321.0,2020-01-20,1727,D,0
5.8838,-56.3815,326.8,2020-01-20,1727,D,0
5.8675,-56.3798,324.6,2020-01-22,1415,D,0
5.3481,-55.3172,325.6,2020-01-22,1715,D,0
5.3571,-55.3185,320.3,2020-01-22,1715,D,0
5.433,-54.9772,328.9,2020-01-22,1715,D,0
5.5746,-54.3693,315.3,2020-01-22,1715,D,0
5.8701,-56.3651,325.3,2020-01-22,1715,D,0
5.8688,-56.3741,331.0,2020-01-22,1715,D,0
5.8675,-56.3831,329.8,2020-01-22,1715,D,0
5.8765,-56.3844,327.5,2020-01-22,1715,D,0
5.8752,-56.3935,321.6,2020-01-22,1715,D,0
5.8779,-56.7562,318.6,2020-01-22,1715,D,0
5.8883,-56.7484,313.5,2020-01-22,1715,D,0
5.887,-56.7576,313.6,2020-01-22,1715,D,0
5.8785,-56.3844,311.8,2020-01-23,1758,D,0
5.8813,-56.3925,312.1,2020-01-23,1758,D,0
4.6976,-54.9276,328.3,2020-01-24,1702,D,0
5.2628,-55.5992,307.9,2020-01-24,1702,D,0
5.2611,-55.6104,310.7,2020-01-24,1702,D,0
5.8416,-56.6476,312.1,2020-01-24,1702,D,0
5.8397,-56.6606,314.0,2020-01-24,1702,D,0
5.8885,-56.4081,324.3,2020-01-24,1702,D,0
5.8751,-56.6714,315.1,2020-01-24,1702,D,0
5.8638,-56.3769,316.0,2020-01-25,1745,D,0
5.886,-56.9779,313.0,2020-01-25,1745,D,0
5.9094,-56.7054,318.3,2020-01-29,1421,D,0
5.9109,-56.7068,330.1,2020-01-29,1721,D,0
5.9096,-56.7158,321.6,2020-01-29,1721,D,0
5.8752,-56.6703,305.0,2020-02-03,222,N,0
5.9203,-56.8781,319.8,2020-02-04,1644,D,0
5.903,-56.8463,316.4,2020-02-05,209,N,0
5.9219,-56.8521,315.6,2020-02-05,1428,D,0
5.8763,-56.3777,326.8,2020-02-05,1727,D,0
5.8749,-56.3882,333.7,2020-02-05,1727,D,0
