latitude,longitude,brightness,acq_date,acq_time,daynight,type
-3.4546,37.3095,322.7,2020-01-02,806,D,0
-3.456,37.3195,320.5,2020-01-02,806,D,0
-7.8895,39.1968,314.8,2020-01-02,1100,D,0
-8.3887,35.477,311.1,2020-01-02,1100,D,0
-7.5054,39.1169,317.6,2020-01-02,1100,D,0
-7.5067,39.1077,318.8,2020-01-02,1100,D,0
-8.3665,35.56,320.6,2020-01-02,1100,D,0
-7.8227,36.0521,314.4,2020-01-02,1100,D,0
-6.6943,38.8734,314.6,2020-01-02,1100,D,0
-8.3942,35.5206,352.5,2020-01-02,1100,D,0
-8.3291,35.5782,313.4,2020-01-02,1100,D,0
-8.3256,35.5211,311.0,2020-01-02,1100,D,0
-7.8883,39.2059,317.5,2020-01-02,1100,D,0
-8.4111,35.393,322.0,2020-01-02,1100,D,0
-7.8137,39.0869,310.5,2020-01-02,1100,D,0
-7.8047,39.0856,313.9,2020-01-02,1100,D,0
-8.3775,35.5615,322.0,2020-01-02,1100,D,0
-7.6611,38.8652,316.3,2020-01-02,1100,D,0
-7.6102,38.8984,311.8,2020-01-02,1100,D,0
-8.1014,35.8572,312.2,2020-01-04,755,D,0
-10.558,39.7669,326.6,2020-01-04,1047,D,0
-10.4466,40.2835,335.3,2020-01-04,1047,D,0
-10.4848,39.9968,318.9,2020-01-04,1047,D,0
-10.4263,40.2806,319.5,2020-01-04,1047,D,0
-10.4169,40.1953,319.5,2020-01-04,1047,D,0
-8.1241,36.8814,323.7,2020-01-04,1048,D,0
-8.1242,36.8764,324.7,2020-01-04,1048,D,0
-7.3405,38.8473,310.2,2020-01-04,1048,D,0
-9.6411,35.5624,320.8,2020-01-05,1130,D,0
-9.6427,35.5515,314.5,2020-01-05,1130,D,0
-7.6815,38.7485,320.8,2020-01-06,743,D,0
-10.4349,40.2913,320.4,2020-01-06,1035,D,0
-10.3992,40.2598,323.2,2020-01-06,1035,D,0
-10.4245,40.0612,320.7,2020-01-06,1035,D,0
-10.7198,35.1723,322.2,2020-01-07,1118,D,0
-10.099,35.5931,325.4,2020-01-07,1118,D,0
-9.6181,34.9666,318.5,2020-01-07,1118,D,0
-9.4253,35.1584,322.7,2020-01-07,1118,D,0
-9.4266,35.1494,319.1,2020-01-07,1118,D,0
-9.2521,34.9539,328.3,2020-01-07,1118,D,0
-9.2534,34.9448,330.6,2020-01-07,1118,D,0
-9.1749,35.0482,320.4,2020-01-07,1118,D,0
-9.1416,34.96,338.3,2020-01-07,1118,D,0
-9.0107,35.23,313.2,2020-01-07,1118,D,0
-8.384,35.5611,320.9,2020-01-07,1118,D,0
-8.125,35.8922,317.8,2020-01-07,1118,D,0
-8.0923,36.0549,323.8,2020-01-07,1118,D,0
-7.9243,36.0083,322.1,2020-01-07,1118,D,0
-7.6779,39.1381,315.7,2020-01-08,1023,D,0
-7.6753,39.1333,313.8,2020-01-08,1023,D,0
-7.3437,38.9173,317.3,2020-01-08,1023,D,0
-7.342,38.9128,311.6,2020-01-08,1023,D,0
-6.198,39.4015,312.2,2020-01-08,1024,D,0
-6.1918,39.3964,313.2,2020-01-08,1024,D,0
-9.2318,35.0156,319.0,2020-01-08,1948,N,0
-6.8463,39.3097,306.8,2020-01-08,1948,N,2
-8.3727,35.5721,354.5,2020-01-09,814,D,0
-8.501,35.687,322.4,2020-01-09,814,D,0
-9.5131,35.4077,306.6,2020-01-09,814,D,0
-10.5276,39.9789,322.6,2020-01-09,1105,D,0
-8.1222,36.2644,311.9,2020-01-09,1106,D,0
-7.0621,39.2657,324.3,2020-01-09,1106,D,0
-10.1375,39.3144,315.8,2020-01-09,1106,D,0
-9.6989,35.4688,333.8,2020-01-09,1106,D,0
-9.7005,35.4571,328.6,2020-01-09,1106,D,0
-5.6937,34.8952,316.5,2020-01-11,801,D,0
-10.3661,40.2231,317.7,2020-01-11,802,D,0
-9.0047,38.6462,317.9,2020-01-11,1054,D,0
-8.4094,38.754,311.8,2020-01-11,1054,D,0
-7.8133,39.0891,323.6,2020-01-11,1054,D,0
-7.7163,39.1946,319.3,2020-01-11,1054,D,0
-7.7177,39.1844,324.9,2020-01-11,1054,D,0
-7.7304,39.0921,320.9,2020-01-11,1054,D,0
-7.7026,39.2237,323.0,2020-01-11,1054,D,0
-7.5251,39.103,319.3,2020-01-13,749,D,0
-8.4407,35.5421,308.8,2020-01-20,1048,D,0
-8.4364,35.5345,313.1,2020-01-20,1048,D,0
-7.6163,39.1889,316.7,2020-01-20,1048,D,0
-7.5972,39.2494,327.5,2020-01-20,1048,D,0
-7.5066,39.1682,318.7,2020-01-20,1048,D,0
-7.5083,39.1558,317.4,2020-01-20,1048,D,0
-7.4992,38.9867,323.9,2020-01-20,1048,D,0
-7.5009,38.9739,328.4,2020-01-20,1048,D,0
-7.4432,39.0376,320.6,2020-01-20,1048,D,0
-4.8201,39.1196,314.1,2020-01-20,1049,D,0
-2.212,30.8747,313.7,2020-01-21,1133,D,0
-1.4355,30.7716,347.1,2020-01-21,1133,D,0
-1.1103,31.6914,319.2,2020-01-21,1133,D,0
-1.0736,31.5588,321.2,2020-01-21,1133,D,0
-1.0749,31.5497,315.2,2020-01-21,1133,D,0
-1.1158,31.8013,310.1,2020-01-23,1121,D,0
-7.5076,39.0219,319.3,2020-01-27,1054,D,0
-7.3092,38.8918,323.8,2020-01-27,1054,D,0
-7.3107,38.8814,332.0,2020-01-27,1054,D,0
-5.2688,38.9362,317.4,2020-01-29,749,D,0
-7.6191,39.0215,315.2,2020-01-29,1042,D,0
-7.1914,39.0667,317.8,2020-01-29,1042,D,0
-6.8589,38.8716,315.7,2020-01-29,1042,D,0
-6.8626,38.8822,314.0,2020-01-29,1042,D,0
-5.6924,38.1034,306.7,2020-01-29,1042,D,0
-8.3921,35.5139,311.2,2020-02-01,1112,D,0
-5.5775,38.8813,320.1,2020-02-03,1101,D,0
-7.5649,39.1921,317.7,2020-02-05,1048,D,0
-7.4767,39.2499,314.4,2020-02-05,1048,D,0
-6.2202,39.4974,317.3,2020-02-05,1048,D,0
-3.8576,32.6617,321.1,2020-02-06,1132,D,0
-3.8596,32.6627,316.3,2020-02-08,826,D,0
-5.7272,31.8818,306.8,2020-02-08,826,D,0
-5.7286,31.8917,307.3,2020-02-08,826,D,0
-4.8925,30.942,321.1,2020-02-08,1120,D,0
-4.8942,30.9296,314.4,2020-02-08,1120,D,0
-4.8869,30.9357,326.0,2020-02-08,1120,D,0
-4.721,29.9175,311.4,2020-02-08,1120,D,0
-1.7376,34.8154,317.1,2020-02-08,1120,D,0
-1.699,34.7637,321.8,2020-02-08,1120,D,0
-1.606,31.3042,317.3,2020-02-08,1121,D,0
-7.6549,39.1835,311.5,2020-02-09,1024,D,0
-7.6517,39.1791,311.6,2020-02-09,1024,D,0
-7.5455,39.2033,314.6,2020-02-09,1024,D,0
-7.5413,39.1954,317.5,2020-02-09,1024,D,0
-6.2842,38.7816,313.4,2020-02-10,814,D,0
-7.709,37.014,313.2,2020-02-10,814,D,0
-8.2568,35.7309,311.8,2020-02-10,815,D,0
-8.2584,35.7426,349.4,2020-02-10,815,D,0
-7.5474,39.2752,317.8,2020-02-10,1106,D,0
-7.2454,39.2027,332.4,2020-02-10,1107,D,0
-6.2846,38.7774,326.1,2020-02-10,1107,D,0
-4.6662,38.1013,321.5,2020-02-12,801,D,0
-5.6921,34.7668,316.1,2020-02-12,1055,D,0
-5.0624,38.9729,318.7,2020-02-12,1055,D,0
-8.5311,31.4866,315.3,2020-02-13,1137,D,2
-2.6282,35.8996,311.7,2020-02-15,832,D,0
-5.0999,39.1021,307.9,2020-02-15,832,D,2
-4.924,30.9323,316.7,2020-02-15,1126,D,0
-5.7172,38.8132,311.6,2020-02-16,1030,D,0
-3.8589,32.6644,318.2,2020-02-17,820,D,0
-4.7364,38.1606,314.3,2020-02-17,820,D,0
-8.4591,34.2682,311.5,2020-02-17,1113,D,0
-3.3827,36.596,316.1,2020-02-19,807,D,0
