latitude,longitude,brightness,acq_date,acq_time,daynight,type
-8.4265,127.1834,319.5,2020-01-14,157,D,0
-9.1627,125.6781,312.0,2020-01-24,234,D,0
-8.5607,125.5492,315.5,2020-01-30,449,D,2
-8.5601,125.5561,310.9,2020-01-31,240,D,2
-8.7471,125.1672,318.9,2020-02-01,145,D,0
-9.2442,124.2495,314.1,2020-02-13,502,D,0
-8.5628,125.5672,311.0,2020-02-16,241,D,2
-9.1049,125.9497,316.8,2020-03-16,502,D,0
-8.5594,125.5528,313.0,2020-03-19,241,D,2
-8.5542,125.5589,312.5,2020-03-19,241,D,2
-8.3377,126.9841,313.8,2020-03-19,533,D,0
-8.9727,126.0983,315.7,2020-03-30,514,D,0
-8.5604,125.5556,311.7,2020-03-31,127,D,2
-9.1605,125.6654,318.1,2020-04-01,502,D,0
-8.5646,125.5666,311.4,2020-04-04,241,D,2
-8.5594,125.5729,312.6,2020-04-04,241,D,2
-8.5589,125.5595,315.8,2020-04-06,228,D,2
-8.5583,125.5647,312.9,2020-04-13,234,D,2
-8.5583,125.5714,313.3,2020-04-13,234,D,2
-8.5507,125.5377,313.5,2020-04-14,139,D,2
-8.5565,125.573,314.5,2020-04-14,139,D,2
-8.5536,125.5554,314.4,2020-04-14,139,D,2
-8.729,125.4923,310.7,2020-04-22,520,D,0
-8.6501,125.8541,315.9,2020-05-03,210,D,0
-8.7486,125.1788,318.5,2020-05-31,526,D,0
-9.0772,125.9989,317.0,2020-06-02,514,D,0
-8.4721,126.3892,315.1,2020-06-25,520,D,0
-8.7455,125.2027,315.5,2020-07-01,443,D,0
-8.5085,126.417,313.8,2020-07-06,502,D,0
-9.0967,125.1782,320.7,2020-07-13,508,D,0
-8.527,125.774,319.0,2020-07-14,551,D,0
-8.524,125.7939,316.3,2020-07-14,551,D,0
-8.5285,125.7669,315.3,2020-07-14,551,D,0
-8.5191,125.7874,319.4,2020-07-15,456,D,0
-9.0516,125.206,333.4,2020-07-18,526,D,0
-9.053,125.1967,328.2,2020-07-18,526,D,0
-8.5335,125.8026,320.3,2020-07-18,526,D,0
-9.1192,125.1845,312.8,2020-07-20,514,D,0
-9.1205,125.1748,316.4,2020-07-20,514,D,0
-8.7333,125.2493,319.3,2020-07-20,514,D,0
-8.5598,126.3502,328.3,2020-07-20,514,D,0
-8.5069,125.8132,328.4,2020-07-22,210,D,0
-8.5163,125.8114,328.5,2020-07-22,210,D,0
-8.6956,125.7112,311.9,2020-07-22,210,D,0
-8.697,125.721,322.5,2020-07-22,210,D,0
-8.5105,125.8191,320.5,2020-07-22,502,D,0
-9.0526,125.1954,316.2,2020-07-23,544,D,0
-8.2325,125.6027,315.3,2020-07-24,157,D,0
-8.5716,126.1371,320.4,2020-07-24,157,D,0
-8.5706,125.6394,318.6,2020-07-24,157,D,0
-9.0786,125.9605,313.1,2020-07-25,532,D,0
-9.0806,125.9476,316.5,2020-07-25,532,D,0
-8.9888,125.1387,327.1,2020-07-25,532,D,0
-8.177,125.6141,318.0,2020-07-26,145,D,0
-8.489,125.9067,315.8,2020-07-26,145,D,0
-8.653,125.8763,317.0,2020-07-26,145,D,0
-9.0593,125.1978,341.6,2020-07-27,520,D,0
-9.0606,125.1888,330.1,2020-07-27,520,D,0
-9.0516,125.1875,326.6,2020-07-27,520,D,0
-8.9539,125.1674,325.1,2020-07-27,520,D,0
-8.9437,125.1685,327.6,2020-07-27,520,D,0
-8.1886,125.6252,320.5,2020-07-27,520,D,0
-8.1678,125.6324,318.3,2020-07-29,216,D,0
-8.6849,125.842,313.7,2020-07-29,216,D,0
-8.6865,125.8542,312.4,2020-07-29,216,D,0
-9.0648,125.193,315.7,2020-07-29,216,D,0
-9.1223,125.1665,320.0,2020-07-29,216,D,0
-8.6922,125.8389,317.8,2020-07-29,508,D,0
-8.6936,125.8288,318.7,2020-07-29,508,D,0
-8.5447,126.3742,324.5,2020-07-29,508,D,0
-8.546,126.3645,337.5,2020-07-29,508,D,0
-8.4598,126.3957,320.2,2020-07-29,508,D,0
-8.5391,126.1013,318.9,2020-07-31,204,D,0
-8.6016,125.6554,310.7,2020-07-31,456,D,0
-9.0075,125.1859,317.7,2020-08-01,247,D,0
-9.0058,125.1815,320.4,2020-08-01,247,D,0
-8.5314,125.624,317.1,2020-08-02,151,D,0
-8.5176,126.4263,324.4,2020-08-03,526,D,0
-8.6706,125.8961,317.0,2020-08-05,514,D,0
-8.6234,125.9011,324.0,2020-08-05,514,D,0
-9.1247,125.1637,331.3,2020-08-07,210,D,0
-8.7313,125.7715,319.7,2020-08-07,502,D,0
-8.7274,125.7665,318.7,2020-08-07,502,D,0
-8.7318,125.266,323.7,2020-08-08,545,D,0
-9.024,126.0521,315.6,2020-08-12,520,D,0
-8.8489,125.1635,324.3,2020-08-12,520,D,0
-8.6758,125.8422,323.0,2020-08-14,508,D,0
-8.6717,125.8464,327.2,2020-08-14,508,D,0
-8.4683,126.4239,327.0,2020-08-16,204,D,0
-8.6398,126.2739,316.7,2020-08-16,204,D,0
-8.6619,125.607,322.7,2020-08-16,204,D,0
-9.195,125.041,327.6,2020-08-16,204,D,0
-8.6664,125.8501,322.7,2020-08-16,456,D,0
-8.6852,125.8267,319.0,2020-08-21,222,D,0
-8.456,126.3786,326.5,2020-08-23,210,D,0
-8.6598,126.1019,316.3,2020-08-23,210,D,0
-8.6915,125.8822,316.3,2020-08-23,210,D,0
-8.6823,125.7498,319.6,2020-08-23,210,D,0
-8.7069,125.4779,318.6,2020-08-23,210,D,0
-8.7345,125.7224,300.2,2020-08-23,1427,N,0
-8.6095,125.9622,321.1,2020-08-25,157,D,0
