latitude,longitude,brightness,acq_date,acq_time,daynight,type
-21.7251,-63.4199,314.7,2021-01-01,321,N,0
-21.7233,-63.4271,317.4,2021-01-01,321,N,0
-21.711,-63.4296,307.2,2021-01-01,321,N,0
-18.8276,-63.0151,325.6,2021-01-02,227,N,0
-18.4216,-62.4176,301.6,2021-01-02,227,N,0
-18.8298,-63.0352,336.1,2021-01-02,227,N,0
-18.168,-62.9177,312.2,2021-01-02,227,N,0
-15.1134,-60.614,308.8,2021-01-02,228,N,0
-18.5189,-58.4326,304.3,2021-01-02,533,N,0
-18.41,-62.4142,302.1,2021-01-02,533,N,0
-18.4114,-62.4048,316.1,2021-01-02,533,N,0
-18.5228,-58.44,308.4,2021-01-02,533,N,0
-18.1611,-62.9123,315.3,2021-01-02,533,N,0
-18.8154,-63.0295,305.7,2021-01-02,534,N,0
-18.8168,-63.02,322.2,2021-01-02,534,N,0
-18.8244,-63.031,341.2,2021-01-02,534,N,0
-18.8259,-63.0215,361.6,2021-01-02,534,N,0
-18.8273,-63.012,311.7,2021-01-02,534,N,0
-19.5623,-63.0843,300.8,2021-01-02,534,N,0
-19.5547,-63.0733,305.0,2021-01-02,534,N,0
-17.9249,-62.7589,329.0,2021-01-02,1458,D,0
-18.831,-63.0159,344.5,2021-01-02,1458,D,0
-16.9941,-65.2411,311.8,2021-01-02,1458,D,0
-18.8285,-63.0381,338.8,2021-01-02,1458,D,0
-18.824,-63.0444,319.1,2021-01-02,1458,D,0
-18.8263,-63.0222,347.9,2021-01-02,1458,D,0
-17.7962,-62.4053,322.8,2021-01-02,1458,D,0
-18.0118,-62.2218,350.2,2021-01-02,1458,D,0
-18.0024,-62.2275,336.1,2021-01-02,1458,D,0
-18.0164,-62.2291,318.8,2021-01-02,1458,D,0
-18.0145,-62.1971,320.3,2021-01-02,1458,D,0
-18.0049,-62.2027,327.5,2021-01-02,1458,D,0
-17.9327,-62.4331,339.8,2021-01-02,1458,D,0
-17.9352,-62.4094,364.4,2021-01-02,1458,D,0
-17.9263,-62.4268,345.9,2021-01-02,1458,D,0
-17.929,-62.4031,344.7,2021-01-02,1458,D,0
-18.0189,-62.2043,317.0,2021-01-02,1458,D,0
-21.726,-63.4123,348.2,2021-01-02,1459,D,0
-21.7047,-63.4026,329.9,2021-01-02,1459,D,0
-21.699,-63.4089,341.0,2021-01-02,1459,D,0
-21.7359,-63.4373,360.2,2021-01-02,1744,D,0
-21.7342,-63.4233,345.7,2021-01-02,1744,D,0
-21.7403,-63.4444,346.7,2021-01-02,1744,D,0
-21.7,-63.4138,342.2,2021-01-02,1744,D,0
-21.8841,-63.0191,322.1,2021-01-02,1744,D,0
-21.7279,-63.4318,343.6,2021-01-02,1744,D,0
-21.7068,-63.4706,338.3,2021-01-02,1744,D,0
-21.7017,-63.4279,352.3,2021-01-02,1744,D,0
-21.7263,-63.4178,365.7,2021-01-02,1744,D,0
-21.6959,-63.4721,381.4,2021-01-02,1744,D,0
-21.7234,-63.4248,343.4,2021-01-02,1744,D,0
-21.8825,-63.0057,334.7,2021-01-02,1744,D,0
-21.7217,-63.4109,346.3,2021-01-02,1744,D,0
-21.7387,-63.4303,391.1,2021-01-02,1744,D,0
-21.6976,-63.4863,350.8,2021-01-02,1744,D,0
-16.8943,-60.7098,319.0,2021-01-02,1745,D,0
-18.4156,-62.4085,323.9,2021-01-02,1745,D,0
-18.8318,-63.0374,345.0,2021-01-02,1745,D,0
-18.0144,-62.2136,328.3,2021-01-02,1745,D,0
-18.0118,-62.2194,352.5,2021-01-02,1745,D,0
-18.0132,-62.2302,326.3,2021-01-02,1745,D,0
-17.5957,-61.5324,324.3,2021-01-02,1745,D,0
-17.8446,-61.3346,354.2,2021-01-02,1745,D,0
-16.4906,-60.8403,332.4,2021-01-02,1746,D,0
-15.6894,-61.7528,317.5,2021-01-02,1746,D,0
-16.4983,-60.8296,324.6,2021-01-02,1746,D,0
-16.4893,-60.831,354.9,2021-01-02,1746,D,0
-16.2361,-62.95,324.3,2021-01-02,1746,D,0
-21.1473,-63.3136,307.7,2021-01-03,309,N,0
-21.1497,-63.3195,308.7,2021-01-03,309,N,0
-18.5253,-62.8931,316.9,2021-01-03,310,N,0
