latitude,longitude,brightness,acq_date,acq_time,daynight,type
32.8068,-4.0153,302.8,2021-01-04,1114,D,0
31.8242,-2.9432,326.0,2021-01-15,1056,D,0
31.4838,-8.9958,307.8,2021-01-23,1145,D,0
34.5961,-2.9396,312.9,2021-01-25,1309,D,0
31.9622,-4.4669,316.4,2021-01-30,1327,D,0
34.302,-2.7941,323.9,2021-02-05,1251,D,0
34.3114,-2.8029,337.6,2021-02-05,1251,D,0
34.3165,-2.7799,314.9,2021-02-05,1251,D,0
34.3152,-2.7969,333.2,2021-02-05,1251,D,0
31.1743,-4.2454,323.0,2021-02-06,1333,D,0
28.6264,-9.4636,314.1,2021-02-10,1133,D,0
35.2092,-2.9254,306.7,2021-02-14,1107,D,0
35.3694,-5.9784,305.3,2021-02-15,1328,D,0
34.8299,-6.2171,314.9,2021-02-15,1328,D,0
32.6864,-7.9142,324.6,2021-02-18,1358,D,0
35.3559,-5.2055,302.9,2021-02-19,1125,D,0
32.3858,-6.9644,319.9,2021-02-20,1346,D,0
32.1046,-7.418,310.0,2021-03-16,1120,D,0
32.3619,-8.4219,302.6,2021-03-17,239,N,0
32.6366,-7.792,324.7,2021-03-24,1346,D,0
34.9818,-5.2488,318.0,2021-03-31,1352,D,0
30.4766,-8.8549,320.9,2021-04-01,1120,D,0
30.0364,-9.5981,320.1,2021-04-01,1120,D,0
34.7777,-6.3255,314.7,2021-04-05,1054,D,0
33.4395,-5.9742,316.9,2021-04-19,1107,D,0
34.0396,-5.0309,316.2,2021-04-20,1328,D,2
31.7742,-4.2265,326.2,2021-04-22,1315,D,0
34.5934,-6.2428,312.8,2021-05-01,1309,D,0
33.4637,-7.5405,300.2,2021-05-06,226,N,0
34.5993,-6.2468,317.2,2021-05-12,1112,D,0
32.9317,-7.0346,328.9,2021-05-12,1113,D,0
35.0378,-5.9608,319.8,2021-05-15,1322,D,0
35.2985,-5.8202,352.6,2021-05-15,1322,D,0
35.2963,-5.8332,354.9,2021-05-15,1322,D,0
35.7154,-5.9203,319.4,2021-05-17,1130,D,2
33.2558,-7.9149,324.4,2021-05-17,1131,D,0
33.2631,-7.9009,320.8,2021-05-17,1131,D,0
33.2651,-7.9127,321.7,2021-05-17,1131,D,0
33.2538,-7.9031,324.2,2021-05-17,1131,D,0
35.7136,-5.9197,321.7,2021-05-19,1118,D,2
33.0993,-7.7757,342.7,2021-05-19,1119,D,0
33.1008,-7.7863,337.6,2021-05-19,1119,D,0
33.0299,-7.9701,324.4,2021-05-20,1201,D,0
33.0325,-7.9744,326.9,2021-05-20,1201,D,0
33.04,-8.0075,335.9,2021-05-20,1201,D,0
33.0376,-8.003,339.4,2021-05-20,1201,D,0
32.9345,-7.8898,340.0,2021-05-20,1340,D,0
32.9328,-7.9007,333.2,2021-05-20,1340,D,0
34.1538,-5.8442,352.9,2021-05-20,1340,D,0
34.1553,-5.8333,369.9,2021-05-20,1340,D,0
34.232,-5.784,325.4,2021-06-16,1322,D,0
35.7159,-5.919,321.2,2021-06-20,1117,D,2
33.8515,-5.8438,328.5,2021-06-27,1303,D,0
34.7898,-4.4069,337.3,2021-06-29,1111,D,0
34.7345,-6.0936,331.2,2021-06-29,1111,D,0
33.6268,-5.64,330.9,2021-07-04,1309,D,0
35.0198,-5.321,324.7,2021-07-04,1309,D,0
32.9112,-8.82,300.1,2021-07-04,2231,N,0
32.9131,-8.8081,301.8,2021-07-04,2231,N,0
35.0542,-5.9696,325.9,2021-07-07,1200,D,0
35.0638,-5.9729,327.4,2021-07-07,1200,D,0
35.0736,-6.0128,321.0,2021-07-07,1200,D,0
35.0643,-6.0094,325.9,2021-07-07,1200,D,0
35.0696,-5.9537,331.9,2021-07-07,1340,D,0
35.0681,-5.9648,331.9,2021-07-07,1340,D,0
35.173,-6.0705,310.0,2021-07-08,2207,N,0
35.1867,-6.057,335.8,2021-07-08,2207,N,0
35.1974,-6.0599,322.8,2021-07-08,2207,N,0
35.1944,-6.0765,317.5,2021-07-08,2207,N,0
35.1919,-6.0469,306.0,2021-07-08,2207,N,0
35.1888,-6.0631,341.2,2021-07-08,2207,N,0
35.1856,-6.0797,317.1,2021-07-08,2207,N,0
35.1837,-6.0734,330.7,2021-07-08,2207,N,0
35.19,-6.0561,332.1,2021-07-09,226,N,0
35.1811,-6.058,315.7,2021-07-09,226,N,0
35.1883,-6.0451,308.8,2021-07-09,226,N,0
35.1989,-6.0541,306.0,2021-07-09,226,N,0
31.5738,-7.2571,308.6,2021-07-09,2249,N,0
31.5724,-7.2693,313.4,2021-07-09,2249,N,0
31.5822,-7.271,306.9,2021-07-09,2249,N,0
33.7984,-6.6614,309.4,2021-07-10,309,N,0
33.8083,-6.6654,309.1,2021-07-10,309,N,0
33.7909,-4.3059,338.0,2021-07-10,1053,D,0
33.587,-4.8983,347.1,2021-07-10,1053,D,0
33.5886,-4.9119,356.0,2021-07-10,1053,D,0
33.5971,-4.8971,365.3,2021-07-10,1053,D,0
33.5988,-4.911,381.0,2021-07-10,1053,D,0
33.5956,-4.8912,330.5,2021-07-10,1053,D,0
33.5972,-4.9051,412.2,2021-07-10,1053,D,0
33.5987,-4.9187,342.3,2021-07-10,1053,D,0
33.8043,-4.8489,339.7,2021-07-10,1053,D,0
33.1473,-5.944,360.1,2021-07-10,1053,D,0
34.8189,-4.3969,331.5,2021-07-10,1053,D,0
33.7811,-4.3076,339.6,2021-07-10,1053,D,0
33.7857,-4.2835,347.7,2021-07-10,1410,D,0
33.7728,-4.3112,340.0,2021-07-10,1410,D,0
33.7903,-4.2791,339.8,2021-07-10,1410,D,0
33.7881,-4.3128,355.2,2021-07-10,1410,D,0
33.7837,-4.3172,354.5,2021-07-10,1410,D,0
33.7991,-4.3182,334.9,2021-07-10,1410,D,0
33.5956,-4.9317,333.0,2021-07-10,1410,D,0
33.5975,-4.9042,332.2,2021-07-10,1410,D,0
33.5953,-4.9369,331.5,2021-07-10,1410,D,0
33.6123,-4.9036,358.5,2021-07-10,1410,D,0
33.6101,-4.937,366.0,2021-07-10,1410,D,0
34.6975,-4.5055,312.3,2021-07-10,2155,N,0
33.6295,-4.9127,310.3,2021-07-11,214,N,0
33.628,-4.9021,341.6,2021-07-11,214,N,0
33.6175,-4.8933,307.3,2021-07-11,214,N,0
33.6206,-4.9145,307.3,2021-07-11,214,N,0
33.6191,-4.9039,343.3,2021-07-11,214,N,0
34.1343,-4.832,305.6,2021-07-13,2225,N,0
30.7044,-6.2474,332.5,2021-07-14,1029,D,0
30.7019,-6.2095,328.2,2021-07-14,1029,D,0
34.5884,-5.8906,333.1,2021-07-14,1346,D,0
34.5869,-5.9028,336.5,2021-07-14,1346,D,0
33.6793,-6.7106,328.8,2021-07-15,1111,D,0
33.8735,-5.6158,333.5,2021-07-15,1111,D,0
33.6701,-6.7077,329.6,2021-07-15,1111,D,0
35.1005,-4.4591,336.0,2021-07-18,1322,D,0
35.065,-3.6301,339.1,2021-07-18,1322,D,0
35.0633,-3.641,334.9,2021-07-18,1322,D,0
35.0988,-4.4701,363.3,2021-07-18,1322,D,0
35.0949,-4.4498,308.3,2021-07-19,302,N,0
35.0992,-4.4365,306.5,2021-07-19,302,N,0
34.8264,-3.0302,331.8,2021-07-19,1046,D,0
34.985,-4.7419,302.7,2021-07-24,2207,N,0
33.7943,-5.236,344.9,2021-07-28,1040,D,0
33.8982,-4.6839,334.9,2021-07-28,1358,D,0
35.3248,-5.1267,333.2,2021-07-30,1346,D,0
35.3234,-5.1398,327.8,2021-07-30,1346,D,0
33.9019,-4.6936,332.8,2021-07-31,1111,D,0
35.0298,-3.4,332.1,2021-07-31,1111,D,0
35.1332,-3.6406,327.9,2021-07-31,1111,D,0
35.2192,-5.3183,330.9,2021-08-01,1334,D,0
34.5944,-6.2461,330.4,2021-08-01,1334,D,0
35.8063,-5.7229,318.8,2021-08-01,1334,D,0
35.8047,-5.7338,321.0,2021-08-01,1334,D,0
35.0543,-4.4973,322.7,2021-08-03,1322,D,0
35.525,-5.4671,363.0,2021-08-06,1353,D,0
35.5233,-5.4836,346.0,2021-08-06,1353,D,0
33.7972,-4.857,328.0,2021-08-13,1040,D,0
35.1112,-5.4004,433.3,2021-08-14,2225,N,0
35.1142,-5.3788,341.3,2021-08-14,2225,N,0
35.1127,-5.3896,454.0,2021-08-14,2225,N,0
35.1081,-5.4221,310.9,2021-08-14,2225,N,0
35.1107,-5.3769,320.1,2021-08-15,244,N,0
35.1149,-5.3976,359.1,2021-08-15,244,N,0
35.1223,-5.375,351.4,2021-08-15,244,N,0
35.1261,-5.3944,366.2,2021-08-15,244,N,0
35.118,-5.3865,333.9,2021-08-15,1027,D,0
35.1109,-5.3826,332.6,2021-08-15,1027,D,0
35.119,-5.4012,333.4,2021-08-15,1346,D,0
35.108,-5.4107,339.4,2021-08-15,1346,D,0
35.1094,-5.3983,338.2,2021-08-15,1346,D,0
35.1203,-5.4106,310.5,2021-08-15,2308,N,0
35.1327,-5.4718,311.1,2021-08-15,2308,N,0
35.1169,-5.4707,315.5,2021-08-15,2308,N,0
35.1126,-5.4438,319.7,2021-08-15,2308,N,0
35.13,-5.4149,318.8,2021-08-15,2308,N,0
35.1284,-5.4455,328.6,2021-08-15,2308,N,0
35.1267,-5.4776,315.1,2021-08-15,2308,N,0
35.1187,-5.4393,328.5,2021-08-15,2308,N,0
35.1365,-5.4079,312.1,2021-08-15,2308,N,0
35.1346,-5.4393,318.5,2021-08-15,2308,N,0
35.1141,-5.4149,310.7,2021-08-15,2308,N,0
35.1373,-5.4557,334.3,2021-08-16,149,N,0
35.135,-5.4278,322.3,2021-08-16,149,N,0
35.1325,-5.3979,316.7,2021-08-16,149,N,0
35.1218,-5.4268,312.2,2021-08-16,149,N,0
35.1243,-5.4571,326.2,2021-08-16,149,N,0
35.1176,-5.3751,313.3,2021-08-16,149,N,0
35.116,-5.3556,311.3,2021-08-16,149,N,0
35.1283,-5.4538,335.5,2021-08-16,1110,D,0
35.1299,-5.4646,335.5,2021-08-16,1110,D,0
35.1347,-5.3921,304.2,2021-08-16,2213,N,0
35.1253,-5.389,341.4,2021-08-16,2213,N,0
35.1325,-5.4052,304.8,2021-08-16,2213,N,0
35.1198,-5.3634,350.1,2021-08-16,2213,N,0
35.1178,-5.3748,327.0,2021-08-16,2213,N,0
35.1274,-5.377,306.0,2021-08-16,2213,N,0
35.1371,-5.4027,320.6,2021-08-17,232,N,0
35.1211,-5.3671,309.8,2021-08-17,232,N,0
35.135,-5.3908,328.8,2021-08-17,232,N,0
35.1328,-5.3778,324.4,2021-08-17,232,N,0
35.138,-5.3841,312.2,2021-08-17,232,N,0
35.1188,-5.3533,302.4,2021-08-17,232,N,0
30.1915,-9.4439,303.4,2021-08-17,233,N,0
35.1259,-5.3684,328.0,2021-08-17,1153,D,0
35.1314,-5.4018,331.7,2021-08-17,1153,D,0
35.1222,-5.364,326.5,2021-08-17,1153,D,0
35.1344,-5.4041,325.6,2021-08-17,1153,D,0
35.1349,-5.3915,353.7,2021-08-17,1334,D,0
35.1333,-5.4023,339.6,2021-08-17,1334,D,0
34.3519,-2.6934,332.9,2021-08-17,1334,D,0
35.1104,-5.3695,342.2,2021-08-17,1334,D,0
35.1448,-5.3927,308.6,2021-08-17,2256,N,0
35.1314,-5.4091,303.6,2021-08-17,2256,N,0
35.1332,-5.3862,303.4,2021-08-17,2256,N,0
35.1458,-5.3731,302.0,2021-08-18,137,N,0
35.1043,-6.129,306.1,2021-08-18,2201,N,0
32.2729,-9.2398,303.2,2021-08-19,2243,N,2
34.9046,-4.6205,334.5,2021-08-20,1405,D,0
34.9104,-4.6245,330.4,2021-08-20,1405,D,0
34.8263,-6.311,325.4,2021-08-30,1122,D,0
33.8149,-5.3207,320.5,2021-08-30,1123,D,0
30.1742,-9.3865,327.6,2021-08-30,1124,D,0
32.4195,-6.3797,325.3,2021-09-01,1111,D,0
35.2622,-5.3205,329.7,2021-09-02,1334,D,0
35.2548,-5.3077,340.6,2021-09-02,1334,D,0
35.2637,-5.3097,363.7,2021-09-02,1334,D,0
34.89,-6.169,326.2,2021-09-03,1058,D,0
34.2424,-4.8256,335.4,2021-09-04,1322,D,0
34.1995,-4.7908,331.1,2021-09-04,1322,D,0
34.2444,-4.8137,339.3,2021-09-04,1322,D,0
35.7182,-5.6926,333.4,2021-09-04,1322,D,0
34.1391,-2.456,331.2,2021-09-05,1046,D,0
34.1406,-2.4685,335.0,2021-09-05,1046,D,0
31.9625,-4.4522,328.3,2021-09-08,1117,D,0
33.5564,-6.7334,343.8,2021-09-09,1340,D,0
33.5548,-6.744,329.8,2021-09-09,1340,D,0
35.7098,-5.7594,330.8,2021-09-10,1104,D,0
34.8894,-6.1688,321.2,2021-09-17,1110,D,0
34.8265,-6.1819,318.4,2021-09-18,1153,D,0
34.8264,-6.1765,319.9,2021-09-18,1153,D,0
34.8862,-6.1594,320.4,2021-09-19,1058,D,0
35.1936,-5.0057,319.5,2021-09-20,1322,D,0
34.8797,-6.1634,322.8,2021-09-20,1322,D,0
33.7747,-5.687,323.0,2021-09-24,1116,D,0
33.9236,-5.7503,326.9,2021-09-25,1340,D,0
35.7997,-5.5399,322.6,2021-09-25,1340,D,0
33.9597,-5.6302,322.3,2021-09-26,1104,D,0
34.6774,-5.9275,324.4,2021-09-29,2236,N,0
34.6788,-5.9154,305.2,2021-09-29,2236,N,0
34.8859,-6.1574,317.7,2021-09-30,1039,D,0
34.682,-3.9167,322.1,2021-09-30,1039,D,0
29.7642,-9.1673,348.7,2021-09-30,1357,D,0
29.7656,-9.157,356.3,2021-09-30,1357,D,0
29.7732,-9.1688,380.7,2021-09-30,1357,D,0
29.767,-9.1466,337.2,2021-09-30,1357,D,0
29.7746,-9.1584,383.8,2021-09-30,1357,D,0
29.776,-9.1483,333.3,2021-09-30,1357,D,0
33.916,-5.749,322.5,2021-10-01,1122,D,0
34.883,-6.2456,318.5,2021-10-01,1122,D,0
35.6642,-5.7092,328.5,2021-10-03,1109,D,0
34.745,-3.9549,320.1,2021-10-03,1110,D,0
35.0227,-5.9465,316.3,2021-10-04,1334,D,0
31.3781,-7.6764,324.7,2021-10-06,1321,D,0
34.7424,-4.4121,318.3,2021-10-07,1045,D,0
32.4576,-5.9219,325.0,2021-10-08,1309,D,0
32.2603,-6.1638,338.6,2021-10-08,1309,D,0
32.2652,-6.1407,322.8,2021-10-08,1309,D,0
32.2616,-6.1592,350.4,2021-10-08,1309,D,0
32.6624,-6.1335,326.0,2021-10-10,1116,D,0
35.1857,-5.5943,334.4,2021-10-11,1340,D,0
34.0867,-5.8905,317.9,2021-10-12,1104,D,0
35.7359,-5.7147,315.5,2021-10-13,1146,D,0
33.8012,-5.4421,314.6,2021-10-13,1146,D,0
35.7303,-5.711,316.9,2021-10-13,1146,D,0
33.8032,-5.4361,314.2,2021-10-13,1146,D,0
35.5395,-5.773,314.0,2021-10-14,1411,D,0
35.1613,-5.6229,326.4,2021-10-14,1411,D,0
35.5415,-5.7432,328.8,2021-10-14,1411,D,0
35.1591,-5.618,323.9,2021-10-14,1411,D,0
35.7924,-5.6522,313.1,2021-10-16,1359,D,0
33.7396,-5.5272,304.9,2021-10-17,1122,D,0
35.8826,-5.4371,328.3,2021-10-19,1109,D,0
35.174,-5.6105,314.4,2021-10-19,1251,D,0
33.7879,-6.2313,320.1,2021-10-20,1152,D,0
34.5175,-4.3943,348.9,2021-10-20,1334,D,0
34.5161,-4.405,329.7,2021-10-20,1334,D,0
35.1845,-5.6155,330.9,2021-10-20,1334,D,0
35.3475,-5.4472,315.1,2021-10-21,1057,D,0
35.7824,-5.6932,330.6,2021-10-21,1057,D,0
35.7118,-5.6074,319.0,2021-10-21,1057,D,0
35.7105,-5.6003,313.8,2021-10-21,1057,D,0
34.5445,-6.1724,310.3,2021-10-22,1140,D,0
33.727,-5.4222,324.9,2021-10-23,1045,D,0
33.5959,-6.224,315.6,2021-10-23,1045,D,0
35.1519,-5.6066,321.0,2021-10-23,1405,D,0
34.5042,-6.2149,317.0,2021-10-24,1128,D,0
35.4392,-5.4941,315.2,2021-10-27,1340,D,0
35.4378,-5.5053,344.3,2021-10-27,1340,D,0
34.1591,-6.3287,321.4,2021-10-27,1340,D,0
33.4701,-6.1841,312.9,2021-10-27,1340,D,0
34.1606,-6.3179,321.1,2021-10-27,1340,D,0
35.4286,-5.5037,325.8,2021-10-27,1340,D,0
34.326,-6.354,322.6,2021-10-28,1103,D,0
33.7714,-6.8165,317.7,2021-10-28,1103,D,0
34.8242,-4.6476,312.9,2021-10-28,1103,D,0
33.7761,-6.8215,318.6,2021-10-28,1103,D,0
34.5963,-6.1649,313.4,2021-10-28,1103,D,0
34.7307,-4.4518,310.3,2021-10-30,1051,D,0
33.7675,-6.8568,312.4,2021-10-30,1411,D,0
30.284,-9.4204,326.7,2021-10-31,1135,D,0
30.2864,-9.427,328.2,2021-10-31,1135,D,0
35.6012,-5.3031,312.3,2021-10-31,1316,D,0
33.6807,-7.2398,304.3,2021-11-06,1057,D,0
30.2809,-9.1538,301.2,2021-11-07,2241,N,0
30.4873,-8.9951,315.9,2021-11-08,1404,D,0
30.6988,-8.4031,312.9,2021-11-08,1404,D,0
30.6897,-8.3947,316.2,2021-11-08,1404,D,0
33.1304,-5.8509,309.5,2021-11-09,1128,D,0
31.599,-7.1579,332.4,2021-11-09,1128,D,0
31.6012,-7.1702,346.1,2021-11-09,1128,D,0
33.2488,-5.9998,310.1,2021-11-09,1309,D,0
35.1098,-6.0567,304.5,2021-11-10,1353,D,0
35.0417,-5.5145,307.0,2021-11-13,1103,D,0
33.8412,-5.7756,318.6,2021-11-14,1328,D,0
35.2714,-5.3918,309.4,2021-11-14,1328,D,0
35.1411,-5.6949,312.0,2021-11-14,1328,D,0
35.1429,-5.6833,309.4,2021-11-14,1328,D,0
35.0214,-2.9136,306.7,2021-11-15,1050,D,0
30.5114,-9.0667,315.1,2021-11-15,1410,D,0
33.7969,-5.4477,325.7,2021-11-18,1121,D,0
33.7978,-5.441,339.7,2021-11-18,1121,D,0
33.7947,-5.4349,325.3,2021-11-18,1121,D,0
35.4354,-5.4896,301.8,2021-11-18,1121,D,0
32.1222,-7.0408,310.5,2021-11-18,1122,D,0
34.8782,-6.256,317.9,2021-11-19,1347,D,0
30.2272,-6.4727,300.4,2021-11-21,1153,D,0
30.1862,-9.3484,308.2,2021-11-25,1128,D,0
30.0393,-9.5271,300.6,2021-11-25,1128,D,0
30.041,-9.538,302.2,2021-11-25,1128,D,0
32.3533,-8.478,304.6,2021-11-29,1103,D,0
32.3559,-8.4837,305.2,2021-11-29,1103,D,0
33.86,-4.0157,306.3,2021-12-07,1334,D,0
33.7269,-5.5504,318.1,2021-12-12,1353,D,0
33.7285,-5.5357,306.8,2021-12-12,1353,D,0
33.7545,-5.7161,307.3,2021-12-13,1114,D,0
33.8241,-5.5544,303.6,2021-12-13,1258,D,0
30.6927,-6.3018,316.9,2021-12-14,1340,D,0
30.6534,-8.2266,309.0,2021-12-16,1146,D,0
30.1712,-9.5031,308.6,2021-12-18,1134,D,0
30.2008,-9.3722,326.5,2021-12-18,1134,D,0
