latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.3371,-61.1905,308.9,2021-04-15,531,N,0
13.3353,-61.176,334.0,2021-04-15,531,N,1
13.3414,-61.1807,311.0,2021-04-15,531,N,0
13.3309,-61.1831,326.2,2021-04-15,531,N,1
13.3338,-61.181,328.1,2021-04-15,1455,D,1
13.3313,-61.1757,321.1,2021-04-15,1455,D,1
13.3311,-61.1991,315.8,2021-04-15,1800,D,0
13.3333,-61.1806,314.1,2021-04-15,1800,D,1
12.6988,-61.3313,311.0,2021-04-19,1430,D,3
13.3322,-61.182,319.6,2021-04-24,234,N,1
13.3308,-61.1921,310.5,2021-04-24,234,N,0
13.3354,-61.18,313.0,2021-04-26,222,N,1
13.334,-61.1894,321.3,2021-04-26,222,N,0
13.3303,-61.1839,317.5,2021-05-12,1741,D,1
13.3366,-61.1852,315.1,2021-05-28,1436,D,1
