latitude,longitude,brightness,acq_date,acq_time,daynight,type
30.4052,19.6126,300.1,2022-01-01,49,N,2
28.9157,19.77,316.1,2022-01-01,49,N,2
28.9134,19.783,333.6,2022-01-01,49,N,2
28.9143,19.7776,326.8,2022-01-01,49,N,2
28.9033,19.7773,345.7,2022-01-01,1148,D,2
28.9015,19.7659,329.5,2022-01-01,1148,D,2
28.9141,19.7647,315.8,2022-01-01,2106,N,2
29.2267,19.6969,303.3,2022-01-01,2106,N,2
28.9031,19.7661,313.6,2022-01-01,2106,N,2
28.9048,19.7824,310.5,2022-01-01,2106,N,2
28.9017,20.9521,300.2,2022-01-01,2106,N,2
28.9158,19.7809,308.1,2022-01-01,2106,N,2
28.9132,19.776,304.1,2022-01-01,2354,N,2
28.9075,19.7918,302.3,2022-01-02,2011,N,2
28.9018,19.7642,314.5,2022-01-02,2011,N,2
28.9101,19.7858,308.3,2022-01-02,2011,N,2
28.9042,19.7584,307.6,2022-01-02,2011,N,2
28.9093,19.784,322.6,2022-01-03,37,N,2
27.992,22.325,306.2,2022-01-03,37,N,2
30.4017,19.6149,313.4,2022-01-03,37,N,2
28.9108,20.9556,311.2,2022-01-03,37,N,2
28.9108,19.7738,339.1,2022-01-03,37,N,2
28.9059,19.775,328.7,2022-01-03,2054,N,2
29.2344,19.695,303.6,2022-01-03,2054,N,2
28.9141,19.7865,305.5,2022-01-04,120,N,2
28.9106,19.7891,303.6,2022-01-04,1959,N,2
30.4042,19.6167,311.0,2022-01-05,24,N,2
27.653,22.5049,313.8,2022-01-05,25,N,2
29.232,19.7045,304.0,2022-01-05,25,N,2
28.9073,20.9593,305.4,2022-01-05,25,N,2
29.0798,19.0589,300.1,2022-01-05,25,N,2
29.0782,19.0715,305.1,2022-01-05,25,N,2
28.9175,19.7783,301.2,2022-01-05,25,N,2
28.908,19.7768,326.5,2022-01-05,25,N,2
27.994,22.3251,312.6,2022-01-05,25,N,2
27.6471,22.4832,309.7,2022-01-05,25,N,2
30.4,19.6043,310.5,2022-01-05,942,D,2
27.6434,22.4789,309.9,2022-01-05,2041,N,2
29.2286,19.699,304.7,2022-01-05,2041,N,2
28.9067,19.7663,321.9,2022-01-05,2041,N,2
28.9082,19.7766,339.5,2022-01-05,2041,N,2
28.9056,20.9556,318.4,2022-01-05,2041,N,2
28.6949,22.374,303.8,2022-01-05,2041,N,2
27.9899,22.3209,320.0,2022-01-05,2041,N,2
27.6462,22.4996,320.3,2022-01-05,2041,N,2
28.9157,19.7778,309.2,2022-01-06,107,N,2
28.9105,19.7686,300.3,2022-01-06,108,N,2
28.911,19.7805,315.9,2022-01-06,1207,D,2
28.9111,19.7533,304.1,2022-01-06,2124,N,2
28.9104,19.7807,305.7,2022-01-06,2124,N,2
28.9136,19.7872,301.6,2022-01-06,2124,N,2
30.3975,19.6161,300.3,2022-01-06,2125,N,2
28.9103,19.7717,313.1,2022-01-07,12,N,2
30.4042,19.6222,316.9,2022-01-07,12,N,2
28.9042,20.9592,309.8,2022-01-07,12,N,2
28.9085,19.789,306.6,2022-01-07,12,N,2
30.4061,19.603,300.7,2022-01-07,12,N,2
28.905,19.7721,331.0,2022-01-07,930,D,2
28.9142,19.7741,319.8,2022-01-07,930,D,2
28.9032,19.7831,310.0,2022-01-07,930,D,2
27.6477,22.5042,300.6,2022-01-07,2029,N,2
27.9889,22.3217,314.1,2022-01-07,2029,N,2
28.9124,20.9556,305.5,2022-01-08,2112,N,2
28.8991,20.9571,302.3,2022-01-08,2112,N,2
30.4092,19.6059,302.8,2022-01-08,2112,N,2
30.3968,19.6072,307.7,2022-01-08,2112,N,2
28.9076,19.7679,324.5,2022-01-08,2112,N,2
28.905,20.964,307.5,2022-01-09,0,N,2
28.9072,19.7796,300.4,2022-01-09,0,N,2
28.9109,19.7847,302.8,2022-01-09,0,N,2
28.902,20.9583,305.2,2022-01-09,2017,N,2
28.9076,20.9513,302.7,2022-01-09,2017,N,2
28.9126,19.7708,307.6,2022-01-09,2017,N,2
28.9087,20.9672,302.0,2022-01-10,43,N,2
28.9098,19.7849,317.8,2022-01-10,43,N,2
28.9116,19.7739,333.7,2022-01-10,43,N,2
29.237,19.6962,302.5,2022-01-10,43,N,2
28.9108,20.9548,314.7,2022-01-10,43,N,2
27.9868,22.3324,301.0,2022-01-10,43,N,2
28.1638,21.2227,313.9,2022-01-10,2059,N,2
28.1654,21.2378,300.9,2022-01-10,2059,N,0
28.9139,19.7698,327.4,2022-01-10,2100,N,2
29.2312,19.7029,302.7,2022-01-10,2100,N,2
29.2297,19.6901,306.8,2022-01-10,2100,N,2
29.2307,19.6965,316.1,2022-01-10,2100,N,2
28.907,20.9473,307.7,2022-01-10,2100,N,2
28.904,19.7712,324.3,2022-01-10,2100,N,2
28.9154,19.7827,300.5,2022-01-10,2100,N,2
29.0751,19.0622,306.6,2022-01-10,2100,N,2
28.9183,19.7867,304.4,2022-01-10,2348,N,2
28.9202,19.7783,301.5,2022-01-10,2348,N,2
28.9028,19.7812,303.0,2022-01-11,2005,N,2
28.9115,19.7736,315.0,2022-01-11,2005,N,2
29.2322,19.704,319.1,2022-01-12,31,N,2
29.2337,19.6935,305.7,2022-01-12,31,N,2
27.9918,22.3314,307.5,2022-01-12,31,N,2
28.909,19.7817,338.9,2022-01-12,31,N,2
28.9104,19.7714,331.4,2022-01-12,31,N,2
28.6953,22.38,300.6,2022-01-12,31,N,2
28.9049,20.9557,307.5,2022-01-12,2047,N,2
27.5834,22.4007,306.5,2022-01-12,2047,N,2
27.9826,22.3193,306.0,2022-01-12,2047,N,2
28.225,21.2453,307.1,2022-01-12,2047,N,0
28.9104,19.7762,339.2,2022-01-12,2047,N,2
28.909,19.7661,322.4,2022-01-12,2047,N,2
29.076,19.0607,304.6,2022-01-12,2047,N,2
29.2304,19.6929,315.4,2022-01-12,2047,N,2
28.911,19.7847,317.0,2022-01-13,114,N,2
28.9133,19.7804,316.9,2022-01-13,114,N,2
28.9053,19.7704,309.4,2022-01-13,2130,N,2
28.909,19.7622,306.9,2022-01-13,2130,N,2
28.2286,21.2454,310.9,2022-01-14,19,N,0
29.2371,19.6992,300.9,2022-01-14,19,N,2
28.9167,19.7707,312.0,2022-01-14,19,N,2
28.9151,19.7846,314.1,2022-01-14,19,N,2
27.9934,22.3248,301.0,2022-01-14,19,N,2
27.6469,22.5052,306.4,2022-01-14,19,N,2
27.9838,22.324,317.4,2022-01-14,2035,N,2
28.91,19.7617,300.3,2022-01-14,2035,N,2
28.9118,19.7732,337.4,2022-01-14,2035,N,2
