latitude,longitude,brightness,acq_date,acq_time,daynight,type
12.6017,6.4485,300.7,2022-01-01,54,N,0
11.4507,5.9783,300.1,2022-01-01,54,N,0
11.6012,6.746,301.5,2022-01-01,54,N,0
12.5894,6.4472,300.7,2022-01-01,54,N,0
8.9448,12.784,301.5,2022-01-01,55,N,0
8.3623,9.8649,312.0,2022-01-01,55,N,0
9.4213,11.3192,300.5,2022-01-01,55,N,0
9.8755,7.1797,303.6,2022-01-01,55,N,0
9.874,7.1865,301.5,2022-01-01,55,N,0
9.1905,9.1525,303.3,2022-01-01,55,N,0
10.863,6.8897,302.2,2022-01-01,55,N,0
10.861,6.9054,301.3,2022-01-01,55,N,0
10.698,6.0531,307.4,2022-01-01,55,N,0
9.6811,11.8702,301.7,2022-01-01,55,N,0
9.6798,11.8793,301.8,2022-01-01,55,N,0
9.5289,11.3971,314.3,2022-01-01,55,N,0
5.9007,5.5819,302.0,2022-01-01,56,N,2
5.4274,6.5947,301.8,2022-01-01,56,N,0
5.3858,6.6565,302.2,2022-01-01,56,N,2
4.4649,7.4761,302.1,2022-01-01,56,N,2
11.0554,5.7379,328.1,2022-01-01,1012,D,0
12.0589,5.5685,328.4,2022-01-01,1012,D,0
12.0602,5.5592,341.0,2022-01-01,1012,D,0
11.8508,7.1522,326.5,2022-01-01,1012,D,0
12.0516,5.9196,325.1,2022-01-01,1012,D,0
11.8668,7.1768,319.3,2022-01-01,1012,D,0
11.8684,7.166,321.7,2022-01-01,1012,D,0
10.9357,12.8462,324.8,2022-01-01,1012,D,0
11.8898,7.0927,329.0,2022-01-01,1012,D,0
10.9507,12.8489,323.7,2022-01-01,1012,D,0
12.1374,5.9003,322.7,2022-01-01,1012,D,0
11.9508,7.4204,319.1,2022-01-01,1012,D,0
11.9525,7.4094,317.7,2022-01-01,1012,D,0
12.184,6.0243,337.1,2022-01-01,1012,D,0
12.1855,6.0148,341.7,2022-01-01,1012,D,0
12.1946,6.0162,326.8,2022-01-01,1012,D,0
12.5062,4.2256,317.8,2022-01-01,1012,D,0
12.5075,4.2165,328.1,2022-01-01,1012,D,0
12.5089,4.2073,318.9,2022-01-01,1012,D,0
12.3336,5.8848,322.6,2022-01-01,1012,D,0
12.335,5.8753,332.7,2022-01-01,1012,D,0
12.3977,5.645,323.4,2022-01-01,1012,D,0
12.4005,5.6264,319.2,2022-01-01,1012,D,0
11.2142,13.0056,317.1,2022-01-01,1012,D,0
12.4115,5.6758,325.1,2022-01-01,1012,D,0
12.4129,5.6664,318.0,2022-01-01,1012,D,0
12.1905,7.1922,334.8,2022-01-01,1012,D,0
12.1921,7.1816,319.5,2022-01-01,1012,D,0
12.2347,7.4389,316.9,2022-01-01,1012,D,0
12.6042,6.4038,323.7,2022-01-01,1012,D,0
12.6043,6.4641,324.1,2022-01-01,1012,D,0
12.6213,6.4769,322.6,2022-01-01,1012,D,0
12.6551,6.442,326.1,2022-01-01,1012,D,0
12.8265,5.3664,322.1,2022-01-01,1012,D,0
12.6248,6.8635,326.4,2022-01-01,1012,D,0
12.6264,6.8534,331.6,2022-01-01,1012,D,0
12.7773,5.8778,317.3,2022-01-01,1012,D,0
12.8001,5.7279,336.1,2022-01-01,1012,D,0
12.8015,5.7186,336.7,2022-01-01,1012,D,0
11.5119,14.108,320.5,2022-01-01,1012,D,0
11.5018,14.1127,320.0,2022-01-01,1012,D,0
12.8601,6.0614,322.7,2022-01-01,1012,D,0
12.6984,7.1685,318.2,2022-01-01,1012,D,0
12.7956,6.9179,319.1,2022-01-01,1012,D,0
11.8009,13.9338,329.7,2022-01-01,1012,D,0
11.8087,13.9406,328.4,2022-01-01,1012,D,0
12.4825,12.6644,339.6,2022-01-01,1012,D,0
13.571,6.0597,323.3,2022-01-01,1012,D,0
12.4701,12.6689,319.4,2022-01-01,1012,D,0
12.4844,12.6715,337.4,2022-01-01,1012,D,0
11.051,5.7664,320.1,2022-01-01,1012,D,0
11.0477,5.727,330.6,2022-01-01,1012,D,0
11.0214,5.8989,333.6,2022-01-01,1012,D,0
11.0199,5.9085,323.2,2022-01-01,1012,D,0
10.9809,6.1614,319.9,2022-01-01,1012,D,0
10.9794,6.1713,317.9,2022-01-01,1012,D,0
10.8745,6.8435,318.4,2022-01-01,1012,D,0
10.8728,6.8542,314.7,2022-01-01,1012,D,0
11.1338,5.096,320.7,2022-01-01,1012,D,0
11.1325,5.1051,323.6,2022-01-01,1012,D,0
11.0121,5.9109,326.6,2022-01-01,1012,D,0
11.0092,5.9301,323.1,2022-01-01,1012,D,0
11.0078,5.9398,323.4,2022-01-01,1012,D,0
10.8705,6.8474,327.1,2022-01-01,1012,D,0
11.0231,5.7752,329.1,2022-01-01,1012,D,0
11.0183,5.7453,325.2,2022-01-01,1012,D,0
10.8431,6.8976,326.7,2022-01-01,1012,D,0
11.0105,5.7344,318.7,2022-01-01,1012,D,0
11.0091,5.7439,321.6,2022-01-01,1012,D,0
11.0077,5.7534,326.0,2022-01-01,1012,D,0
10.9772,5.9548,318.8,2022-01-01,1012,D,0
10.9263,6.2276,315.4,2022-01-01,1012,D,0
10.9064,6.3572,324.9,2022-01-01,1012,D,0
10.6493,8.0102,319.3,2022-01-01,1012,D,0
10.969,5.8846,318.5,2022-01-01,1012,D,0
10.9642,5.8544,320.0,2022-01-01,1012,D,0
10.4861,8.891,317.4,2022-01-01,1012,D,0
10.9551,5.853,330.7,2022-01-01,1012,D,0
10.9536,5.8626,325.9,2022-01-01,1012,D,0
10.8031,6.8371,358.7,2022-01-01,1012,D,0
10.8014,6.8477,324.6,2022-01-01,1012,D,0
10.7831,6.9649,319.4,2022-01-01,1012,D,0
10.7934,6.8356,335.1,2022-01-01,1012,D,0
10.9264,5.9175,319.0,2022-01-01,1012,D,0
10.9241,5.6959,327.8,2022-01-01,1012,D,0
10.9227,5.7054,340.0,2022-01-01,1012,D,0
10.7908,6.5729,321.6,2022-01-01,1012,D,0
10.7893,6.5831,317.8,2022-01-01,1012,D,0
10.7294,6.9726,315.8,2022-01-01,1012,D,0
10.7277,6.9833,321.0,2022-01-01,1012,D,0
10.9135,5.704,325.3,2022-01-01,1012,D,0
10.9939,4.985,325.8,2022-01-01,1012,D,0
10.7906,6.3232,316.5,2022-01-01,1012,D,0
10.633,7.3318,317.3,2022-01-01,1012,D,0
10.6313,7.3431,319.5,2022-01-01,1012,D,0
10.4561,8.438,336.8,2022-01-01,1012,D,0
10.8765,5.6403,325.8,2022-01-01,1012,D,0
10.8681,5.6423,316.7,2022-01-01,1012,D,0
10.7287,6.5675,319.7,2022-01-01,1012,D,0
10.6891,6.7636,318.2,2022-01-01,1012,D,0
10.4567,8.2688,319.7,2022-01-01,1012,D,0
10.8316,5.6367,321.8,2022-01-01,1012,D,0
10.8302,5.6462,319.4,2022-01-01,1012,D,0
10.5781,7.2244,315.4,2022-01-01,1012,D,0
10.7917,5.7767,316.4,2022-01-01,1012,D,0
10.7825,5.7753,326.7,2022-01-01,1012,D,0
10.7196,6.0626,327.9,2022-01-01,1012,D,0
10.718,6.0724,345.9,2022-01-01,1012,D,0
10.7165,6.0822,343.2,2022-01-01,1012,D,0
