latitude,longitude,brightness,acq_date,acq_time,daynight,type
51.8942,29.3475,306.3,2023-01-03,26,N,2
51.8907,29.3359,305.5,2023-01-03,1937,N,2
52.8438,29.9922,304.0,2023-02-15,827,D,2
53.3308,23.8644,322.6,2023-03-16,1147,D,0
53.9239,27.6291,313.5,2023-03-17,919,D,2
53.9209,27.6458,310.4,2023-03-17,919,D,2
53.32,23.8669,307.4,2023-03-17,1051,D,0
53.5057,29.8378,303.8,2023-03-17,1051,D,0
53.3226,23.8725,307.7,2023-03-17,1051,D,0
53.3465,23.8909,316.8,2023-03-18,1000,D,0
53.311,23.8663,320.3,2023-03-18,1000,D,0
53.2991,23.8581,317.7,2023-03-18,1000,D,0
53.2993,23.8534,315.8,2023-03-18,1000,D,0
52.2537,23.7255,305.6,2023-03-18,1000,D,0
52.2447,23.7125,303.5,2023-03-18,1000,D,0
52.2436,23.7211,311.6,2023-03-18,1133,D,0
52.5178,25.0728,304.8,2023-03-18,1133,D,0
51.818,30.1415,302.1,2023-03-19,903,D,0
52.8787,25.9941,306.6,2023-03-19,903,D,0
52.2915,28.4442,305.8,2023-03-19,903,D,0
51.6275,30.3392,322.5,2023-03-19,1037,D,0
51.8116,30.1408,313.6,2023-03-19,1037,D,0
51.8217,30.1353,311.0,2023-03-19,1037,D,0
52.8418,29.9854,303.3,2023-03-19,1037,D,2
53.6735,24.1275,307.6,2023-03-20,1120,D,0
52.2911,31.4449,307.4,2023-03-21,847,D,0
51.6308,30.3607,336.0,2023-03-21,847,D,0
51.6287,30.3748,324.5,2023-03-21,847,D,0
54.261,25.4495,300.5,2023-03-22,1106,D,0
54.4606,26.4118,303.5,2023-03-22,1106,D,2
52.4753,30.9686,300.4,2023-03-26,856,D,2
51.896,29.3434,302.5,2023-03-30,38,N,2
53.2622,31.7569,310.7,2023-04-09,840,D,0
53.1203,32.1766,307.2,2023-04-09,840,D,0
53.0945,32.0757,313.1,2023-04-09,1040,D,0
53.6699,31.613,302.1,2023-04-10,921,D,0
53.1058,32.1609,305.2,2023-04-10,921,D,0
53.1019,32.1397,305.6,2023-04-10,944,D,0
52.8952,30.5029,300.3,2023-04-10,1122,D,0
54.03,27.416,307.0,2023-04-10,1122,D,0
54.8344,27.9374,300.8,2023-04-11,823,D,0
53.2492,30.6776,311.9,2023-04-11,824,D,0
52.845,29.9842,307.4,2023-04-11,824,D,2
51.6918,30.4085,311.9,2023-04-18,954,D,0
51.6882,30.4013,324.7,2023-04-18,954,D,0
54.6777,30.973,301.8,2023-04-19,856,D,0
54.8663,29.6332,305.4,2023-04-19,856,D,0
54.8109,29.8175,311.1,2023-04-19,856,D,0
54.8087,29.8326,317.0,2023-04-19,856,D,0
52.8453,29.9811,306.9,2023-04-19,857,D,2
52.843,29.9958,311.7,2023-04-19,857,D,2
51.6602,30.4518,308.5,2023-04-19,857,D,0
51.6576,30.4666,310.8,2023-04-19,857,D,0
51.5656,30.3926,323.0,2023-04-19,1108,D,0
51.5637,30.3783,328.2,2023-04-19,1108,D,0
51.6585,30.4584,308.2,2023-04-19,1108,D,0
51.6823,30.3595,312.0,2023-04-19,1108,D,0
54.4681,29.0132,309.1,2023-04-19,1109,D,0
55.1932,28.6097,305.5,2023-04-19,1109,D,0
54.8182,29.8178,300.5,2023-04-20,937,D,0
54.0064,27.8706,308.5,2023-04-20,937,D,0
52.8631,25.4922,300.6,2023-04-20,938,D,0
53.0603,25.6723,307.2,2023-04-20,1151,D,0
53.0583,25.6481,316.2,2023-04-20,1151,D,0
53.8483,24.5034,300.1,2023-04-20,1151,D,0
54.6357,30.8733,301.5,2023-04-21,840,D,0
54.6337,30.8893,304.7,2023-04-21,840,D,0
54.3715,31.1277,302.8,2023-04-21,840,D,0
53.7091,31.6533,305.8,2023-04-21,840,D,0
53.5992,30.8708,314.5,2023-04-21,840,D,0
53.5972,30.8861,320.1,2023-04-21,840,D,0
53.2823,29.6218,311.5,2023-04-21,840,D,0
53.1327,30.7535,301.9,2023-04-21,840,D,0
53.2189,29.4604,302.3,2023-04-21,840,D,0
53.0059,31.1555,300.6,2023-04-21,840,D,0
52.8493,29.9946,310.7,2023-04-21,840,D,2
52.843,29.9857,308.3,2023-04-21,840,D,2
52.4957,29.2638,305.2,2023-04-21,841,D,0
52.8616,27.4127,302.2,2023-04-21,841,D,0
52.8301,27.7234,302.3,2023-04-21,841,D,0
52.3026,30.233,305.0,2023-04-21,841,D,0
51.6347,30.3185,304.6,2023-04-21,841,D,0
51.6318,30.3057,308.6,2023-04-21,1054,D,0
52.8454,29.981,310.3,2023-04-21,1054,D,2
53.3242,31.3457,307.2,2023-04-21,1054,D,0
53.394,30.8235,302.9,2023-04-21,1054,D,0
53.2017,29.4754,304.4,2023-04-21,1054,D,0
53.9337,31.6757,307.7,2023-04-21,1055,D,0
53.1333,25.836,303.2,2023-04-21,1055,D,0
53.2436,25.0837,335.2,2023-04-21,1055,D,0
53.3028,30.5892,312.5,2023-04-23,824,D,0
53.3008,30.6097,324.1,2023-04-23,824,D,0
53.2905,30.6071,319.3,2023-04-23,824,D,0
53.1633,30.6521,318.3,2023-04-23,824,D,0
52.9825,30.4061,308.1,2023-04-23,824,D,0
