latitude,longitude,brightness,acq_date,acq_time,daynight,type
-53.1019,73.5081,326.0,2023-01-06,1754,N,1
-53.1041,73.4917,306.6,2023-01-06,1754,N,1
-53.0959,73.5033,315.2,2023-01-14,1829,N,1
-53.0938,73.5069,321.1,2023-01-14,2018,N,1
-53.0996,73.5009,319.1,2023-01-23,1806,N,1
-53.1029,73.5075,332.8,2023-03-12,1814,N,1
-53.1053,73.4935,317.7,2023-03-12,1814,N,1
-53.1008,73.5008,331.0,2023-03-12,1814,N,1
-53.1004,73.5148,315.3,2023-03-12,1940,N,1
-53.1066,73.5122,308.9,2023-03-21,1750,N,1
-53.1087,73.4952,329.1,2023-03-21,1750,N,1
-53.1015,73.5003,315.9,2023-03-22,1831,N,1
-53.1004,73.5047,323.1,2023-03-22,2009,N,1
-53.1034,73.4915,305.1,2023-04-16,1735,N,1
