latitude,longitude,brightness,acq_date,acq_time,daynight,type
64.7722,-19.6584,303.6,2023-06-17,1307,D,0
65.0192,-14.411,301.7,2023-07-08,1314,D,0
63.9138,-22.17,358.7,2023-07-10,2342,N,1
63.9309,-22.2294,305.9,2023-07-10,2342,N,1
63.9157,-22.2293,371.9,2023-07-10,2342,N,1
63.9166,-22.1628,362.7,2023-07-10,2342,N,1
63.9283,-22.237,327.7,2023-07-10,2342,N,1
63.929,-22.1709,328.1,2023-07-10,2342,N,1
63.9132,-22.2366,353.0,2023-07-10,2342,N,1
63.926,-22.1967,326.6,2023-07-11,1128,D,1
63.9112,-22.1978,425.6,2023-07-11,1128,D,1
63.9216,-22.2238,366.8,2023-07-11,1306,D,1
63.9171,-22.2013,478.9,2023-07-11,1306,D,1
63.9126,-22.1787,331.5,2023-07-11,1306,D,1
63.9038,-22.1344,314.5,2023-07-11,1306,D,1
63.9127,-22.233,377.6,2023-07-11,1306,D,1
63.9082,-22.2105,500.0,2023-07-11,1306,D,1
63.8948,-22.1435,318.6,2023-07-11,1306,D,1
63.9231,-22.2018,321.8,2023-07-11,1342,D,1
63.9093,-22.2149,495.5,2023-07-11,1342,D,1
63.9141,-22.1921,423.4,2023-07-11,1342,D,1
63.9061,-22.217,431.3,2023-07-11,1520,D,1
63.9205,-22.2193,354.8,2023-07-11,1520,D,1
63.8954,-22.2243,316.3,2023-07-11,1520,D,1
63.9112,-22.1692,357.8,2023-07-11,1520,D,1
63.9097,-22.2272,428.7,2023-07-11,1520,D,1
63.9077,-22.1598,316.8,2023-07-11,1520,D,1
63.9045,-22.2745,334.4,2023-07-11,1520,D,1
63.8952,-22.2574,311.0,2023-07-11,2107,D,1
63.9104,-22.2107,417.8,2023-07-11,2107,D,1
63.9078,-22.2233,428.3,2023-07-11,2244,N,1
63.9103,-22.2012,446.6,2023-07-11,2244,N,1
63.9194,-22.2066,452.2,2023-07-11,2244,N,1
63.917,-22.2288,361.1,2023-07-11,2244,N,1
63.9121,-22.2726,303.9,2023-07-11,2244,N,1
63.9272,-22.2013,369.4,2023-07-12,306,N,1
63.9269,-22.1284,322.0,2023-07-12,306,N,1
63.9113,-22.2017,384.5,2023-07-12,306,N,1
63.911,-22.1282,326.8,2023-07-12,306,N,1
63.9174,-22.2042,399.5,2023-07-12,306,N,1
63.9168,-22.1319,341.9,2023-07-12,306,N,1
63.9167,-22.2197,397.4,2023-07-12,444,N,1
63.9215,-22.1909,427.6,2023-07-12,444,N,1
63.9253,-22.2114,370.6,2023-07-12,444,N,1
63.9042,-22.2073,322.2,2023-07-12,444,N,1
63.9129,-22.1991,476.1,2023-07-12,444,N,1
63.9085,-22.183,356.2,2023-07-12,1208,D,1
63.9109,-22.2093,466.6,2023-07-12,1208,D,1
63.9133,-22.2358,316.3,2023-07-12,1208,D,1
63.9185,-22.1785,336.3,2023-07-12,1208,D,1
63.9209,-22.2047,392.2,2023-07-12,1208,D,1
63.9035,-22.1293,315.0,2023-07-12,1208,D,1
63.9008,-22.2142,312.3,2023-07-12,1209,D,1
63.8973,-22.2316,388.7,2023-07-12,1246,D,1
63.9144,-22.1819,374.5,2023-07-12,1246,D,1
63.8961,-22.2317,383.9,2023-07-12,1246,D,1
63.9134,-22.1823,373.8,2023-07-12,1246,D,1
63.9157,-22.2466,354.7,2023-07-12,1346,D,1
63.9233,-22.2276,388.3,2023-07-12,1346,D,1
63.9115,-22.1876,410.3,2023-07-12,1346,D,1
63.9123,-22.2442,351.5,2023-07-12,1346,D,1
63.9004,-22.2041,370.4,2023-07-12,1346,D,1
63.9267,-22.2298,351.6,2023-07-12,1346,D,1
63.9151,-22.1898,387.4,2023-07-12,1346,D,1
63.904,-22.2065,402.6,2023-07-12,1346,D,1
63.9205,-22.203,368.0,2023-07-12,1424,D,1
63.9116,-22.1971,461.1,2023-07-12,1424,D,1
63.9027,-22.1913,337.1,2023-07-12,1424,D,1
63.909,-22.218,487.1,2023-07-12,1424,D,1
63.9179,-22.2239,351.6,2023-07-12,1424,D,1
63.915,-22.1985,455.0,2023-07-12,2147,D,1
63.9245,-22.2095,338.7,2023-07-12,2147,D,1
63.9091,-22.2245,411.6,2023-07-12,2147,D,1
63.9266,-22.175,316.7,2023-07-12,2325,N,1
63.9135,-22.1723,373.9,2023-07-12,2325,N,1
63.9116,-22.2196,431.2,2023-07-12,2325,N,1
63.9247,-22.2223,351.4,2023-07-12,2325,N,1
63.9248,-22.1694,313.4,2023-07-13,348,N,1
63.9056,-22.2087,316.3,2023-07-13,348,N,1
63.914,-22.1737,385.1,2023-07-13,348,N,1
63.9164,-22.2041,470.9,2023-07-13,348,N,1
63.9188,-22.2347,300.2,2023-07-13,348,N,1
63.9273,-22.1999,363.9,2023-07-13,348,N,1
63.9064,-22.1809,387.1,2023-07-13,526,D,1
63.9089,-22.1738,395.0,2023-07-13,526,D,1
63.9169,-22.1656,345.5,2023-07-13,526,D,1
63.9054,-22.1928,345.8,2023-07-13,1111,D,1
63.9223,-22.1939,331.1,2023-07-13,1111,D,1
63.9021,-22.2023,328.6,2023-07-13,1111,D,1
63.919,-22.203,346.7,2023-07-13,1111,D,1
63.9103,-22.2176,460.1,2023-07-13,1249,D,1
63.9017,-22.2248,361.7,2023-07-13,1249,D,1
63.9155,-22.1906,419.9,2023-07-13,1249,D,1
63.9188,-22.2103,445.6,2023-07-13,1249,D,1
63.907,-22.1979,421.3,2023-07-13,1249,D,1
63.8989,-22.2131,367.2,2023-07-13,1328,D,1
63.9056,-22.1851,321.5,2023-07-13,1328,D,1
63.9153,-22.197,384.0,2023-07-13,1328,D,1
63.9087,-22.2246,414.1,2023-07-13,1328,D,1
63.8999,-22.1908,348.1,2023-07-13,1506,D,1
63.8977,-22.2332,352.2,2023-07-13,1506,D,1
63.9124,-22.1944,413.8,2023-07-13,1506,D,1
63.9101,-22.237,403.3,2023-07-13,1506,D,1
63.9227,-22.2403,316.2,2023-07-13,1506,D,1
63.9121,-22.1987,403.6,2023-07-13,1506,D,1
63.91,-22.2413,377.8,2023-07-13,1506,D,1
63.9161,-22.2266,399.8,2023-07-14,1152,D,1
63.914,-22.1907,415.4,2023-07-14,1152,D,1
63.9044,-22.2305,387.5,2023-07-14,1152,D,1
63.9023,-22.1944,383.3,2023-07-14,1152,D,1
63.9193,-22.1968,375.2,2023-07-14,1152,D,1
63.9098,-22.2364,370.0,2023-07-14,1152,D,1
63.9076,-22.2005,415.0,2023-07-14,1152,D,1
63.8981,-22.2403,351.5,2023-07-14,1152,D,1
63.8959,-22.2045,376.0,2023-07-14,1152,D,1
63.9125,-22.2024,401.9,2023-07-14,2131,D,1
63.9038,-22.2357,383.0,2023-07-14,2131,D,1
63.9058,-22.2003,377.9,2023-07-14,2131,D,1
63.897,-22.2337,367.3,2023-07-14,2131,D,1
63.8993,-22.196,355.0,2023-07-14,2309,N,1
63.897,-22.2291,385.1,2023-07-14,2309,N,1
63.8982,-22.2026,364.1,2023-07-14,2309,N,1
63.8959,-22.2359,364.6,2023-07-14,2309,N,1
