latitude,longitude,brightness,acq_date,acq_time,daynight,type
14.0137,-83.6052,312.2,2023-01-02,1859,D,0
14.4691,-83.9775,313.8,2023-01-02,1859,D,0
14.6511,-83.7201,313.0,2023-01-02,1859,D,0
14.6494,-83.7309,319.2,2023-01-02,1859,D,0
12.5193,-86.3932,319.8,2023-01-03,1941,D,0
12.5202,-86.3865,321.2,2023-01-03,1941,D,0
11.981,-86.1699,301.9,2023-01-04,340,N,1
12.5816,-86.9357,316.4,2023-01-04,1554,D,0
12.5831,-86.9474,339.2,2023-01-04,1554,D,0
12.7655,-87.0924,319.8,2023-01-04,1845,D,0
12.7533,-87.1227,323.5,2023-01-04,1845,D,0
14.1029,-83.5864,309.6,2023-01-04,1845,D,0
12.4512,-87.065,302.2,2023-01-05,421,N,0
12.4675,-87.0439,301.9,2023-01-05,421,N,0
12.4648,-87.0667,315.9,2023-01-05,421,N,0
14.5683,-83.74,315.2,2023-01-05,1928,D,0
12.8789,-86.1731,323.0,2023-01-05,1928,D,0
12.8696,-86.1718,320.0,2023-01-05,1928,D,0
14.6015,-83.8022,302.3,2023-01-06,324,N,0
14.6012,-83.8088,302.7,2023-01-06,324,N,0
12.965,-87.1779,320.0,2023-01-07,1619,D,0
11.9821,-86.17,318.3,2023-01-07,1914,D,1
12.6926,-87.0127,310.7,2023-01-07,1915,D,1
12.5104,-86.9432,303.7,2023-01-09,349,N,0
12.5984,-87.1635,320.2,2023-01-09,1603,D,0
13.5398,-84.0224,309.6,2023-01-09,1901,D,0
12.1826,-86.3738,319.1,2023-01-10,1944,D,0
12.7567,-87.0735,318.0,2023-01-11,1848,D,0
12.7619,-87.0703,320.3,2023-01-11,1848,D,0
14.3485,-83.6337,311.6,2023-01-11,1849,D,0
14.1138,-83.5797,309.7,2023-01-11,1849,D,0
14.3678,-83.5883,312.1,2023-01-11,1849,D,0
14.3678,-83.5789,313.3,2023-01-11,1849,D,0
12.6667,-87.1249,324.1,2023-01-12,1931,D,0
12.6653,-87.1345,346.8,2023-01-12,1931,D,0
13.6624,-83.7255,313.5,2023-01-12,1931,D,0
12.6431,-86.9661,331.6,2023-01-12,1931,D,0
12.064,-83.7083,326.0,2023-01-14,358,N,0
12.0651,-83.7019,310.3,2023-01-14,358,N,0
12.2163,-86.0807,319.9,2023-01-14,1612,D,0
12.5795,-87.0804,332.4,2023-01-14,1917,D,0
12.6506,-86.9216,322.0,2023-01-14,1917,D,0
12.6988,-86.8374,318.1,2023-01-14,1917,D,0
12.9989,-83.587,311.5,2023-01-14,1917,D,0
14.2219,-83.3628,310.8,2023-01-16,343,N,0
14.2324,-83.3542,316.7,2023-01-16,343,N,0
14.2311,-83.3641,304.0,2023-01-16,343,N,0
14.2416,-83.3556,305.8,2023-01-16,343,N,0
14.2232,-83.3529,308.9,2023-01-16,343,N,0
13.0891,-85.9983,307.7,2023-01-16,1556,D,2
13.6846,-83.7206,321.1,2023-01-16,1556,D,0
11.8901,-86.4002,313.4,2023-01-16,1904,D,0
11.7201,-85.9468,310.1,2023-01-16,1904,D,0
11.9831,-86.1723,318.5,2023-01-16,1904,D,1
11.8885,-86.3932,313.6,2023-01-16,1904,D,0
14.1268,-83.4668,320.5,2023-01-16,1905,D,0
14.7266,-83.4644,317.0,2023-01-16,1905,D,0
12.7325,-87.0927,322.5,2023-01-18,1540,D,0
12.6077,-86.4275,329.1,2023-01-18,1851,D,0
12.612,-86.4349,326.0,2023-01-18,1851,D,0
13.2029,-83.626,313.3,2023-01-18,1851,D,0
13.395,-83.5808,311.0,2023-01-18,1851,D,0
13.3096,-84.2333,310.7,2023-01-18,1851,D,0
13.7074,-83.9212,315.9,2023-01-18,1851,D,0
13.7537,-83.7131,320.0,2023-01-18,1851,D,0
13.8449,-83.5859,361.7,2023-01-18,1851,D,0
13.8425,-83.6003,315.4,2023-01-18,1851,D,0
14.1905,-83.5758,312.7,2023-01-18,1851,D,0
14.1922,-83.5829,312.4,2023-01-18,1851,D,0
14.4324,-83.8655,314.0,2023-01-18,1851,D,0
14.4855,-83.8903,314.5,2023-01-18,1851,D,0
12.5483,-86.96,328.7,2023-01-19,1933,D,0
14.5147,-83.5253,311.4,2023-01-20,1838,D,0
14.5153,-83.4954,311.0,2023-01-20,1838,D,0
14.5192,-83.5008,315.3,2023-01-20,1838,D,0
