latitude,longitude,brightness,acq_date,acq_time,daynight,type
-2.2582,30.3502,323.7,2023-01-20,1158,D,0
-1.6193,30.8319,308.6,2023-02-11,1955,N,0
-1.6145,30.8333,300.3,2023-02-11,2332,N,0
-1.5074,30.5859,327.5,2023-02-19,1154,D,0
-1.5121,30.4866,331.0,2023-02-19,1154,D,0
-1.5137,30.4755,325.5,2023-02-19,1154,D,0
-1.5503,30.6114,323.0,2023-02-24,818,D,0
-1.5426,30.6049,316.4,2023-02-24,1210,D,0
-1.5201,30.754,300.3,2023-03-07,1958,N,0
-2.2716,30.2362,329.9,2023-03-14,1146,D,0
-1.5558,30.5604,314.1,2023-06-02,806,D,0
-1.5676,30.5457,320.9,2023-06-08,1134,D,0
-1.5693,30.5339,318.8,2023-06-08,1134,D,0
-1.5354,30.4816,318.8,2023-06-08,1134,D,0
-2.074,30.8157,317.0,2023-06-15,1134,D,0
-1.5839,30.4288,319.6,2023-06-20,1147,D,0
-1.5444,30.5136,320.0,2023-06-20,1147,D,0
-1.7186,30.7041,301.5,2023-06-28,8,N,0
-1.7259,30.715,300.8,2023-06-28,8,N,0
-2.6686,28.9139,311.5,2023-06-28,748,D,0
-1.7637,30.7165,330.4,2023-06-29,1132,D,0
-1.7742,30.7183,340.8,2023-06-29,1132,D,0
-1.7581,30.7261,340.3,2023-06-30,1214,D,0
-1.7805,30.7354,363.2,2023-06-30,1214,D,0
-1.7811,30.7517,323.0,2023-06-30,1214,D,0
-1.7842,30.7302,359.5,2023-06-30,1214,D,0
-1.5599,30.4142,330.3,2023-07-02,1200,D,0
-1.7915,30.7224,320.9,2023-07-02,1200,D,0
-1.5734,30.5265,319.2,2023-07-02,1200,D,0
-1.5615,30.4035,343.0,2023-07-02,1200,D,0
-1.5438,30.4558,324.7,2023-07-02,1200,D,0
-1.4173,30.566,312.4,2023-07-03,756,D,0
-1.5395,30.5806,315.1,2023-07-03,756,D,0
-1.7487,30.7576,325.6,2023-07-05,739,D,0
-1.7749,30.043,313.2,2023-07-05,739,D,0
-1.7412,30.777,302.0,2023-07-05,1959,N,0
-1.7203,30.7834,332.8,2023-07-06,820,D,0
-1.718,30.7878,313.7,2023-07-07,1213,D,0
-1.724,30.8102,328.6,2023-07-08,804,D,0
-1.7137,30.8025,334.1,2023-07-08,804,D,0
-1.715,30.8114,332.5,2023-07-08,804,D,0
-1.5868,30.5412,320.3,2023-07-11,1145,D,0
-1.5778,30.5397,325.1,2023-07-11,1145,D,0
-1.5665,30.4338,316.0,2023-07-15,755,D,0
-1.578,30.5241,316.5,2023-07-15,1116,D,0
-1.5903,30.5318,314.6,2023-07-15,1116,D,0
-1.746,30.7377,316.1,2023-07-16,835,D,0
-1.7557,30.7309,321.0,2023-07-16,835,D,0
-1.5591,30.4275,327.0,2023-07-16,1158,D,0
-1.7322,30.7003,345.9,2023-07-16,1158,D,0
