latitude,longitude,brightness,acq_date,acq_time,daynight,type
-19.7316,-175.0672,316.8,2023-01-02,1314,N,1
-19.7279,-175.0698,311.3,2023-01-12,2133,D,1
-19.7334,-175.0657,309.4,2023-01-18,1307,N,1
-19.7343,-175.0785,311.0,2023-01-29,2145,D,1
-19.73,-175.0661,306.4,2023-02-22,1319,N,1
-19.7306,-175.0763,311.0,2023-03-13,2143,D,1
-19.732,-175.0662,315.2,2023-03-13,2143,D,1
-19.7281,-175.0705,305.3,2023-04-28,1313,N,1
-19.7337,-175.0715,313.5,2023-05-18,138,D,1
-19.7297,-175.072,305.3,2023-06-11,1003,N,1
-19.7326,-175.0748,315.4,2023-07-25,144,D,1
-21.2517,-175.1527,314.8,2023-10-20,146,D,0
-21.2109,-175.1889,331.3,2023-10-20,146,D,0
-19.731,-175.0715,307.2,2023-12-01,950,N,1
-19.7302,-175.0666,311.4,2023-12-07,2130,D,1
