latitude,longitude,brightness,acq_date,acq_time,daynight,type
4.7674,114.6528,317.6,2024-02-24,607,D,0
4.896,114.8076,318.0,2024-02-26,225,D,0
4.7583,114.6478,313.6,2024-03-09,221,D,0
4.5483,114.5007,312.2,2024-03-09,555,D,0
4.5811,114.2105,312.3,2024-03-09,555,D,2
4.8149,114.6639,322.1,2024-03-12,620,D,2
4.8099,114.6918,316.1,2024-03-12,620,D,2
4.8112,114.7007,314.4,2024-03-12,620,D,2
4.7448,114.6254,318.5,2024-03-12,620,D,0
4.6665,114.4635,316.3,2024-03-12,620,D,0
4.6309,114.3852,302.5,2024-03-12,1838,N,0
4.6052,114.3842,320.2,2024-03-21,216,D,0
4.8029,114.6644,319.4,2024-03-21,557,D,2
4.8004,114.6499,312.9,2024-03-21,557,D,2
4.8034,114.6693,316.9,2024-03-21,557,D,2
4.6001,114.3817,313.0,2024-03-21,557,D,0
4.6492,114.4433,320.1,2024-03-26,222,D,0
4.7863,114.854,323.6,2024-03-26,607,D,0
4.7938,114.8594,329.5,2024-03-26,607,D,0
4.7918,114.8467,324.7,2024-03-26,607,D,0
4.5977,114.3745,303.2,2024-03-26,1824,N,0
4.6068,114.3758,318.3,2024-03-26,1824,N,0
4.982,114.9102,326.5,2024-03-28,551,D,0
4.9676,114.9125,333.7,2024-03-28,551,D,2
4.9718,114.9381,316.5,2024-03-28,551,D,2
4.9803,114.9152,338.3,2024-03-28,551,D,0
4.9659,114.9174,320.5,2024-03-28,551,D,2
4.7981,114.8567,320.9,2024-03-29,631,D,0
4.9821,114.9228,323.8,2024-03-29,632,D,0
4.9806,114.9125,324.8,2024-03-29,632,D,0
4.9792,114.9022,333.1,2024-03-29,632,D,2
4.5764,114.2067,309.7,2024-04-04,543,D,2
4.8978,114.7994,320.1,2024-04-12,617,D,0
4.8177,114.885,322.3,2024-04-12,617,D,0
4.762,114.6137,317.2,2024-05-06,618,D,0
4.9014,114.8025,315.7,2024-05-06,618,D,0
4.6667,114.4636,315.2,2024-05-21,229,D,0
4.6693,114.4625,307.5,2024-05-25,609,D,0
4.6692,114.4679,323.3,2024-06-09,210,D,2
4.6705,114.459,322.0,2024-06-09,210,D,0
4.6653,114.4724,310.0,2024-06-13,135,D,2
4.6677,114.4605,307.3,2024-07-08,200,D,0
4.6704,114.4631,316.3,2024-07-08,634,D,0
4.66593,114.47485,301.71,2024-08-16,1904,N,99
4.50998,114.57468,309.69,2024-09-10,219,D,99
4.60482,114.55713,307.18,2024-09-10,219,D,99
4.59364,114.55323,309.03,2024-10-02,219,D,99
4.50909,114.57236,310.22,2024-10-02,219,D,99
4.87329,114.7356,311.94,2024-11-02,640,D,99
4.67325,114.46616,314.72,2024-11-19,1845,N,99
4.67277,114.47091,312.17,2024-11-20,215,D,99
4.66046,114.45001,316.29,2024-11-21,609,D,99
4.65966,114.45708,315.45,2024-11-21,609,D,99
4.67265,114.4669,305.26,2024-11-21,1340,N,99
