latitude,longitude,brightness,acq_date,acq_time,daynight,type
16.851,-24.9941,319.3,2024-04-02,1200,D,0
15.0905,-23.7255,320.5,2024-07-17,1602,D,0
16.6137,-24.5973,311.6,2024-07-27,1615,D,3
16.61284,-24.59171,316.81,2024-08-06,1138,D,99
16.61797,-24.59998,311.37,2024-08-09,1514,D,99
16.73987,-24.70695,314.58,2024-09-04,1123,D,99
16.60749,-24.24566,313.03,2024-09-17,1516,D,99
16.6154,-24.58388,311.78,2024-09-18,1058,D,99
16.61296,-24.59165,310.1,2024-09-18,1058,D,99
14.81026,-24.70148,312.51,2024-10-18,1121,D,99
14.80896,-24.69222,310.44,2024-10-18,1121,D,99
