latitude,longitude,brightness,acq_date,acq_time,daynight,type
45.6536,47.6173,301.3,2024-02-27,1002,D,0
45.6227,47.5947,309.1,2024-02-29,946,D,0
45.4906,48.1314,312.8,2024-03-05,2329,N,0
45.6708,47.6477,343.2,2024-03-06,1037,D,0
45.669,47.6313,344.6,2024-03-06,1037,D,0
45.6808,47.6456,343.6,2024-03-06,1037,D,0
45.679,47.6292,334.9,2024-03-06,1037,D,0
45.6873,47.6107,361.2,2024-03-06,1037,D,0
45.6773,47.6485,349.2,2024-03-06,1750,N,0
45.6803,47.6648,347.1,2024-03-06,1750,N,0
45.6674,47.6523,384.5,2024-03-06,1750,N,0
45.6704,47.6686,388.9,2024-03-06,1750,N,0
45.6754,47.6429,331.2,2024-03-06,1750,N,0
46.4139,49.1508,322.6,2024-03-07,723,D,0
46.4156,49.1394,327.2,2024-03-07,2313,N,0
45.7456,48.3984,373.2,2024-03-08,1021,D,0
45.7439,48.3855,373.0,2024-03-08,1021,D,0
45.7546,48.3959,398.1,2024-03-08,1021,D,0
45.7652,48.4064,372.2,2024-03-08,1021,D,0
45.783,48.4015,371.2,2024-03-08,1021,D,0
45.7813,48.3886,374.8,2024-03-08,1021,D,0
45.831,48.5535,381.0,2024-03-08,1733,N,0
45.8214,48.5386,328.0,2024-03-08,1733,N,0
46.356,49.1743,303.6,2024-03-09,1813,N,0
45.7662,48.3676,330.1,2024-03-10,746,D,0
45.7506,48.3759,363.4,2024-03-10,1005,D,0
45.7483,48.3623,377.0,2024-03-10,1005,D,0
45.7557,48.3688,375.3,2024-03-10,1005,D,0
46.3725,49.1902,309.6,2024-03-10,2338,N,0
46.3845,49.164,326.6,2024-03-11,649,D,0
45.666,47.6792,313.7,2024-03-11,649,D,0
46.0305,48.6897,341.9,2024-03-12,949,D,0
46.4172,49.4018,347.6,2024-03-13,1030,D,0
46.4088,49.421,354.9,2024-03-13,1030,D,0
46.3647,49.4031,348.6,2024-03-15,1014,D,0
46.3739,49.3936,345.5,2024-03-15,1014,D,0
46.3721,49.3807,388.5,2024-03-15,1014,D,0
46.3879,49.3628,378.8,2024-03-15,1014,D,0
46.3968,49.3602,339.8,2024-03-15,1014,D,0
45.7016,48.6646,348.4,2024-03-27,1855,N,0
45.6856,48.6655,354.3,2024-03-27,1855,N,0
45.6969,48.7091,305.3,2024-03-27,2350,N,0
46.3818,49.3104,330.1,2024-03-28,1757,N,0
46.3799,49.2977,303.2,2024-03-28,1757,N,0
46.393,49.2911,395.6,2024-03-29,730,D,0
46.3965,49.2735,390.5,2024-03-29,730,D,0
46.4266,49.2197,364.0,2024-03-29,1001,D,0
45.9754,48.7656,331.4,2024-04-01,1026,D,0
45.9662,48.768,327.9,2024-04-01,1026,D,0
46.3192,49.4125,313.4,2024-04-01,1026,D,0
46.3222,49.4156,316.5,2024-04-01,1723,N,0
46.3585,49.3979,335.7,2024-04-01,1723,N,0
46.3197,49.4102,367.8,2024-04-02,656,D,0
46.318,49.4243,360.8,2024-04-02,656,D,0
46.3475,49.4169,348.8,2024-04-02,656,D,0
45.5237,47.6194,334.6,2024-04-02,929,D,0
45.5383,47.6112,329.7,2024-04-02,929,D,0
45.5529,47.6029,373.6,2024-04-02,929,D,0
45.5408,47.6029,334.6,2024-04-02,1107,D,0
46.3589,49.5839,376.0,2024-04-02,1107,D,0
45.5015,47.6344,311.6,2024-04-02,1803,N,0
46.3109,49.426,307.1,2024-04-02,1803,N,0
46.3204,49.4136,319.9,2024-04-02,2302,N,0
46.3159,49.4296,348.6,2024-04-03,736,D,0
45.5051,47.6262,367.2,2024-04-03,737,D,0
45.5027,47.6286,319.1,2024-04-03,1009,D,0
46.3102,49.4406,363.4,2024-04-03,1010,D,0
45.6265,47.7002,332.4,2024-04-06,1034,D,0
45.6361,47.698,327.8,2024-04-06,1034,D,0
45.6457,47.6957,318.9,2024-04-06,1034,D,0
46.3421,49.8167,362.6,2024-04-06,1034,D,0
46.4557,49.3207,334.8,2024-04-06,1729,N,0
46.4624,49.3101,309.5,2024-04-07,8,N,0
46.4637,49.3123,354.5,2024-04-07,702,D,0
45.3976,48.0062,303.3,2024-04-07,1809,N,0
46.3309,49.8125,301.5,2024-04-07,2311,N,0
45.6515,48.601,344.9,2024-04-08,743,D,0
45.6461,48.6251,363.6,2024-04-08,743,D,0
45.6512,48.6261,325.4,2024-04-08,1018,D,0
45.6582,48.611,367.5,2024-04-08,1018,D,0
45.7052,48.5979,326.0,2024-04-08,1712,N,0
45.7161,48.6389,338.4,2024-04-08,1712,N,0
45.7297,48.6485,317.6,2024-04-08,1850,N,0
45.7293,48.6153,342.7,2024-04-08,1850,N,0
45.7143,48.6165,320.3,2024-04-08,1850,N,0
45.6992,48.6176,300.8,2024-04-08,1850,N,0
45.7282,48.6084,334.8,2024-04-08,1850,N,0
45.7132,48.6096,313.3,2024-04-08,1850,N,0
45.7385,48.6494,358.1,2024-04-08,2352,N,0
45.7493,48.6541,337.2,2024-04-08,2352,N,0
45.6972,48.6486,324.0,2024-04-09,645,D,0
45.6989,48.6293,333.9,2024-04-09,645,D,0
45.7295,48.6543,327.4,2024-04-09,645,D,0
45.7403,48.6562,321.0,2024-04-09,645,D,0
45.7092,48.6373,335.4,2024-04-09,1059,D,0
45.7401,48.6297,321.5,2024-04-09,1059,D,0
45.7259,48.6311,329.3,2024-04-09,1059,D,0
45.7116,48.6326,331.4,2024-04-09,1059,D,0
45.6974,48.634,333.5,2024-04-09,1059,D,0
45.7235,48.6359,335.0,2024-04-09,1059,D,0
45.695,48.6387,330.2,2024-04-09,1059,D,0
45.6004,47.9922,360.0,2024-04-09,1752,N,0
45.5979,47.9778,369.4,2024-04-09,1752,N,0
45.7209,48.6479,323.7,2024-04-09,1752,N,0
45.6097,47.9888,308.9,2024-04-09,1752,N,0
45.6072,47.9745,396.7,2024-04-09,1752,N,0
45.6047,47.9601,329.3,2024-04-09,1752,N,0
45.7323,48.6585,316.3,2024-04-09,1752,N,0
45.6141,47.9567,320.1,2024-04-09,1752,N,0
45.5792,47.957,328.5,2024-04-10,725,D,0
45.5817,47.9426,348.1,2024-04-10,725,D,0
45.586,47.9747,349.0,2024-04-10,725,D,0
45.5885,47.9603,335.1,2024-04-10,725,D,0
45.5928,47.9924,340.0,2024-04-10,725,D,0
45.6071,47.9669,323.4,2024-04-10,725,D,0
45.6165,47.9702,346.0,2024-04-10,725,D,0
45.619,47.9558,341.4,2024-04-10,725,D,0
45.6224,47.9629,328.9,2024-04-10,725,D,0
45.625,47.9486,336.6,2024-04-10,725,D,0
45.6964,48.6468,316.9,2024-04-10,725,D,0
45.7059,48.6504,336.9,2024-04-10,725,D,0
45.7155,48.6539,344.4,2024-04-10,725,D,0
45.7222,48.6726,325.0,2024-04-10,725,D,0
45.725,48.6574,356.3,2024-04-10,725,D,0
45.7318,48.6762,320.3,2024-04-10,725,D,0
45.7346,48.6609,337.8,2024-04-10,725,D,0
45.7441,48.6645,343.6,2024-04-10,725,D,0
45.7537,48.668,339.9,2024-04-10,725,D,0
46.3009,49.8322,355.4,2024-04-10,725,D,0
46.2976,49.8373,339.9,2024-04-10,1002,D,0
45.6251,47.9541,332.4,2024-04-10,1002,D,0
45.7539,48.655,337.2,2024-04-10,1002,D,0
45.7565,48.6695,340.3,2024-04-10,1002,D,0
45.6155,47.9577,345.6,2024-04-10,1002,D,0
45.7446,48.6584,352.7,2024-04-10,1002,D,0
45.7472,48.6729,318.8,2024-04-10,1002,D,0
45.7353,48.6619,337.2,2024-04-10,1002,D,0
45.6088,47.982,350.4,2024-04-10,1002,D,0
45.7301,48.6535,327.9,2024-04-10,1002,D,0
45.7327,48.668,342.7,2024-04-10,1002,D,0
45.7208,48.657,359.7,2024-04-10,1002,D,0
45.7233,48.6715,338.5,2024-04-10,1002,D,0
45.581,47.9432,365.5,2024-04-10,1002,D,0
45.5839,47.9586,341.8,2024-04-10,1002,D,0
45.5896,47.9894,334.0,2024-04-10,1002,D,0
45.7088,48.646,341.8,2024-04-10,1002,D,0
45.7114,48.6605,334.4,2024-04-10,1002,D,0
45.5743,47.9623,344.0,2024-04-10,1002,D,0
45.5771,47.9777,353.9,2024-04-10,1002,D,0
45.6891,48.5913,353.7,2024-04-10,1002,D,0
45.6917,48.6059,357.6,2024-04-10,1002,D,0
45.6995,48.6494,347.6,2024-04-10,1002,D,0
45.6797,48.5948,322.1,2024-04-10,1002,D,0
45.6823,48.6093,345.2,2024-04-10,1002,D,0
45.7578,48.6709,305.1,2024-04-10,1832,N,0
45.5795,47.9576,312.2,2024-04-10,1832,N,0
45.5812,47.9785,302.4,2024-04-10,1832,N,0
45.5679,47.9427,327.7,2024-04-10,2336,N,0
45.5752,47.9508,300.1,2024-04-10,2336,N,0
45.7159,48.6673,331.7,2024-04-10,2336,N,0
45.725,48.6705,316.5,2024-04-10,2336,N,0
45.7294,48.679,305.3,2024-04-10,2336,N,0
45.7592,48.6749,314.4,2024-04-10,2336,N,0
45.7568,48.6887,306.0,2024-04-10,2336,N,0
45.6867,48.6041,325.7,2024-04-11,628,D,0
45.5731,47.9559,374.6,2024-04-11,628,D,0
45.5586,47.9547,391.8,2024-04-11,628,D,0
45.7297,48.6944,327.7,2024-04-11,805,D,0
45.7253,48.6849,328.2,2024-04-11,805,D,0
45.7098,48.6759,328.5,2024-04-11,805,D,0
45.6923,48.61,326.6,2024-04-11,805,D,0
45.6872,48.6024,326.9,2024-04-11,806,D,0
45.7227,48.6812,334.0,2024-04-11,1043,D,0
45.7208,48.6602,328.9,2024-04-11,1043,D,0
45.7078,48.657,328.1,2024-04-11,1043,D,0
45.5533,47.966,335.6,2024-04-11,1043,D,0
45.5514,47.9469,357.1,2024-04-11,1043,D,0
45.5659,47.9831,339.8,2024-04-11,1043,D,0
45.564,47.964,341.0,2024-04-11,1043,D,0
45.5567,47.9583,342.9,2024-04-11,1043,D,0
45.5692,47.9755,339.9,2024-04-11,1043,D,0
45.6816,48.6035,343.2,2024-04-11,1043,D,0
45.6213,47.9461,326.0,2024-04-11,1043,D,0
45.6983,48.6641,347.1,2024-04-11,1043,D,0
45.7321,48.674,354.7,2024-04-11,1043,D,0
45.7209,48.676,339.6,2024-04-11,1043,D,0
45.7433,48.672,343.7,2024-04-11,1043,D,0
45.7546,48.67,329.9,2024-04-11,1043,D,0
45.7096,48.6622,343.5,2024-04-11,1043,D,0
45.6928,48.6016,322.3,2024-04-11,1043,D,0
45.6909,48.5808,334.7,2024-04-11,1043,D,0
45.6815,48.5888,335.1,2024-04-12,708,D,0
45.6977,48.6774,333.8,2024-04-12,708,D,0
45.6995,48.6649,319.7,2024-04-12,708,D,0
45.7152,48.6824,334.4,2024-04-12,708,D,0
45.7222,48.6974,332.9,2024-04-12,708,D,0
45.724,48.6849,340.8,2024-04-12,708,D,0
45.731,48.7,370.3,2024-04-12,708,D,0
45.7328,48.6875,338.9,2024-04-12,708,D,0
45.7397,48.7025,359.6,2024-04-12,708,D,0
45.7415,48.69,352.4,2024-04-12,708,D,0
45.7485,48.705,308.2,2024-04-12,708,D,0
45.7503,48.6925,323.5,2024-04-12,708,D,0
46.337,49.8113,315.2,2024-04-12,708,D,0
46.2962,49.8384,358.2,2024-04-12,708,D,0
45.7231,48.695,336.7,2024-04-12,946,D,0
45.6182,47.9564,328.4,2024-04-12,946,D,0
45.7736,48.713,373.4,2024-04-12,946,D,0
45.7576,48.6963,371.1,2024-04-12,946,D,0
45.7624,48.718,384.0,2024-04-12,946,D,0
45.7464,48.7013,358.9,2024-04-12,946,D,0
45.7512,48.7231,335.7,2024-04-12,946,D,0
45.7353,48.7064,344.8,2024-04-12,946,D,0
45.5545,47.9596,328.6,2024-04-12,946,D,0
45.7343,48.6899,335.1,2024-04-12,946,D,0
45.739,48.7117,349.5,2024-04-12,946,D,0
45.5454,47.9444,313.3,2024-04-12,946,D,0
