latitude,longitude,brightness,acq_date,acq_time,daynight,type
-0.9294,15.9489,317.9,2024-01-01,849,D,0
-0.9281,15.9399,315.5,2024-01-01,849,D,0
-0.5493,16.0696,312.7,2024-01-01,849,D,0
-4.8905,11.9132,310.7,2024-01-01,1308,D,2
-2.1421,16.0903,325.3,2024-01-01,1309,D,0
-2.4553,15.1549,314.8,2024-01-01,1309,D,0
-2.1404,16.1018,318.2,2024-01-01,1309,D,0
-4.8596,12.0305,308.4,2024-01-01,2108,N,2
-4.8608,12.0215,319.1,2024-01-01,2108,N,2
-3.3899,16.0608,315.4,2024-01-03,1253,D,0
-3.3195,15.9765,316.0,2024-01-03,1253,D,0
-3.3317,15.7672,314.5,2024-01-03,1253,D,0
-3.3645,15.2156,328.1,2024-01-03,1253,D,0
-3.3658,15.206,320.7,2024-01-03,1253,D,0
-3.3539,15.2238,319.4,2024-01-03,1253,D,0
-3.3552,15.2142,331.2,2024-01-03,1253,D,0
-3.0819,15.58,328.9,2024-01-03,1253,D,0
-2.9981,15.8405,318.4,2024-01-03,1253,D,0
-2.9994,15.8314,324.5,2024-01-03,1253,D,0
-2.9149,16.0996,324.2,2024-01-03,1253,D,0
-2.9162,16.0906,321.8,2024-01-03,1253,D,0
-2.8045,15.6539,327.8,2024-01-03,1253,D,0
-2.7741,15.4798,311.5,2024-01-03,1253,D,0
-2.7312,15.1981,324.9,2024-01-03,1253,D,0
-2.7326,15.1884,332.5,2024-01-03,1253,D,0
-2.7019,15.2715,323.1,2024-01-03,1253,D,0
-2.6688,15.3724,324.2,2024-01-03,1253,D,0
-2.6702,15.363,327.6,2024-01-03,1253,D,0
-2.5927,15.7795,318.9,2024-01-03,1253,D,0
-2.4208,15.309,313.5,2024-01-03,1253,D,0
-2.4404,14.8565,315.4,2024-01-03,1253,D,0
-2.5932,15.3267,322.5,2024-01-03,1253,D,0
-2.584,15.3253,322.8,2024-01-03,1253,D,0
-2.4318,15.9344,323.6,2024-01-03,1253,D,0
-2.4331,15.9254,322.6,2024-01-03,1253,D,0
-2.4948,15.185,317.3,2024-01-03,1253,D,0
-2.4962,15.1756,324.6,2024-01-03,1253,D,0
-2.4436,15.4739,316.9,2024-01-03,1253,D,0
-2.4283,15.3864,316.1,2024-01-03,1253,D,0
-2.4021,15.4395,329.7,2024-01-03,1253,D,0
-3.5585,15.3437,318.5,2024-01-03,1253,D,0
0.828,17.3179,315.5,2024-01-03,1254,D,0
0.9016,17.123,317.5,2024-01-03,1254,D,0
0.9249,17.1604,318.0,2024-01-03,1254,D,0
0.9339,17.1591,336.8,2024-01-03,1254,D,0
0.9429,17.1578,338.3,2024-01-03,1254,D,0
0.9416,17.1486,317.8,2024-01-03,1254,D,0
0.9647,17.1174,313.6,2024-01-03,1254,D,0
0.9634,17.1083,319.2,2024-01-03,1254,D,0
1.5375,17.3835,313.2,2024-01-03,1254,D,0
1.4113,16.3204,311.0,2024-01-03,1254,D,2
-2.1779,15.0718,313.8,2024-01-03,1254,D,0
-2.1284,15.7367,325.4,2024-01-03,1254,D,0
-2.1387,15.7289,339.2,2024-01-03,1254,D,0
-2.1374,15.738,340.7,2024-01-03,1254,D,0
-2.3727,15.0634,324.1,2024-01-03,1254,D,0
1.4287,16.1757,312.1,2024-01-03,1254,D,2
-1.2448,15.538,317.7,2024-01-03,1254,D,0
-1.348,16.0959,320.1,2024-01-03,1254,D,0
-1.357,16.0972,320.0,2024-01-03,1254,D,0
-1.5474,16.0554,315.6,2024-01-03,1254,D,0
-1.562,16.1547,315.8,2024-01-03,1254,D,0
-0.9137,15.6653,324.6,2024-01-03,1254,D,0
-0.923,15.5379,317.1,2024-01-03,1254,D,2
-1.0111,14.8623,323.1,2024-01-03,1254,D,0
-0.838,15.6112,322.2,2024-01-03,1254,D,0
-0.6002,15.7291,317.6,2024-01-03,1254,D,0
-0.2973,15.7152,313.7,2024-01-03,1254,D,0
-0.0992,15.747,316.9,2024-01-03,1254,D,0
0.8306,17.3363,314.5,2024-01-03,1254,D,0
0.8293,17.3271,335.2,2024-01-03,1254,D,0
3.3692,17.1781,317.9,2024-01-03,1255,D,0
-4.9316,12.0831,301.9,2024-01-03,2051,N,0
-4.8599,12.0204,310.9,2024-01-03,2051,N,2
-4.5117,12.0575,304.9,2024-01-03,2051,N,2
-4.5137,12.0423,310.3,2024-01-03,2051,N,2
1.4388,16.1607,304.6,2024-01-03,2052,N,0
-4.8602,12.0255,329.0,2024-01-04,913,D,2
-4.5155,12.0573,318.8,2024-01-04,913,D,2
-4.5141,12.0474,320.2,2024-01-04,913,D,2
-1.973,14.7348,311.1,2024-01-04,1335,D,0
-1.9744,14.7277,315.1,2024-01-04,1335,D,0
-4.9346,12.0819,302.2,2024-01-04,2131,N,0
-4.8621,12.0314,304.1,2024-01-04,2131,N,2
-4.8645,12.0155,303.5,2024-01-04,2131,N,2
-4.5155,12.0533,311.2,2024-01-04,2131,N,2
-4.8648,12.0312,310.0,2024-01-05,1238,D,2
-4.0984,15.0287,312.1,2024-01-05,1238,D,0
-4.0457,15.1332,317.0,2024-01-05,1238,D,0
-4.0482,15.1155,328.0,2024-01-05,1238,D,0
-2.7451,14.5216,312.5,2024-01-05,1238,D,0
-2.3882,15.9241,320.5,2024-01-05,1238,D,0
-2.272,15.9301,319.7,2024-01-05,1238,D,0
-2.2067,15.3468,307.5,2024-01-05,1238,D,0
-1.7733,16.1344,313.9,2024-01-05,1238,D,0
-1.9204,14.9997,326.6,2024-01-05,1238,D,0
-1.7715,16.1273,311.1,2024-01-05,1238,D,0
-1.9274,14.9936,316.9,2024-01-05,1238,D,0
-1.6231,15.6537,315.0,2024-01-05,1238,D,0
-1.4128,15.1275,316.1,2024-01-05,1238,D,0
-1.3331,14.785,317.3,2024-01-05,1238,D,0
-0.3594,15.7268,311.2,2024-01-05,1239,D,0
-0.3415,15.6953,313.3,2024-01-05,1239,D,0
-0.272,15.6275,311.6,2024-01-05,1239,D,0
-0.2722,15.6224,313.6,2024-01-05,1239,D,0
-0.3626,15.7196,312.1,2024-01-05,1239,D,0
-4.5096,12.0436,307.8,2024-01-05,2034,N,2
-1.9274,14.386,310.1,2024-01-05,2035,N,0
-1.9401,14.3875,315.0,2024-01-05,2035,N,0
-1.9224,14.3936,319.0,2024-01-06,100,N,0
-1.8583,15.511,300.2,2024-01-06,100,N,0
-1.9135,14.3949,338.1,2024-01-06,100,N,0
-1.9148,14.4037,318.2,2024-01-06,100,N,0
-1.9237,14.4024,335.2,2024-01-06,100,N,0
-1.9211,14.3847,308.7,2024-01-06,100,N,0
-4.5112,12.0487,315.3,2024-01-06,101,N,2
-4.9341,12.0908,303.5,2024-01-06,101,N,0
-4.8585,12.0323,315.5,2024-01-06,101,N,2
-4.857,12.0225,307.9,2024-01-06,101,N,2
-4.5127,12.0586,312.5,2024-01-06,101,N,2
2.805,18.0219,311.3,2024-01-06,854,D,0
-0.0105,15.4583,314.6,2024-01-06,855,D,0
-0.3483,15.69,319.3,2024-01-06,855,D,0
-0.3496,15.6989,311.2,2024-01-06,855,D,0
-1.3632,16.1983,319.7,2024-01-06,855,D,0
-2.1141,15.0835,311.2,2024-01-06,856,D,0
-3.5268,15.2124,318.9,2024-01-06,856,D,0
-3.5281,15.2214,315.5,2024-01-06,856,D,0
-3.541,15.3113,309.5,2024-01-06,856,D,0
-4.8599,12.0316,323.2,2024-01-06,857,D,2
