latitude,longitude,brightness,acq_date,acq_time,daynight,type
9.1921,-3.9658,302.4,2024-01-01,225,N,0
8.1966,-2.8325,309.9,2024-01-01,225,N,0
8.4052,-8.2345,300.2,2024-01-01,225,N,0
7.9923,-7.2664,306.0,2024-01-01,225,N,0
10.3862,-6.6257,317.6,2024-01-01,1024,D,0
9.5859,-5.297,320.4,2024-01-01,1025,D,0
9.5846,-5.2881,388.7,2024-01-01,1025,D,0
9.5833,-5.2791,336.5,2024-01-01,1025,D,0
9.2763,-4.0273,317.5,2024-01-01,1025,D,0
9.2748,-4.0175,327.9,2024-01-01,1025,D,0
9.1979,-3.9951,322.1,2024-01-01,1025,D,0
9.1964,-3.9854,335.6,2024-01-01,1025,D,0
9.1949,-3.9757,400.7,2024-01-01,1025,D,0
9.1934,-3.9659,352.0,2024-01-01,1025,D,0
9.2031,-4.2079,317.3,2024-01-01,1025,D,0
9.2016,-4.1983,330.2,2024-01-01,1025,D,0
9.1939,-4.2093,332.1,2024-01-01,1025,D,0
8.0097,-7.0954,317.8,2024-01-01,1025,D,0
7.974,-7.1004,328.1,2024-01-01,1025,D,0
7.9873,-7.2632,314.3,2024-01-01,1025,D,0
7.965,-7.1081,327.4,2024-01-01,1025,D,0
7.9783,-7.2644,312.5,2024-01-01,1025,D,0
7.8666,-7.193,317.8,2024-01-01,1025,D,0
7.8653,-7.1839,314.7,2024-01-01,1025,D,0
7.4395,-4.4587,311.4,2024-01-01,1025,D,0
9.1925,-4.1997,329.0,2024-01-01,1025,D,0
9.1502,-3.9787,317.1,2024-01-01,1025,D,0
9.1488,-3.969,316.0,2024-01-01,1025,D,0
9.005,-4.0662,333.4,2024-01-01,1025,D,0
9.0035,-4.0565,321.8,2024-01-01,1025,D,0
8.9621,-3.8276,317.5,2024-01-01,1025,D,0
8.9203,-3.8034,318.5,2024-01-01,1025,D,0
8.8312,-3.2143,318.0,2024-01-01,1025,D,0
8.9032,-3.8161,317.8,2024-01-01,1025,D,0
8.8869,-4.0069,330.0,2024-01-01,1025,D,0
8.8854,-3.997,325.4,2024-01-01,1025,D,0
8.7967,-3.7868,325.1,2024-01-01,1025,D,0
8.7952,-3.7767,318.5,2024-01-01,1025,D,0
8.4077,-2.5884,316.2,2024-01-01,1025,D,0
8.2964,-2.5993,317.3,2024-01-01,1025,D,0
7.8861,-3.8712,310.5,2024-01-01,1025,D,0
8.0522,-7.2009,316.4,2024-01-01,1025,D,0
8.0356,-7.2126,322.9,2024-01-01,1025,D,0
8.0384,-7.1264,316.1,2024-01-01,1450,D,0
8.0871,-7.359,316.9,2024-01-01,1450,D,0
8.6383,-3.6704,319.8,2024-01-01,1450,D,0
8.6371,-3.675,318.0,2024-01-01,1450,D,0
8.7518,-3.7805,323.7,2024-01-01,1450,D,0
8.8045,-3.7865,326.9,2024-01-01,1450,D,0
8.7512,-3.785,322.8,2024-01-01,1450,D,0
8.8038,-3.7912,325.4,2024-01-01,1450,D,0
8.9654,-3.9437,318.6,2024-01-01,1450,D,0
8.001,-7.099,320.5,2024-01-01,1450,D,0
7.9609,-7.1335,321.2,2024-01-01,1450,D,0
7.9447,-7.1534,325.8,2024-01-01,1450,D,0
7.9475,-7.1316,378.8,2024-01-01,1450,D,0
7.9504,-7.1097,341.1,2024-01-01,1450,D,0
7.9323,-6.5386,316.5,2024-01-01,1450,D,0
7.5516,-7.4631,321.5,2024-01-01,1450,D,0
8.9656,-3.9489,319.5,2024-01-01,1450,D,0
7.9982,-7.121,317.7,2024-01-01,1450,D,0
8.3232,-4.6316,313.7,2024-01-01,1450,D,0
8.7228,-7.3772,313.9,2024-01-01,1451,D,0
9.2242,-4.0328,323.2,2024-01-01,1451,D,0
9.2319,-4.001,318.4,2024-01-01,1451,D,0
9.2271,-4.0411,320.3,2024-01-01,1451,D,0
9.1123,-3.9329,320.5,2024-01-01,1451,D,0
9.1122,-3.9379,320.1,2024-01-01,1451,D,0
6.5259,-4.9258,314.1,2024-01-02,1353,D,0
6.8293,-4.6225,320.2,2024-01-02,1353,D,0
6.8289,-4.6134,312.6,2024-01-02,1353,D,0
