latitude,longitude,brightness,acq_date,acq_time,daynight,type
-8.5612,125.5629,313.5,2024-01-03,159,D,2
-8.5555,125.5658,311.8,2024-03-06,201,D,2
-8.5569,125.5552,311.0,2024-03-23,202,D,2
-8.6481,125.8548,314.8,2024-03-27,128,D,0
-8.7418,125.2402,315.0,2024-04-23,533,D,0
-8.7764,125.2298,315.0,2024-04-25,124,D,0
-8.7501,125.1653,312.1,2024-05-15,146,D,0
-9.0245,126.0711,323.5,2024-06-15,538,D,0
-9.0231,126.0774,315.9,2024-06-15,538,D,0
-9.0247,126.0656,316.1,2024-06-15,538,D,0
-8.9285,125.3265,318.5,2024-06-20,545,D,0
-8.7474,125.1737,315.1,2024-06-22,528,D,0
-8.7447,125.1948,313.3,2024-06-22,528,D,0
-8.5212,125.7895,334.3,2024-07-07,123,D,0
-8.5225,125.7989,317.3,2024-07-07,123,D,0
-8.617,126.1176,309.9,2024-07-09,106,D,0
-8.5467,126.3671,308.9,2024-07-09,532,D,0
-8.5486,126.3527,310.1,2024-07-09,532,D,0
-9.0674,125.1918,317.4,2024-07-12,556,D,0
-9.0585,125.1904,315.9,2024-07-12,556,D,0
-8.4653,126.3805,311.6,2024-07-14,111,D,0
-8.5421,126.3646,319.1,2024-07-14,539,D,0
-8.4791,126.371,320.5,2024-07-14,539,D,0
-8.5109,125.7963,306.6,2024-07-14,1326,N,0
-9.1053,125.9546,311.6,2024-07-17,603,D,0
-9.0358,124.9477,315.7,2024-07-22,610,D,0
-8.24251,125.53172,318.47,2024-08-03,608,D,99
-8.6751,125.76151,315.48,2024-08-10,117,D,99
-8.19099,125.59805,323.63,2024-08-10,555,D,99
-8.1897,125.60698,318.4,2024-08-10,555,D,99
-9.18366,125.03973,311.18,2024-08-10,555,D,99
-8.18108,125.61964,315.25,2024-08-12,540,D,99
-8.96757,126.06785,314.68,2024-08-12,540,D,99
-8.96568,126.08159,314.27,2024-08-12,540,D,99
-8.19224,125.62092,317.87,2024-08-12,540,D,99
-8.71325,125.87283,306.51,2024-08-15,122,D,99
-9.07039,125.99124,311.59,2024-08-15,601,D,99
-8.96515,126.07404,315.26,2024-08-15,601,D,99
-8.87758,125.36041,319.15,2024-08-15,601,D,99
-8.62411,126.2001,318.15,2024-08-15,601,D,99
-8.62554,126.19041,318.91,2024-08-15,601,D,99
-8.64483,126.31557,315.98,2024-08-17,105,D,99
-8.66688,125.88743,336.39,2024-08-17,544,D,99
-8.536,126.30345,313.47,2024-08-18,625,D,99
-9.19953,125.07081,311.07,2024-08-20,126,D,99
-8.63202,126.19879,318.97,2024-08-20,608,D,99
-8.87394,125.35791,319.21,2024-08-20,608,D,99
-8.22324,125.59093,312.41,2024-08-22,109,D,99
-8.22461,125.60011,316.66,2024-08-22,109,D,99
-8.58199,126.30569,319.87,2024-08-23,629,D,99
-8.53331,126.29146,340.18,2024-08-25,612,D,99
-8.54425,126.29313,321.21,2024-08-25,612,D,99
-8.53786,126.2849,362.81,2024-08-25,612,D,99
-8.73522,125.48529,314.6,2024-08-27,111,D,99
-8.57773,125.79398,316.71,2024-08-27,111,D,99
-8.73654,125.49435,342.91,2024-08-27,111,D,99
-8.59234,125.82966,321.98,2024-08-27,555,D,99
-8.66971,125.74742,326.21,2024-08-27,555,D,99
-8.68759,125.68602,327.15,2024-08-27,555,D,99
-8.68247,125.72163,331.89,2024-08-27,555,D,99
-8.72617,125.4798,316.96,2024-08-27,555,D,99
-8.72486,125.48896,342.29,2024-08-27,555,D,99
-8.6875,125.74983,320.6,2024-08-27,555,D,99
-8.73377,125.49036,317.01,2024-08-27,555,D,99
-8.66531,126.0295,320.47,2024-08-27,555,D,99
-8.64707,126.21786,319.96,2024-08-27,555,D,99
-8.68432,126.02324,318.55,2024-08-27,555,D,99
-9.02219,125.86015,317.97,2024-08-27,555,D,99
-9.10012,125.17822,316.7,2024-08-27,555,D,99
-8.72695,125.49641,300.88,2024-08-27,1329,N,99
-8.72822,125.48744,302.64,2024-08-27,1329,N,99
-8.53495,126.29974,315.77,2024-08-28,635,D,99
-8.53349,126.29505,316.11,2024-08-28,635,D,99
-8.69447,125.70145,314.81,2024-09-01,117,D,99
-8.49281,125.89908,324.58,2024-09-01,117,D,99
-8.66964,126.14919,322.35,2024-09-01,601,D,99
-8.75216,125.59298,320.13,2024-09-01,601,D,99
-8.67639,126.09845,316.51,2024-09-03,58,D,99
-8.58644,125.75099,314.31,2024-09-03,544,D,99
-8.67026,125.6014,324.24,2024-09-03,544,D,99
-8.63328,126.30238,316.88,2024-09-03,544,D,99
-8.82868,125.23237,323.16,2024-09-03,544,D,99
-8.89778,125.63847,327.66,2024-09-03,544,D,99
-8.61991,126.10378,321.1,2024-09-04,625,D,99
-9.06691,125.19501,325.13,2024-09-06,608,D,99
-8.65191,126.28062,317.28,2024-09-08,548,D,99
-8.52977,126.31037,322.09,2024-09-08,548,D,99
-8.64856,126.05058,323.84,2024-09-08,548,D,99
-8.56153,126.29974,319.76,2024-09-09,629,D,99
-8.66047,125.76743,315.73,2024-09-10,531,D,99
-8.72152,125.74654,317.39,2024-09-11,124,D,99
-8.51644,125.81132,339.25,2024-09-11,124,D,99
-8.51784,125.82151,321.0,2024-09-11,124,D,99
