latitude,longitude,brightness,acq_date,acq_time,daynight,type
-2.004,-78.3358,307.4,2024-01-01,724,N,1
0.0899,-76.8859,313.4,2024-01-01,1523,D,2
-0.0774,-77.6652,301.1,2024-01-03,246,N,1
-2.0082,-78.3412,308.1,2024-01-03,709,N,1
-2.0006,-78.3314,315.6,2024-01-03,709,N,1
-1.9993,-78.34,346.3,2024-01-03,709,N,1
-2.0094,-78.3327,306.3,2024-01-03,709,N,1
-0.0803,-77.6636,301.0,2024-01-04,327,N,1
-4.0683,-78.9577,314.7,2024-01-05,1913,D,2
-2.2576,-80.5729,308.4,2024-01-05,1913,D,0
0.0936,-76.7522,301.5,2024-01-05,1914,D,0
-0.2559,-79.4858,307.2,2024-01-05,1914,D,2
1.0752,-79.2084,326.6,2024-01-05,1914,D,0
-2.0097,-78.3428,407.1,2024-01-06,309,N,1
-2.0085,-78.3341,368.8,2024-01-06,309,N,1
-2.0009,-78.3441,366.8,2024-01-06,309,N,1
-1.9997,-78.3353,315.8,2024-01-06,309,N,1
-2.0138,-78.3027,307.4,2024-01-06,735,N,1
-1.9971,-78.3317,320.3,2024-01-06,735,N,1
-2.0093,-78.3346,335.2,2024-01-06,735,N,1
-2.0034,-78.3229,304.7,2024-01-07,638,N,1
-1.9998,-78.3455,322.1,2024-01-07,638,N,1
0.477,-78.175,313.6,2024-01-07,1858,D,0
0.085,-76.8945,319.7,2024-01-10,1924,D,2
-2.0028,-78.3363,344.9,2024-01-12,649,N,1
-1.8617,-79.9751,312.5,2024-01-12,1908,D,2
-1.8733,-79.985,314.1,2024-01-12,1908,D,2
1.28,-78.8376,314.5,2024-01-12,1909,D,2
-2.0104,-78.3174,314.2,2024-01-13,730,N,1
0.3244,-79.4689,313.8,2024-01-13,1519,D,0
1.2842,-78.8368,313.7,2024-01-13,1519,D,2
-1.0031,-77.8127,312.2,2024-01-13,1520,D,2
-2.6787,-79.6132,313.5,2024-01-13,1520,D,2
-1.5751,-79.4653,311.6,2024-01-13,1520,D,0
-0.955,-79.3558,312.2,2024-01-13,1520,D,0
-0.9929,-77.8112,310.2,2024-01-13,1520,D,2
-0.9453,-79.2253,311.5,2024-01-13,1520,D,0
-0.9439,-79.235,313.4,2024-01-13,1520,D,0
-3.8246,-78.7539,310.0,2024-01-13,1521,D,0
-1.9921,-78.3632,326.6,2024-01-14,633,N,1
-1.9985,-78.3228,316.6,2024-01-14,633,N,1
-1.99,-78.3519,306.6,2024-01-14,633,N,1
-2.0079,-78.3473,325.0,2024-01-14,633,N,1
-2.0118,-78.3214,301.3,2024-01-14,633,N,1
-2.6719,-79.6143,312.8,2024-01-18,1527,D,2
-2.0085,-78.337,346.9,2024-01-19,643,N,1
-2.0106,-78.3233,303.6,2024-01-19,643,N,1
