latitude,longitude,brightness,acq_date,acq_time,daynight,type
-26.3261,31.5515,320.2,2024-01-07,1216,D,0
-26.5014,31.0939,308.1,2024-01-25,1134,D,0
-26.654,30.85,318.1,2024-01-26,1216,D,0
-26.7972,30.9359,309.3,2024-01-29,813,D,0
-26.7914,30.9297,308.8,2024-01-29,813,D,0
-27.155,31.2802,319.1,2024-02-07,746,D,0
-26.4176,30.9899,321.6,2024-02-07,746,D,0
-26.5839,30.8933,365.1,2024-02-07,1220,D,0
-25.9613,31.3323,372.7,2024-02-07,1220,D,0
-25.8951,31.2237,351.7,2024-02-07,1220,D,0
-26.5823,30.9036,328.7,2024-02-07,1220,D,0
-25.9853,31.1719,317.3,2024-02-14,1214,D,0
-26.0031,31.1753,337.2,2024-02-14,1214,D,0
-26.0121,31.1769,326.9,2024-02-14,1214,D,0
-26.6451,30.938,365.2,2024-02-14,1214,D,0
-26.427,31.0127,325.1,2024-02-15,815,D,0
-26.4244,30.9716,331.0,2024-02-15,815,D,0
-26.4213,31.0205,323.0,2024-02-15,815,D,0
-26.4184,30.9796,335.7,2024-02-15,815,D,0
-25.9788,31.3319,310.9,2024-02-15,815,D,0
-25.9745,31.3396,314.4,2024-02-15,815,D,0
-26.9821,30.9676,343.1,2024-02-21,724,D,0
-26.431,30.9887,310.5,2024-02-21,724,D,0
-26.4234,31.0015,323.9,2024-02-21,724,D,0
-26.4216,30.9907,345.7,2024-02-21,724,D,0
-25.9443,31.2946,338.1,2024-02-21,1208,D,0
-26.651,30.8925,330.1,2024-02-21,1208,D,0
-26.6603,30.894,322.9,2024-02-21,1208,D,0
-26.4558,31.0184,333.6,2024-03-01,1146,D,0
-26.4634,31.0466,316.0,2024-03-01,1146,D,0
-26.4655,31.0243,346.2,2024-03-01,1146,D,0
-26.4536,31.0403,328.7,2024-03-01,1146,D,0
-26.2206,32.0167,329.7,2024-03-02,1227,D,0
-25.9919,31.1927,315.9,2024-03-04,719,D,0
-27.0145,30.9721,320.8,2024-03-04,720,D,0
-27.1145,31.2702,359.8,2024-03-04,720,D,0
-27.1163,31.2816,363.5,2024-03-04,720,D,0
-25.9334,31.2808,321.2,2024-03-06,1156,D,0
-25.9317,31.2957,317.1,2024-03-06,1156,D,0
-25.9648,31.3204,320.9,2024-03-06,1156,D,0
-25.9631,31.3354,333.9,2024-03-06,1156,D,0
-25.9756,31.3218,323.3,2024-03-06,1156,D,0
-25.9739,31.3365,345.0,2024-03-06,1156,D,0
-26.3723,31.0326,341.1,2024-03-06,1156,D,0
-26.4123,30.9763,323.1,2024-03-06,1156,D,0
-26.4927,30.9767,313.7,2024-03-06,1156,D,0
-26.4909,30.993,353.4,2024-03-06,1156,D,0
-26.5882,30.9318,318.3,2024-03-06,1156,D,0
-26.6198,30.8526,316.7,2024-03-06,1156,D,0
-26.3706,31.0479,357.7,2024-03-06,1156,D,0
-26.403,30.9591,390.0,2024-03-06,1156,D,0
-26.4012,30.9747,412.3,2024-03-06,1156,D,0
-26.414,30.961,313.9,2024-03-06,1156,D,0
-26.4205,30.9942,371.6,2024-03-12,749,D,0
-26.4522,31.8569,315.3,2024-03-16,1214,D,0
-26.4527,31.041,341.9,2024-03-19,1239,D,0
-26.4493,31.0589,364.2,2024-03-19,1239,D,0
-27.0513,31.2042,315.6,2024-03-19,1239,D,0
-27.0587,31.2135,318.3,2024-03-19,1239,D,0
-27.1271,31.2728,314.5,2024-03-19,1239,D,0
-27.1237,31.2908,327.3,2024-03-19,1239,D,0
-27.0475,31.0779,320.5,2024-03-28,1217,D,0
-26.3378,31.0996,323.9,2024-04-04,1210,D,0
-26.3392,31.0889,356.3,2024-04-04,1210,D,0
-26.028,31.1632,317.8,2024-04-04,1210,D,0
-26.0188,31.1618,310.2,2024-04-04,1210,D,0
-25.9413,31.3206,310.7,2024-04-04,1210,D,0
-25.9552,31.2165,384.8,2024-04-04,1210,D,0
-25.946,31.2152,320.0,2024-04-04,1210,D,0
-25.7269,31.3859,305.8,2024-04-13,808,D,0
-26.7413,31.946,305.0,2024-04-16,1211,D,0
-25.9188,31.2622,312.1,2024-04-18,1155,D,0
-27.1055,31.2352,314.1,2024-04-22,740,D,0
-27.107,31.247,316.0,2024-04-22,740,D,0
-27.1355,31.158,306.5,2024-04-22,740,D,0
-27.137,31.1699,320.1,2024-04-22,740,D,0
-25.9151,31.1604,340.3,2024-04-22,740,D,0
-26.332,31.0957,378.1,2024-04-22,740,D,0
-26.3335,31.1072,328.5,2024-04-22,740,D,0
-26.5739,30.9043,342.8,2024-04-23,1203,D,0
-26.5754,30.891,319.2,2024-04-23,1203,D,0
-26.3748,31.0386,316.3,2024-04-23,1203,D,0
-26.3646,31.0372,316.9,2024-04-23,1203,D,0
-26.1926,31.9055,318.3,2024-04-23,2026,N,0
-26.757,31.9307,302.6,2024-04-23,2026,N,0
-26.1867,31.9335,307.2,2024-04-23,2026,N,0
-26.1909,31.9116,327.2,2024-04-23,2026,N,0
-26.1884,31.9273,320.5,2024-04-23,2026,N,0
-27.0914,31.1552,332.3,2024-04-24,1244,D,0
-26.6055,30.9156,309.8,2024-04-24,1244,D,0
-26.822,31.1777,304.0,2024-04-26,1228,D,0
-26.3275,31.5555,312.8,2024-04-26,1228,D,0
-25.8922,31.3785,315.3,2024-04-29,728,D,0
-26.0209,31.6326,313.3,2024-04-29,728,D,0
-25.8936,31.3883,317.1,2024-04-29,728,D,0
-25.7324,31.3672,336.5,2024-04-30,1156,D,0
-26.0256,31.6433,307.7,2024-05-02,751,D,0
-25.8963,31.2214,340.3,2024-05-02,751,D,0
-25.8983,31.2402,313.7,2024-05-02,751,D,0
-25.8923,31.2166,324.3,2024-05-02,751,D,0
-25.8941,31.2346,327.6,2024-05-02,751,D,0
-26.722,31.7301,314.7,2024-05-02,1139,D,0
-26.7258,31.7261,312.9,2024-05-02,1139,D,0
-26.1837,31.9444,374.6,2024-05-02,1958,N,0
-26.1748,31.9429,304.7,2024-05-02,1958,N,0
-26.1851,31.9346,301.7,2024-05-02,1958,N,0
-26.0311,31.6335,336.1,2024-05-03,1220,D,0
-26.0664,31.5336,337.0,2024-05-06,717,D,0
-26.0682,31.5449,309.1,2024-05-06,717,D,0
-25.9667,31.1543,305.6,2024-05-07,757,D,0
-25.9649,31.1485,308.3,2024-05-07,757,D,0
-26.0389,31.5217,310.3,2024-05-07,757,D,0
-26.9835,30.9663,314.1,2024-05-07,757,D,0
-27.0981,31.2305,310.7,2024-05-07,757,D,0
-27.1002,31.2536,385.2,2024-05-07,757,D,0
-26.0378,31.7998,342.0,2024-05-07,2003,N,0
-26.0362,31.8101,337.7,2024-05-07,2003,N,0
-25.9603,31.1472,317.2,2024-05-08,1228,D,0
-26.5677,30.8124,310.4,2024-05-08,1228,D,0
-26.7413,31.7848,325.5,2024-05-08,1228,D,0
-26.0099,31.1031,308.3,2024-05-09,1946,N,0
-25.959,31.7896,318.8,2024-05-09,1946,N,0
-25.9688,31.7911,332.5,2024-05-09,1946,N,0
-25.9673,31.8028,367.9,2024-05-09,1946,N,0
-25.9699,31.1994,316.8,2024-05-10,1212,D,0
-25.9685,31.2098,317.4,2024-05-10,1212,D,0
-26.0183,31.1057,312.8,2024-05-10,1212,D,0
-26.0201,31.6332,318.1,2024-05-10,1212,D,0
-26.7096,31.9672,317.6,2024-05-10,1212,D,0
-26.2616,31.8237,301.2,2024-05-12,2009,N,0
-27.1362,31.1677,304.3,2024-05-14,746,D,0
-26.8304,31.8023,303.9,2024-05-15,1220,D,0
-26.0179,31.2035,301.9,2024-05-16,728,D,0
-26.0194,31.2133,325.0,2024-05-16,728,D,0
-26.446,31.0116,327.1,2024-05-16,1934,N,0
-26.0447,31.5449,313.7,2024-05-17,1203,D,0
-26.0462,31.5319,358.8,2024-05-17,1203,D,0
-26.1964,31.9393,320.6,2024-05-17,2014,N,0
-26.1989,31.9248,310.5,2024-05-17,2014,N,0
-26.1893,31.9441,303.1,2024-05-17,2014,N,0
-26.1919,31.9297,326.5,2024-05-17,2014,N,0
-26.6356,30.8486,311.0,2024-05-20,1227,D,0
-25.9837,31.2296,310.6,2024-05-20,1228,D,0
-26.4526,32.0924,306.7,2024-05-22,1211,D,0
-26.5222,30.8723,308.5,2024-05-22,1211,D,0
-26.5237,30.8608,339.7,2024-05-22,1211,D,0
-25.9044,31.1697,362.9,2024-05-22,1211,D,0
-25.9058,31.1591,347.1,2024-05-22,1211,D,0
-27.0492,31.2571,311.6,2024-05-23,716,D,0
-25.9144,31.2262,315.2,2024-05-23,716,D,0
-25.9048,31.2282,334.9,2024-05-23,716,D,0
-25.9023,31.1566,306.8,2024-05-23,1252,D,0
-26.024,31.6278,314.6,2024-05-23,1252,D,0
-26.4916,30.8056,320.6,2024-05-23,1252,D,0
-26.4868,30.8296,306.2,2024-05-23,1252,D,0
-26.4883,30.812,325.9,2024-05-23,1252,D,0
-26.2164,31.8224,319.4,2024-05-23,1922,N,0
-26.215,31.8154,313.1,2024-05-23,1922,N,0
-26.2126,31.8441,300.4,2024-05-23,1922,N,0
-26.4382,31.037,308.7,2024-05-24,1154,D,0
-26.434,31.0498,310.2,2024-05-24,1154,D,0
