latitude,longitude,brightness,acq_date,acq_time,daynight,type
13.5527,-15.669,321.0,2024-01-01,1452,D,0
13.3427,-14.4408,326.8,2024-01-01,1452,D,0
13.5418,-14.8443,315.3,2024-01-02,1104,D,0
13.5432,-14.8534,328.0,2024-01-02,1104,D,0
13.5334,-15.7477,321.0,2024-01-02,1533,D,0
13.5254,-15.7795,317.6,2024-01-02,1533,D,0
13.5296,-15.7427,318.4,2024-01-02,1533,D,0
13.2942,-14.1839,340.7,2024-01-03,1437,D,0
13.2959,-14.1729,328.7,2024-01-03,1437,D,0
13.3012,-14.1399,339.5,2024-01-03,1437,D,0
13.3029,-14.1289,353.4,2024-01-03,1437,D,0
13.2932,-14.1273,333.1,2024-01-03,1437,D,0
13.2842,-14.1644,330.6,2024-01-03,1437,D,0
13.291,-14.1204,332.1,2024-01-03,1437,D,0
13.3485,-14.0916,326.8,2024-01-03,1437,D,0
13.3621,-14.0047,325.6,2024-01-03,1437,D,0
13.1838,-15.8123,334.6,2024-01-05,1128,D,0
13.1877,-15.8176,334.8,2024-01-05,1128,D,0
13.1866,-15.8287,324.1,2024-01-05,1128,D,0
13.257,-14.1997,339.1,2024-01-06,1502,D,0
13.2653,-14.1941,334.4,2024-01-06,1502,D,0
13.4373,-14.2246,348.6,2024-01-06,1503,D,0
13.359,-15.8614,322.1,2024-01-06,1503,D,0
13.3577,-15.8714,331.3,2024-01-06,1503,D,0
13.3259,-16.7561,330.5,2024-01-06,1503,D,0
13.4455,-14.2189,328.0,2024-01-06,1503,D,0
13.4337,-14.2298,328.1,2024-01-06,1503,D,0
13.4353,-14.2174,341.3,2024-01-06,1503,D,0
13.4389,-14.2123,343.0,2024-01-06,1503,D,0
13.2276,-15.9372,321.3,2024-01-06,1503,D,0
13.1651,-16.7198,321.9,2024-01-06,1503,D,0
13.316,-16.0371,324.6,2024-01-06,1503,D,0
13.3146,-16.0469,358.0,2024-01-06,1503,D,0
13.3133,-16.0568,346.2,2024-01-06,1503,D,0
13.3252,-16.0384,380.0,2024-01-06,1503,D,0
13.3239,-16.0483,371.1,2024-01-06,1503,D,0
13.3225,-16.0581,322.6,2024-01-06,1503,D,0
13.2864,-15.8767,317.3,2024-01-07,1111,D,0
13.338,-16.0322,316.0,2024-01-07,1111,D,0
13.353,-15.8885,323.3,2024-01-07,1111,D,0
13.491,-14.5487,329.7,2024-01-07,1111,D,0
13.4926,-14.559,328.2,2024-01-07,1111,D,0
13.4513,-14.2311,318.6,2024-01-07,1111,D,0
13.5004,-14.5472,323.2,2024-01-07,1111,D,0
13.502,-14.5575,318.5,2024-01-07,1111,D,0
13.3822,-14.0782,336.0,2024-01-08,1447,D,0
13.4118,-14.3864,333.3,2024-01-08,1447,D,0
13.4105,-14.3956,370.5,2024-01-08,1447,D,0
13.4078,-14.4138,341.2,2024-01-08,1447,D,0
13.418,-14.4061,343.7,2024-01-08,1447,D,0
13.2671,-15.902,339.2,2024-01-08,1447,D,0
13.298,-15.8864,327.9,2024-01-08,1447,D,0
13.2451,-16.2338,320.6,2024-01-08,1447,D,0
13.2435,-16.2442,336.3,2024-01-08,1447,D,0
13.4706,-14.7956,356.8,2024-01-08,1447,D,0
13.4693,-14.8049,363.3,2024-01-08,1447,D,0
13.4813,-14.7943,342.1,2024-01-08,1447,D,0
13.4799,-14.8036,341.4,2024-01-08,1447,D,0
13.4902,-14.7957,334.6,2024-01-08,1447,D,0
13.3397,-15.9099,332.3,2024-01-08,1447,D,0
13.313,-16.0822,338.8,2024-01-08,1447,D,0
13.3505,-15.9014,334.5,2024-01-08,1447,D,0
13.349,-15.9115,353.0,2024-01-08,1447,D,0
13.3536,-15.9431,352.3,2024-01-08,1447,D,0
13.366,-15.9246,337.5,2024-01-08,1447,D,0
13.3645,-15.9346,321.6,2024-01-08,1447,D,0
13.3629,-15.9447,333.1,2024-01-08,1447,D,0
13.3753,-15.9261,333.3,2024-01-08,1447,D,0
13.4994,-14.7906,302.5,2024-01-08,2241,N,0
13.3985,-14.4047,300.6,2024-01-08,2241,N,0
13.4493,-14.2644,334.6,2024-01-09,1054,D,0
13.4506,-14.274,345.6,2024-01-09,1054,D,0
13.4584,-14.2631,331.6,2024-01-09,1054,D,0
13.6126,-14.5732,322.9,2024-01-10,1432,D,0
13.4131,-15.4153,301.2,2024-01-10,2224,N,0
13.6129,-14.5785,309.7,2024-01-10,2224,N,0
13.6102,-14.5953,309.8,2024-01-10,2224,N,0
13.6078,-14.5838,309.7,2024-01-10,2224,N,0
13.6195,-14.5859,307.6,2024-01-10,2224,N,0
13.6244,-15.1206,335.3,2024-01-11,1513,D,0
