latitude,longitude,brightness,acq_date,acq_time,daynight,type
-3.2651,114.9702,311.4,2024-01-01,214,D,0
-2.5788,121.3839,330.2,2024-01-01,214,D,2
-1.892,115.8655,305.4,2024-01-01,214,D,2
-8.2804,123.4017,310.9,2024-01-01,216,D,0
-8.2846,123.4369,311.7,2024-01-01,216,D,0
-8.4494,121.168,314.4,2024-01-01,216,D,0
-8.2387,119.0295,316.6,2024-01-01,216,D,0
-8.4506,118.7317,315.5,2024-01-01,216,D,2
-8.7703,118.8921,313.7,2024-01-01,216,D,0
-8.6271,116.1148,318.9,2024-01-01,216,D,2
-8.2789,123.4441,310.1,2024-01-01,216,D,0
-8.2745,123.4088,312.0,2024-01-01,216,D,0
-8.4615,121.9838,315.5,2024-01-01,632,D,0
-7.585,110.9031,320.7,2024-01-01,632,D,2
-7.5981,110.945,316.0,2024-01-01,632,D,2
-7.0513,110.3256,317.8,2024-01-01,633,D,0
-7.2307,110.4272,319.5,2024-01-01,633,D,2
0.679,117.5515,318.7,2024-01-01,634,D,2
1.5029,127.6362,314.0,2024-01-01,1716,N,1
1.5037,127.63,314.1,2024-01-01,1716,N,1
1.502,127.6418,310.5,2024-01-01,1716,N,1
1.4926,127.636,344.9,2024-01-01,1716,N,1
-1.4575,127.4407,307.4,2024-01-01,1717,N,2
-0.881,131.2862,312.4,2024-01-02,116,D,2
-2.4405,133.1398,320.3,2024-01-02,116,D,0
-8.2232,123.6325,316.8,2024-01-02,118,D,0
-8.3576,118.2366,313.9,2024-01-02,118,D,0
-8.8813,120.7441,314.8,2024-01-02,118,D,0
-8.8771,120.7632,314.7,2024-01-02,118,D,0
-8.4342,123.8771,310.6,2024-01-02,118,D,3
-2.0615,101.3977,311.5,2024-01-02,255,D,2
-8.8741,120.7515,314.3,2024-01-02,535,D,0
-3.9051,122.4176,319.2,2024-01-02,536,D,2
-3.8754,122.4004,324.3,2024-01-02,536,D,2
-3.8524,121.9922,313.6,2024-01-02,536,D,0
-3.1,122.339,316.2,2024-01-02,537,D,0
-2.5887,120.6282,312.7,2024-01-02,537,D,0
-2.297,121.7089,317.8,2024-01-02,537,D,0
-2.2927,121.7164,318.2,2024-01-02,537,D,0
-2.2946,121.7031,313.7,2024-01-02,537,D,0
-2.013,121.4346,317.0,2024-01-02,537,D,2
-2.015,121.4207,313.3,2024-01-02,537,D,2
-1.485,122.2527,313.4,2024-01-02,537,D,0
-1.4014,122.4154,318.2,2024-01-02,537,D,0
-1.4031,122.4038,313.8,2024-01-02,537,D,0
0.2255,101.8005,314.4,2024-01-02,716,D,0
-2.1881,100.8485,316.9,2024-01-02,716,D,0
1.0001,102.7059,313.1,2024-01-02,716,D,2
0.2268,101.8096,314.5,2024-01-02,716,D,0
-3.8712,122.4062,307.9,2024-01-02,1335,N,2
-3.8728,122.3945,308.9,2024-01-02,1335,N,2
-1.4609,127.4398,306.9,2024-01-02,1336,N,2
-8.3548,138.0953,323.2,2024-01-03,20,D,0
1.4529,124.8163,313.1,2024-01-03,156,D,2
-1.897,115.8646,307.4,2024-01-03,157,D,2
-2.0079,121.4323,312.8,2024-01-03,157,D,2
-6.1247,120.4616,313.4,2024-01-03,158,D,2
-3.9295,119.7997,317.3,2024-01-03,158,D,2
