latitude,longitude,brightness,acq_date,acq_time,daynight,type
18.0485,-77.7712,311.6,2024-01-07,1903,D,0
18.0129,-77.8224,313.3,2024-01-09,1848,D,0
18.2927,-78.136,310.4,2024-01-12,1914,D,0
18.2846,-78.1716,311.4,2024-01-16,1538,D,0
18.259,-78.1215,324.5,2024-01-21,1853,D,0
18.2542,-78.1529,332.2,2024-01-21,1853,D,0
18.2603,-78.2679,316.2,2024-01-21,1853,D,0
18.2586,-78.2785,325.7,2024-01-21,1853,D,0
17.9449,-77.0033,318.4,2024-01-23,1837,D,0
18.065,-76.6315,301.3,2024-01-25,300,N,0
18.2542,-78.1549,317.3,2024-01-28,1847,D,0
18.2521,-78.1675,316.2,2024-01-28,1847,D,0
18.2597,-78.2618,311.0,2024-01-31,1913,D,0
18.2798,-78.3311,310.2,2024-01-31,1913,D,0
17.9119,-77.1282,324.9,2024-02-07,1907,D,0
17.9026,-77.1268,322.8,2024-02-07,1907,D,0
18.264,-78.1971,353.7,2024-02-09,1530,D,0
18.2611,-78.1916,343.5,2024-02-09,1530,D,0
18.263,-78.2031,325.6,2024-02-09,1530,D,0
18.2621,-78.1855,326.5,2024-02-09,1530,D,0
17.9616,-76.9842,307.2,2024-02-11,302,N,0
18.1432,-77.1299,327.0,2024-02-11,1513,D,0
17.9629,-76.9931,322.6,2024-02-12,1917,D,0
17.9666,-77.0528,328.1,2024-02-12,1917,D,0
18.2505,-78.1935,320.6,2024-02-12,1917,D,0
18.066,-77.846,321.2,2024-02-16,1846,D,0
18.2574,-78.1677,323.2,2024-02-17,1927,D,0
17.9745,-76.995,322.3,2024-02-17,1927,D,2
17.964,-76.986,319.7,2024-02-17,1927,D,0
17.9901,-77.0064,306.5,2024-02-18,251,N,0
17.9642,-77.0465,326.3,2024-02-22,1937,D,0
17.9799,-77.0483,315.3,2024-02-22,1937,D,0
17.9729,-77.0526,327.8,2024-02-22,1937,D,0
18.3443,-78.3252,328.7,2024-02-23,1508,D,0
18.3538,-78.3238,310.8,2024-02-23,1508,D,0
18.2583,-78.2632,314.3,2024-02-23,1840,D,0
18.3402,-78.3255,315.2,2024-02-23,1840,D,0
18.32,-78.1989,312.4,2024-02-23,1840,D,0
18.0726,-77.8193,312.9,2024-02-23,1840,D,0
17.8868,-76.438,315.5,2024-02-28,1849,D,0
17.8701,-77.1583,315.7,2024-03-01,247,N,0
17.8598,-77.1663,333.2,2024-03-01,247,N,0
18.0614,-77.6041,309.9,2024-03-04,1521,D,0
18.4626,-77.6856,316.9,2024-03-04,1859,D,0
18.2769,-78.1787,318.2,2024-03-04,1859,D,0
18.2784,-78.169,364.5,2024-03-04,1859,D,0
18.2873,-78.1106,316.9,2024-03-04,1859,D,0
17.919,-77.1271,332.8,2024-03-04,1859,D,0
17.9591,-76.9554,329.9,2024-03-06,1504,D,0
17.9499,-76.9567,332.1,2024-03-06,1504,D,0
17.9419,-76.9981,322.1,2024-03-06,1843,D,0
18.0298,-77.7885,319.5,2024-03-09,1908,D,0
17.8189,-77.2276,316.7,2024-03-13,1836,D,0
17.9477,-77.1244,319.0,2024-03-14,1533,D,0
17.8286,-77.2243,320.1,2024-03-14,1917,D,0
17.9694,-77.0336,319.0,2024-03-21,1522,D,0
18.2104,-77.0433,308.2,2024-03-22,722,N,0
18.3561,-77.2012,315.8,2024-03-23,1855,D,0
17.9533,-76.9414,323.7,2024-03-23,1855,D,0
17.9654,-77.0402,321.6,2024-03-26,1528,D,0
18.0897,-77.1673,308.4,2024-03-27,731,N,0
17.8861,-76.4242,320.7,2024-03-28,1511,D,0
18.2446,-77.2188,325.5,2024-03-28,1904,D,0
18.0645,-77.4487,320.5,2024-03-28,1904,D,0
17.9338,-77.0742,324.5,2024-03-28,1904,D,0
17.8641,-77.2844,323.5,2024-03-29,1945,D,0
17.8675,-77.2926,319.7,2024-03-29,1945,D,0
18.0162,-76.8724,305.1,2024-03-30,244,N,0
