latitude,longitude,brightness,acq_date,acq_time,daynight,type
34.0357,36.118,310.4,2024-03-02,1105,D,0
34.4456,35.8377,313.5,2024-04-07,1113,D,2
34.4474,35.8488,315.8,2024-04-07,1113,D,2
33.7687,35.8643,316.5,2024-05-08,1106,D,0
33.79,35.8889,320.6,2024-05-17,752,D,0
33.1327,35.5289,353.0,2024-06-01,1104,D,0
33.2697,35.544,308.7,2024-06-02,2347,N,0
33.3428,35.4785,331.1,2024-06-04,1128,D,0
33.0963,35.4717,327.1,2024-06-05,1209,D,0
33.0951,35.447,356.2,2024-06-11,1119,D,0
33.1864,35.5384,334.5,2024-06-13,1102,D,0
33.3573,35.736,307.1,2024-06-13,1901,N,0
33.2411,35.5407,339.8,2024-06-14,1143,D,0
33.2985,35.701,338.4,2024-06-14,1143,D,0
33.2971,35.6875,337.8,2024-06-14,1143,D,0
33.2142,35.4876,331.0,2024-06-14,1143,D,0
33.7931,35.8128,328.5,2024-06-16,1126,D,0
33.2242,35.3942,383.8,2024-06-16,1126,D,0
33.2257,35.4047,354.0,2024-06-16,1126,D,0
33.255,35.6496,335.0,2024-06-21,1133,D,0
33.2683,35.6804,336.7,2024-06-21,1133,D,0
33.2565,35.6608,348.3,2024-06-21,1133,D,0
34.6177,36.1387,364.8,2024-06-23,1117,D,0
34.6195,36.1497,327.0,2024-06-23,1117,D,0
34.616,36.1275,357.0,2024-06-23,1117,D,0
34.0823,36.0804,327.5,2024-06-25,1100,D,0
34.1371,36.1659,332.8,2024-06-28,1124,D,0
34.1356,36.1553,337.7,2024-06-28,1124,D,0
33.675,35.9146,330.9,2024-06-28,1124,D,0
33.2267,35.5314,326.9,2024-06-29,1204,D,0
33.2198,35.5338,316.7,2024-07-05,1904,N,0
33.4413,35.5766,342.4,2024-07-08,1138,D,0
33.2813,35.5924,304.7,2024-07-10,21,N,0
33.149,35.4904,329.0,2024-07-11,1201,D,0
33.1428,35.4964,333.4,2024-07-11,1201,D,0
34.2372,36.2276,364.8,2024-07-22,1118,D,0
34.2264,36.2185,335.2,2024-07-22,1118,D,0
34.2282,36.2293,358.7,2024-07-22,1118,D,0
33.828,35.6817,331.0,2024-07-24,743,D,0
33.1747,35.5277,327.8,2024-07-25,1141,D,0
33.1843,35.5258,330.5,2024-07-25,1141,D,0
34.4666,36.0616,321.4,2024-07-29,7,N,0
34.565,36.1895,327.3,2024-07-29,748,D,0
33.3101,35.6222,331.1,2024-07-29,748,D,0
33.3084,35.6332,329.3,2024-07-29,748,D,0
33.1726,35.4959,355.0,2024-07-29,748,D,0
33.32461,35.53458,320.59,2024-08-02,1212,D,99
34.19786,36.08787,323.95,2024-08-03,754,D,99
34.43005,36.1395,305.51,2024-08-06,1917,N,99
34.42828,36.14566,306.68,2024-08-08,20,N,99
34.46673,36.27606,327.93,2024-08-08,1119,D,99
34.46504,36.26538,327.0,2024-08-08,1119,D,99
34.25373,35.79662,328.19,2024-08-10,739,D,99
34.25522,35.786,325.18,2024-08-10,739,D,99
34.41368,35.83987,328.07,2024-08-13,1128,D,99
34.41209,35.82923,328.26,2024-08-13,1128,D,99
33.29179,35.57133,319.15,2024-08-16,824,D,99
33.11185,35.18742,345.71,2024-08-25,754,D,99
33.11381,35.17572,378.22,2024-08-25,754,D,99
33.14986,35.39145,326.54,2024-08-26,1202,D,99
33.32239,35.28907,323.6,2024-09-04,1132,D,99
33.14286,35.23368,310.37,2024-09-04,1902,N,99
33.29853,35.57187,325.76,2024-09-06,1115,D,99
33.30431,35.41044,314.67,2024-09-06,1845,N,99
33.30375,35.41735,314.44,2024-09-06,1845,N,99
33.24321,35.31633,328.6,2024-09-11,1119,D,99
33.45987,35.41899,317.66,2024-09-21,1130,D,99
33.36278,35.33588,354.62,2024-09-21,1130,D,99
33.4118,35.41424,320.26,2024-09-21,1130,D,99
33.45688,35.34138,322.27,2024-09-21,1130,D,99
33.26836,35.44741,326.62,2024-09-21,1130,D,99
33.42953,35.41015,346.59,2024-09-21,1130,D,99
33.45059,35.42763,334.71,2024-09-21,1130,D,99
33.2667,35.4367,321.49,2024-09-21,1130,D,99
33.44893,35.41686,355.2,2024-09-21,1130,D,99
33.36449,35.34678,348.8,2024-09-21,1130,D,99
33.45816,35.40815,340.03,2024-09-21,1130,D,99
33.28816,35.44756,328.75,2024-09-21,1130,D,99
33.28648,35.43682,325.14,2024-09-21,1130,D,99
33.50357,35.53641,302.95,2024-09-21,1858,N,99
33.36365,35.53408,300.05,2024-09-21,1858,N,99
33.41846,35.42317,316.92,2024-09-23,1113,D,99
33.42101,35.49485,316.85,2024-09-23,1113,D,99
33.42106,35.49998,317.91,2024-09-23,1113,D,99
33.34996,35.43008,332.86,2024-09-23,1113,D,99
33.35339,35.44771,337.08,2024-09-23,1113,D,99
33.32522,35.36296,322.8,2024-09-23,1113,D,99
33.29629,35.33441,315.77,2024-09-23,1113,D,99
33.29352,35.32355,319.45,2024-09-23,1113,D,99
33.21283,35.32894,322.44,2024-09-23,1113,D,99
33.15711,35.21952,324.2,2024-09-23,1113,D,99
33.12477,35.47804,321.63,2024-09-23,1113,D,99
33.46218,35.41028,317.17,2024-09-23,1113,D,99
33.41508,35.40599,327.04,2024-09-23,1113,D,99
33.43098,35.58315,343.39,2024-09-24,1151,D,99
33.70751,35.93707,319.46,2024-09-26,803,D,99
33.70374,35.94554,337.67,2024-09-26,1134,D,99
33.70226,35.93506,330.09,2024-09-26,1134,D,99
33.21333,35.36037,355.25,2024-09-26,1134,D,99
33.21488,35.37085,348.8,2024-09-26,1134,D,99
33.20456,35.36224,344.07,2024-09-26,1134,D,99
33.81,35.52,305.93,2024-09-28,16,N,99
33.81884,35.52171,313.06,2024-09-28,16,N,99
33.09218,35.42102,319.79,2024-09-28,744,D,99
33.24362,35.52359,334.35,2024-09-28,1117,D,99
33.24643,35.53865,335.43,2024-09-28,1117,D,99
33.38464,35.2906,317.0,2024-10-01,1138,D,99
33.10334,35.4472,326.31,2024-10-03,1119,D,99
33.10092,35.43367,324.62,2024-10-03,1119,D,99
33.28102,35.49648,311.84,2024-10-04,826,D,99
33.32758,35.57822,321.71,2024-10-04,1200,D,99
33.27852,35.67979,317.13,2024-10-05,729,D,99
34.12492,35.83619,335.34,2024-10-06,1142,D,99
33.09009,35.44292,325.42,2024-10-06,1142,D,99
33.08863,35.43181,333.61,2024-10-06,1142,D,99
34.13424,35.83492,317.69,2024-10-06,1142,D,99
34.1264,35.84801,326.45,2024-10-06,1142,D,99
33.7279,35.81248,321.88,2024-10-18,1132,D,99
33.39144,35.49053,319.34,2024-10-18,1132,D,99
33.72632,35.80196,376.35,2024-10-18,1132,D,99
33.12224,35.402,317.41,2024-10-20,1115,D,99
33.11877,35.38437,338.25,2024-10-20,1115,D,99
33.13657,35.41619,313.69,2024-10-20,1115,D,99
33.22179,35.25233,321.8,2024-10-20,1115,D,99
33.35689,35.41015,351.02,2024-10-20,1115,D,99
33.26719,35.50952,313.38,2024-10-21,1153,D,99
33.13284,35.31448,317.32,2024-10-21,1153,D,99
33.1364,35.31933,314.11,2024-10-21,1153,D,99
33.11158,35.19363,319.56,2024-10-21,1153,D,99
33.46156,35.60258,303.62,2024-10-21,1919,N,99
33.1105,35.24417,326.12,2024-10-22,722,D,99
33.11206,35.22991,322.43,2024-10-22,722,D,99
33.24182,35.52629,311.91,2024-10-22,722,D,99
33.24117,35.53231,319.11,2024-10-22,722,D,99
33.91035,35.63793,306.24,2024-10-22,722,D,99
33.91199,35.62326,305.46,2024-10-22,722,D,99
34.12566,35.80067,307.11,2024-10-22,722,D,99
34.12697,35.79297,305.71,2024-10-22,722,D,99
33.41238,35.34528,316.25,2024-10-22,1058,D,99
