latitude,longitude,brightness,acq_date,acq_time,daynight,type
0.5255,72.9956,312.9,2024-01-19,911,D,3
0.5311,73.0,312.5,2024-03-09,911,D,3
-0.6861,73.1297,313.6,2024-03-14,920,D,3
2.6683,72.894,312.0,2024-03-21,914,D,3
2.2069,73.1489,312.4,2024-03-21,914,D,3
6.6168,73.0715,311.5,2024-03-25,459,D,3
0.531,72.9964,311.9,2024-03-25,500,D,3
4.1764,73.5137,313.6,2024-04-06,454,D,3
0.5257,72.9963,314.6,2024-04-09,908,D,3
4.1756,73.5116,316.1,2024-04-11,500,D,3
4.2105,73.5374,312.9,2024-04-14,918,D,3
0.5273,72.9971,312.1,2024-06-13,914,D,3
2.6679,72.8939,311.0,2024-06-30,920,D,3
0.5268,72.9944,311.5,2024-07-22,930,D,3
4.17472,73.51075,314.47,2024-09-16,444,D,99
4.17097,73.50818,311.85,2024-10-20,432,D,99
0.5318,73.00042,311.02,2024-10-30,440,D,99
4.17348,73.51139,310.76,2024-12-28,433,D,99
2.66871,72.89088,311.25,2024-12-28,919,D,99
